,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DMAS,EQUITY,48198111100.0,187,1673119600,122796000,75588200,0,1759920500,419336319,18134697,250000,4795300,4073940616,34923800,1874915535,123170427,135154165,3915400,855751443,48077696,4046768,1385915250,4465870484
1,2022-02-25,DMAS,EQUITY,48198111100.0,189,1616378300,117905300,64888200,0,1803758800,414409533,17674604,250000,4835300,4040100037,34923800,1875286335,122836227,137174526,4354300,850046461,54088596,6781368,1414219450,4499711063
2,2022-03-31,DMAS,EQUITY,48198111100.0,185,1577767500,123221000,56506700,0,2040254300,382613622,18619290,250000,4835300,4204067712,34923800,1875639235,126375727,196735248,4509900,841579161,72452796,6781368,1176746153,4335743388
3,2022-04-28,DMAS,EQUITY,48198111100.0,174,1562131400,128074100,52365900,0,2405158100,356151896,24656926,250000,4835300,4533623622,34923800,1878522235,129187127,276380253,5069800,849621646,74722996,4046768,753712853,4006187478
4,2022-05-31,DMAS,EQUITY,48198111100.0,171,1551617600,130077900,44518500,0,2623714800,329730231,26513983,250000,4835300,4711258314,34923800,1885519035,123872327,187281662,5302200,785189989,71246332,4046768,731170673,3828552786
5,2022-06-30,DMAS,EQUITY,48198111100.0,160,1537565000,134753000,44518500,0,3053448000,286848712,36819296,250000,1675300,5095877808,0,1863487735,35005427,132740068,5699600,659717989,71838532,4046768,671397173,3443933292
6,2022-07-29,DMAS,EQUITY,48198111100.0,163,1519209600,135426300,43169800,0,3156462600,264175748,5090468,250000,1675300,5125459816,0,1860641635,35005427,127703778,5781200,643365071,66410232,4046768,671397173,3414351284
7,2022-08-31,DMAS,EQUITY,48198111100.0,176,1526710600,141757600,38882000,0,3062698300,285060672,8143058,250000,1675300,5065177530,0,1857269935,45026227,147914672,5622100,653371169,64070232,7045768,694313467,3474633570
8,2022-09-30,DMAS,EQUITY,48198111100.0,172,1510423200,140786100,38882000,0,3053643900,252015667,3121357,250000,1675300,5000797524,0,1857360535,48678827,155091472,5311700,670951999,65400932,10239368,725978743,3539013576
9,2022-10-31,DMAS,EQUITY,48198111100.0,182,1180066000,139369300,19325100,0,3376208100,250723788,4090539,250000,1675300,4971708127,0,1954755635,52934027,200500071,5749100,513123944,73142832,15506468,752390896,3568102973
