,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DNET,EQUITY,14184000000.0,3250,552999100,4246329469,0,0,3604798731,1374000,50373700,0,0,8455875000,0,5074653000,0,650000500,11600,0,1309900,0,0,5725975000
1,2022-02-25,DNET,EQUITY,14184000000.0,3210,762549100,4036831469,0,0,3604746431,1374000,50373700,0,0,8455874700,0,5074653300,0,650000500,11600,0,1309900,0,0,5725975300
2,2022-03-31,DNET,EQUITY,14184000000.0,3200,762549100,4036881269,0,0,3604695831,1374000,50373700,0,0,8455873900,0,5074654100,0,650000500,11600,0,1309900,0,0,5725976100
3,2022-04-28,DNET,EQUITY,14184000000.0,3200,762549100,4037044969,0,0,3604532131,1374000,50373700,0,0,8455873900,0,5074654100,0,650000500,11600,0,1309900,0,0,5725976100
4,2022-05-31,DNET,EQUITY,14184000000.0,3240,762549100,4037277369,0,0,3604300731,1374000,50373700,0,0,8455874900,0,5724654100,0,500,10600,0,1309900,0,0,5725975100
5,2022-06-30,DNET,EQUITY,14184000000.0,3340,762549100,4037635169,0,0,3603942931,1374000,50373700,0,0,8455874900,0,5724654100,0,500,10600,0,1309900,0,0,5725975100
6,2022-07-29,DNET,EQUITY,14184000000.0,3680,762549100,4037776469,0,0,3603798831,1374000,50373700,0,0,8455872100,0,5724651400,0,2000,10600,0,1313900,0,0,5725977900
7,2022-08-31,DNET,EQUITY,14184000000.0,3750,762549100,4037818469,0,0,3603758031,1374000,50373700,0,0,8455873300,0,5724651400,0,800,10600,0,1313900,0,0,5725976700
8,2022-09-30,DNET,EQUITY,14184000000.0,3710,762549100,4037827669,0,0,3603751131,1374000,50373700,0,0,8455875600,0,5724651400,0,700,10600,0,1311700,0,0,5725974400
9,2022-10-31,DNET,EQUITY,14184000000.0,3730,762549100,3328607305,0,0,3603710731,1374000,50373700,0,0,7746614836,0,6433911964,0,900,10600,0,1311700,0,0,6435235164
10,2022-11-30,DNET,EQUITY,14184000000.0,3750,762549100,3328625805,0,0,3603692531,1374000,50373700,0,0,7746615136,0,6433911964,0,600,10600,0,1311700,0,0,6435234864
