,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-01-31,DNRK08A,CORPORATE BOND,380000000000.0,1,30000000000,0,2000000000,59000000000,2000000000,225000000000,2000000000,0,0,320000000000,0,0,0,60000000000,0,0,0,0,0,60000000000
1,2024-02-29,DNRK08A,CORPORATE BOND,380000000000.0,1,30000000000,0,2000000000,59000000000,2000000000,240000000000,2000000000,0,0,335000000000,0,0,0,45000000000,0,0,0,0,0,45000000000
2,2024-03-28,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
3,2024-04-30,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
4,2024-05-31,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
5,2024-06-28,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
6,2024-07-31,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
7,2024-08-30,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
8,2024-09-30,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
9,2024-10-31,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
10,2024-11-29,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,247000000000,2000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
11,2024-12-30,DNRK08A,CORPORATE BOND,380000000000.0,1,35000000000,0,2000000000,59000000000,2000000000,147000000000,102000000000,0,0,347000000000,0,0,0,33000000000,0,0,0,0,0,33000000000
