,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
1,2022-02-25,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
2,2022-03-31,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
3,2022-04-28,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
4,2022-05-31,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
5,2022-06-30,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
6,2022-07-29,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
7,2022-08-31,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
8,2022-09-30,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
9,2022-10-31,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,518867917,212663983,116827800,0,0,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
10,2022-11-30,DPUM,EQUITY,4175000000.0,50,53338700,2020788000,156637100,163636300,404823017,212663983,116827800,0,114044900,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
11,2022-12-30,DPUM,EQUITY,4175000000.0,50,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
12,2023-01-31,DPUM,EQUITY,4175000000.0,50,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
13,2023-02-28,DPUM,EQUITY,4175000000.0,50,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
14,2023-03-31,DPUM,EQUITY,4175000000.0,50,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
15,2023-04-28,DPUM,EQUITY,4175000000.0,50,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
16,2023-05-31,DPUM,EQUITY,4175000000.0,50,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
17,2023-06-27,DPUM,EQUITY,4175000000.0,50,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
18,2023-07-31,DPUM,EQUITY,4175000000.0,20,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
19,2023-08-31,DPUM,EQUITY,4175000000.0,40,53338700,2019656000,156637100,163636300,404641317,212663983,116827800,0,115358600,3242759800,0,0,0,0,320200,0,0,0,931920000,932240200
