,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DSFI,EQUITY,1857135500.0,90,0,1358590350,34130800,0,433566335,0,22970715,0,550500,1849808700,0,0,0,0,2960800,0,4366000,0,0,7326800
1,2022-02-25,DSFI,EQUITY,1857135500.0,100,0,1358470750,34130800,0,433523935,0,22970715,0,550500,1849646700,0,0,0,0,3122800,0,4366000,0,0,7488800
2,2022-03-31,DSFI,EQUITY,1857135500.0,99,0,1357779250,34130800,0,434198735,0,22970715,0,560000,1849639500,0,0,0,0,3130000,0,4366000,0,0,7496000
3,2022-04-28,DSFI,EQUITY,1857135500.0,93,0,1357779250,34130800,0,435694835,0,22970715,0,560000,1851135600,0,0,0,103900,1530000,0,4366000,0,0,5999900
4,2022-05-31,DSFI,EQUITY,1857135500.0,98,0,1357829250,34130800,0,435696335,0,22970715,0,567500,1851194600,0,0,0,0,1574900,0,4366000,0,0,5940900
5,2022-06-30,DSFI,EQUITY,1857135500.0,94,0,1357829250,34130800,0,435713335,0,22970715,0,550500,1851194600,0,0,0,0,1574900,0,4366000,0,0,5940900
6,2022-07-29,DSFI,EQUITY,1857135500.0,91,0,1358059250,34130800,0,435434335,0,22970715,0,599500,1851194600,0,0,0,0,1574900,0,4366000,0,0,5940900
7,2022-08-31,DSFI,EQUITY,1857135500.0,97,0,1358129250,34130800,0,434822935,0,22970715,0,599500,1850653200,0,591400,0,0,1524900,0,4366000,0,0,6482300
8,2022-09-30,DSFI,EQUITY,1857135500.0,91,0,1357879250,34130800,0,435227435,0,22970715,0,545000,1850753200,0,591400,0,0,1424900,0,4366000,0,0,6382300
9,2022-10-31,DSFI,EQUITY,1857135500.0,91,0,1358269250,34130800,0,434796135,0,22970715,0,546500,1850713400,0,591400,0,39800,1424900,0,4366000,0,0,6422100
10,2022-11-30,DSFI,EQUITY,1857135500.0,93,0,1358269250,34130800,0,434746135,0,22970715,0,546500,1850663400,0,591400,0,39800,1474900,0,4366000,0,0,6472100
11,2022-12-30,DSFI,EQUITY,1857135500.0,91,0,1358269250,34130800,0,435337535,0,22970715,0,546500,1851254800,0,0,0,39800,1474900,0,4366000,0,0,5880700
12,2023-01-31,DSFI,EQUITY,1857135500.0,88,0,1358269250,34130800,0,435337535,0,22970715,0,546500,1851254800,0,0,0,39800,1474900,0,4366000,0,0,5880700
13,2023-02-28,DSFI,EQUITY,1857135500.0,88,0,1358269250,34130800,0,436337435,0,22970715,0,546500,1852254700,0,0,0,39900,474900,0,4366000,0,0,4880800
14,2023-03-31,DSFI,EQUITY,1857135500.0,80,0,1358279250,34130800,0,436236435,0,22970715,0,546500,1852163700,0,0,0,39900,565900,0,4366000,0,0,4971800
