,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DSSA,EQUITY,770552320.0,46000,0,0,0,0,359000,0,2752226,0,0,3111226,0,325300,0,24450,4500,455400,31000,0,198524,1039174
1,2022-02-25,DSSA,EQUITY,770552320.0,46500,0,0,0,0,359000,0,2752226,0,0,3111226,0,325300,0,24450,4500,455400,31000,0,198524,1039174
2,2022-03-31,DSSA,EQUITY,770552320.0,44000,0,0,0,0,358300,0,2752226,0,0,3110526,0,325300,0,24450,4700,455400,31000,0,199024,1039874
3,2022-04-28,DSSA,EQUITY,770552320.0,30000,0,0,0,0,359000,0,2752226,0,0,3111226,0,325300,0,24450,4500,455400,31000,0,198524,1039174
4,2022-05-31,DSSA,EQUITY,770552320.0,33925,0,0,0,0,359500,0,2752226,0,0,3111726,0,325300,0,23950,4500,455400,31000,0,198524,1038674
5,2022-06-30,DSSA,EQUITY,770552320.0,35050,0,0,0,0,359500,0,2752226,0,0,3111726,0,325300,0,23950,4500,455400,31000,0,198524,1038674
6,2022-07-29,DSSA,EQUITY,770552320.0,33000,0,0,0,0,358500,0,2752226,0,0,3110726,0,325300,0,24950,4500,455400,31000,0,198524,1039674
7,2022-08-31,DSSA,EQUITY,770552320.0,31850,0,0,0,0,357600,0,2752226,0,0,3109826,0,325300,0,25850,4500,455400,31000,0,198524,1040574
8,2022-09-30,DSSA,EQUITY,770552320.0,38000,0,0,0,0,358500,0,2752226,0,0,3110726,0,325300,0,24950,4500,455400,31000,0,198524,1039674
9,2022-10-31,DSSA,EQUITY,770552320.0,39000,0,0,0,0,359500,0,2752226,0,0,3111726,0,325300,0,23950,4500,455400,31000,0,198524,1038674
10,2022-11-30,DSSA,EQUITY,770552320.0,39800,0,0,0,0,359500,0,2752226,0,0,3111726,0,325300,0,23950,4500,455400,31000,0,198524,1038674
11,2022-12-30,DSSA,EQUITY,770552320.0,39800,0,198500,0,0,359500,0,2752226,0,0,3310226,0,325300,0,23950,4500,455400,31000,0,24,840174
12,2023-01-31,DSSA,EQUITY,770552320.0,38000,0,198500,0,0,359500,0,2752226,0,0,3310226,0,325300,0,23950,4500,455400,31000,0,24,840174
13,2023-02-28,DSSA,EQUITY,770552320.0,37500,0,198500,0,0,359400,0,2752226,0,0,3310126,0,325300,0,24050,4500,455400,31000,0,24,840274
14,2023-03-31,DSSA,EQUITY,770552320.0,34750,0,0,0,0,359400,0,2752226,0,0,3111626,0,325300,0,24050,4500,455400,31000,0,198524,1038774
15,2023-04-28,DSSA,EQUITY,770552320.0,33950,0,0,0,0,359400,0,2752226,0,0,3111626,0,325300,0,24050,4500,455400,31000,0,198524,1038774
16,2023-05-31,DSSA,EQUITY,770552320.0,37300,0,0,0,0,359400,0,2752226,0,0,3111626,0,325300,0,24050,4500,455400,31000,0,198524,1038774
17,2023-06-27,DSSA,EQUITY,770552320.0,38800,0,0,0,0,359400,0,2752226,0,0,3111626,0,12217400,0,24050,4500,7645400,31000,0,133923524,153845874
18,2023-07-31,DSSA,EQUITY,770552320.0,45000,0,0,0,0,355800,0,2752226,0,0,3108026,0,39373427,0,24050,4500,82800,36300500,0,131154024,206939301
19,2023-08-31,DSSA,EQUITY,770552320.0,48000,0,63750500,0,0,337300,0,2752226,0,0,66840026,0,36937327,0,24500,4600,82800,36300500,0,69958074,143307801
20,2023-09-29,DSSA,EQUITY,770552320.0,51200,0,154105327,0,0,336600,0,2752226,0,0,157194153,0,11173900,0,24500,4600,82800,36300500,0,34867374,82453674
21,2023-10-31,DSSA,EQUITY,770552320.0,51000,0,154105327,0,0,369100,0,2752226,0,0,157226653,0,11120700,0,24500,4600,82800,36300500,0,34888074,82421174
22,2023-11-30,DSSA,EQUITY,770552320.0,51500,0,154105327,0,0,365000,0,2752226,0,0,157222553,0,11071800,0,24500,4100,82800,36300500,0,34941574,82425274
23,2023-12-29,DSSA,EQUITY,770552320.0,80000,0,154105327,0,0,369000,0,2752226,0,0,157226553,0,43519800,0,18600,4100,82800,36300500,0,34945474,114871274
24,2024-01-31,DSSA,EQUITY,770552320.0,144225,0,154105327,0,0,373900,0,2752226,0,0,157231453,0,43521400,0,36911473,4100,82800,36300500,0,34948274,151768547
25,2024-02-29,DSSA,EQUITY,770552320.0,128975,0,154105327,0,0,367700,0,2752226,0,0,157225253,0,43521300,0,36908673,4100,82800,36300500,0,34957374,151774747
26,2024-03-28,DSSA,EQUITY,770552320.0,123000,0,154105327,0,0,364400,0,2752226,0,0,157221953,0,43521300,0,36908773,4100,82800,36300500,0,34960574,151778047
27,2024-04-30,DSSA,EQUITY,770552320.0,125000,0,154105327,0,0,360800,0,2752226,0,0,157218353,0,43521300,0,36908873,4100,82800,36300500,0,34964074,151781647
28,2024-05-31,DSSA,EQUITY,770552320.0,212000,0,154113227,0,0,375600,0,2752226,0,0,157241053,0,77002200,0,36903773,4100,82800,36300500,0,1465574,151758947
29,2024-06-28,DSSA,EQUITY,770552320.0,250000,0,154131827,0,0,414300,0,2752226,0,0,157298353,0,77299900,0,37223573,4100,285900,27157700,0,9730474,151701647
