,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ECII,EQUITY,1334333000.0,900,4907000,166491095,0,0,15164000,41095100,861900,0,0,228519095,0,3360800,0,27575100,65000,6359500,399813205,0,18023300,455196905
1,2022-02-25,ECII,EQUITY,1334333000.0,970,4907000,166491295,0,0,15146100,41156000,832400,0,0,228532795,0,3360800,0,27561400,65000,6359500,399813205,0,18023300,455183205
2,2022-03-31,ECII,EQUITY,1334333000.0,895,4907000,166491095,0,0,15153000,41172300,821500,0,0,228544895,0,3360800,0,27549300,65000,6359500,399813205,0,18023300,455171105
3,2022-04-28,ECII,EQUITY,1334333000.0,750,4907000,166491095,0,0,15179200,41164700,819600,0,0,228561595,0,3360800,0,27532600,65000,6359500,399813205,0,18023300,455154405
4,2022-05-31,ECII,EQUITY,1334333000.0,680,4907000,166491095,0,0,15231800,42136900,819600,0,0,229586395,0,3360800,0,26507800,65000,6359500,399813205,0,18023300,454129605
5,2022-06-30,ECII,EQUITY,1334333000.0,570,4907000,166491095,0,0,15601600,42141600,819600,0,0,229960895,0,3360800,0,26133300,65000,6359500,399813205,0,18023300,453755105
6,2022-07-29,ECII,EQUITY,1334333000.0,570,4907000,166491095,0,0,15570900,42195400,819600,0,0,229983995,0,3360800,0,26110200,65000,6359500,399813205,0,18023300,453732005
7,2022-08-31,ECII,EQUITY,1334333000.0,530,4907000,166491095,0,0,15596400,42208400,781100,0,0,229983995,0,3360800,0,26110200,65000,6359500,399813205,0,18023300,453732005
8,2022-09-30,ECII,EQUITY,1334333000.0,505,4907000,166491095,0,0,15970600,42057700,710100,0,0,230136495,0,3360800,0,26110200,65000,6359500,399813205,0,17870800,453579505
9,2022-10-31,ECII,EQUITY,1334333000.0,500,4907000,166491095,0,0,16022700,42005700,710100,0,0,230136595,0,3360800,0,26110100,65000,6359500,399813205,0,17870800,453579405
