,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ELSA,EQUITY,7298500000.0,276,249884600,3755055741,24453500,0,2826067582,39641897,74477658,100,3625450,6973206528,0,2938887,17705600,26180554,9871900,65083400,37226553,26703500,133605578,319315972
1,2022-02-25,ELSA,EQUITY,7298500000.0,312,256388100,3762289641,24653500,0,2804658982,41144541,72971914,0,3625450,6965732128,0,2952787,19802400,26113954,9621900,65083400,37227553,26703500,139284878,326790372
2,2022-03-31,ELSA,EQUITY,7298500000.0,294,251102000,3751218441,27118500,0,2715788182,29773090,66354768,0,3425450,6844780431,0,16694587,46400263,60431054,7580900,82782600,39402753,26703500,167746412,447742069
3,2022-04-28,ELSA,EQUITY,7298500000.0,292,248581300,3755393141,25558200,0,2713024682,24247352,68947546,200000,3425450,6839377671,0,35531988,45042573,42668253,7182900,79982900,39402753,26703500,176629962,453144829
4,2022-05-31,ELSA,EQUITY,7298500000.0,308,249565500,3751545541,25148500,0,2656865782,31235073,56020957,200000,3425450,6774006803,0,41304676,46369783,87387265,6953400,85786700,40145553,26703500,183864820,518515697
5,2022-06-30,ELSA,EQUITY,7298500000.0,302,247450900,3748156041,24648500,0,2613767482,44629451,48871931,200000,3425450,6731149755,0,44852892,61103219,61034013,6848900,110548600,40825353,26703500,209456268,561372745
6,2022-07-29,ELSA,EQUITY,7298500000.0,302,247450900,3749032841,24648500,0,2613522182,26897930,46189968,200300,3425450,6711368071,0,46533930,67838894,49370913,7598900,114657800,46256353,26703500,222194139,581154429
7,2022-08-31,ELSA,EQUITY,7298500000.0,318,246942800,3746624041,24648500,0,2571801882,26805058,37012799,300,3425450,6657260830,0,50128271,67838894,98404372,6955400,115037300,47866953,26703500,222351980,635286670
8,2022-09-30,ELSA,EQUITY,7298500000.0,308,251169300,3747616341,24948500,0,2598163182,12564132,46679047,300,3225450,6684366252,0,51081563,71165494,61637231,7966900,126217400,47885953,26703500,215523207,608181248
9,2022-10-31,ELSA,EQUITY,7298500000.0,376,254959300,3746065041,24290500,0,2428608682,88739746,67218647,300,3275450,6613157666,0,49299718,70576494,121063525,10037400,137289200,47885953,26703500,216534044,679389834
10,2022-11-30,ELSA,EQUITY,7298500000.0,328,134305200,3755625841,21516900,0,2388896982,230578048,43234745,2836600,38106150,6615100466,0,47617718,75654794,98089525,9236400,149264400,48885912,26703500,221994785,677447034
