,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ENZO,EQUITY,2162545165.0,50,0,67400,0,0,498252965,0,0,0,0,498320365,0,1400000,0,0,520000,166904800,0,0,0,168824800
1,2022-02-25,ENZO,EQUITY,2162545356.0,50,0,67400,0,0,498253156,0,0,0,0,498320556,0,1400000,0,0,520000,166904800,0,0,0,168824800
2,2022-03-31,ENZO,EQUITY,2162545448.0,51,0,67400,0,0,498253248,0,0,0,0,498320648,0,1400000,0,0,520000,166904800,0,0,0,168824800
3,2022-04-28,ENZO,EQUITY,2162545448.0,53,0,67400,0,0,665178048,0,0,0,0,665245448,0,1400000,0,0,500000,0,0,0,0,1900000
4,2022-05-31,ENZO,EQUITY,2162545448.0,53,0,67400,0,0,662029248,0,0,0,0,662096648,0,1400000,0,0,3648800,0,0,0,0,5048800
5,2022-06-30,ENZO,EQUITY,2162545508.0,52,0,467400,0,0,662339308,0,0,0,0,662806708,0,700000,0,0,3638800,0,0,0,0,4338800
6,2022-07-29,ENZO,EQUITY,2162545529.0,55,0,467400,0,0,662389329,0,0,0,0,662856729,0,700000,0,0,3588800,0,0,0,0,4288800
7,2022-08-31,ENZO,EQUITY,2162545819.0,54,0,622000,0,0,662145519,0,0,0,0,662767519,0,700000,0,0,3678300,0,0,0,0,4378300
8,2022-09-30,ENZO,EQUITY,2162546168.0,55,0,622000,0,0,661869868,0,0,0,0,662491868,0,861800,0,14100,3778400,0,0,0,0,4654300
9,2022-10-31,ENZO,EQUITY,2162546197.0,61,0,622000,0,0,661787897,0,0,0,0,662409897,0,861800,0,96100,3778400,0,0,0,0,4736300
10,2022-11-30,ENZO,EQUITY,2162546642.0,68,0,422000,0,0,662022742,0,0,0,0,662444742,0,861800,0,61700,3778400,0,0,0,0,4701900
11,2022-12-30,ENZO,EQUITY,2162546672.0,66,0,217400,0,0,663164972,0,0,0,0,663382372,0,861800,0,61700,2840800,0,0,0,0,3764300
12,2023-01-31,ENZO,EQUITY,2162546692.0,59,0,67400,0,0,663314992,0,0,0,0,663382392,0,861800,0,61700,2840800,0,0,0,0,3764300
13,2023-02-28,ENZO,EQUITY,2162546818.0,50,0,67400,0,0,663315015,0,0,0,0,663382415,0,861800,0,61800,2840800,0,0,0,0,3764400
