,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-03-31,ESIP-W,WARRANT,223416024.0,32,0,348882,0,0,222887565,0,0,0,0,223236447,0,0,0,163738,0,0,15839,0,0,179577
1,2022-04-28,ESIP-W,WARRANT,223416024.0,23,0,348882,0,0,222887565,0,0,0,0,223236447,0,0,0,163738,0,0,15839,0,0,179577
2,2022-05-31,ESIP-W,WARRANT,223416024.0,14,0,348882,0,0,222887565,0,0,0,0,223236447,0,0,0,163738,0,0,15839,0,0,179577
3,2022-06-30,ESIP-W,WARRANT,223416024.0,12,0,9155982,0,0,214080465,0,0,0,0,223236447,0,0,0,163738,0,0,15839,0,0,179577
4,2022-07-29,ESIP-W,WARRANT,223416024.0,9,0,9861082,0,0,213375272,0,93,0,0,223236447,0,0,0,163738,0,0,15839,0,0,179577
5,2022-08-31,ESIP-W,WARRANT,223416024.0,10,0,8861082,0,0,214375272,0,93,0,0,223236447,0,0,0,163738,0,0,15839,0,0,179577
6,2022-09-30,ESIP-W,WARRANT,223415677.0,11,0,6861082,0,0,216374925,0,93,0,0,223236100,0,0,0,163738,0,0,15839,0,0,179577
7,2022-10-31,ESIP-W,WARRANT,223415485.0,10,0,6861082,0,0,216374549,0,277,0,0,223235908,0,0,0,163738,0,0,15839,0,0,179577
8,2022-11-30,ESIP-W,WARRANT,223415449.0,10,0,5861082,0,0,217374345,0,311,0,134,223235872,0,0,0,163738,0,0,15839,0,0,179577
9,2022-12-30,ESIP-W,WARRANT,223414965.0,10,0,6461082,0,0,216772995,0,311,0,1000,223235388,0,0,0,163738,0,0,15839,0,0,179577
10,2023-01-31,ESIP-W,WARRANT,223413870.0,8,0,5861082,0,0,217372634,0,477,0,100,223234293,0,0,0,163738,0,0,15839,0,0,179577
11,2023-02-28,ESIP-W,WARRANT,223413601.0,6,0,4394182,0,0,218839481,0,361,0,10,223234034,0,0,0,163738,0,0,15839,0,0,179577
12,2023-03-31,ESIP-W,WARRANT,223413507.0,3,0,348882,0,0,219554658,0,390,0,0,219903930,0,0,0,163738,3330000,0,15839,0,0,3509577
13,2023-04-28,ESIP-W,WARRANT,223413507.0,6,0,348882,0,0,219554653,0,390,0,5,219903930,0,0,0,163738,3330000,0,15839,0,0,3509577
14,2023-05-31,ESIP-W,WARRANT,223410077.0,4,0,348882,0,0,222881305,0,313,0,0,223230500,0,0,0,163738,0,0,15839,0,0,179577
15,2023-06-27,ESIP-W,WARRANT,223410070.0,3,0,348882,0,0,222881298,0,313,0,0,223230493,0,0,0,163738,0,0,15839,0,0,179577
16,2023-07-31,ESIP-W,WARRANT,223409046.0,3,0,348882,0,0,222880275,0,312,0,0,223229469,0,0,0,163738,0,0,15839,0,0,179577
17,2023-08-31,ESIP-W,WARRANT,223408967.0,3,0,348882,0,0,222880283,0,225,0,0,223229390,0,0,0,163738,0,0,15839,0,0,179577
