,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ESSA,EQUITY,15660887000.0,595,74938600,5047276578,24432200,0,5942596879,412869000,629420,450000,782050,11503974727,0,162382700,583800,2177298240,93733100,17923000,89250800,0,1615740633,4156912273
1,2022-02-25,ESSA,EQUITY,15660887000.0,670,75737900,5097731578,22155600,0,5966718559,404282800,2599520,800000,782050,11570808007,0,162588900,583800,2119551560,71991800,18998100,100566600,0,1615798233,4090078993
2,2022-03-31,ESSA,EQUITY,15660887000.0,1215,210435400,5091801178,21633800,1500000,5932800659,439688300,913320,3836900,782050,11703391607,0,161953800,1014900,2074429860,57673900,19031900,79323100,0,1564067933,3957495393
3,2022-04-28,ESSA,EQUITY,15660887000.0,1240,451292400,5100077678,18863900,0,5786132259,507207300,1854320,3281900,416450,11869126207,0,174762000,1014900,1925064260,57880700,30502937,118112677,191700,1484231619,3791760793
4,2022-05-31,ESSA,EQUITY,15660887000.0,1175,560887900,4973902178,31956800,0,5688324559,598806900,50948482,3424400,416450,11908667669,0,221120100,1014900,1851432860,49458100,26489175,132135577,191700,1470376919,3752219331
5,2022-06-30,ESSA,EQUITY,15660887000.0,835,382238500,4965728478,37022100,1000000,5733863459,481903800,102182123,1305000,416450,11705659910,8973400,212412100,42379200,1850409560,46874800,135063866,123890877,191700,1535031587,3955227090
6,2022-07-29,ESSA,EQUITY,15660887000.0,1035,349485300,4995476978,36435400,0,5784378159,505393700,89768897,1380000,416450,11762734884,8973400,190403200,43680300,1773422860,52796500,136714518,496302577,0,1195858761,3898152116
7,2022-08-31,ESSA,EQUITY,15660887000.0,1115,371964300,5067197478,38840800,0,5638247459,491528276,84977821,1049500,416450,11694222084,24800600,197319900,42885000,1758440677,77321700,161133501,496298277,0,1208465261,3966664916
8,2022-09-30,ESSA,EQUITY,15660887000.0,995,388357400,5077465978,44303500,0,5617364559,502473991,85028256,1449500,753400,11717196584,38604200,201210900,40310500,1701525172,68423200,193627315,495888517,1138900,1202961712,3943690416
9,2022-10-31,ESSA,EQUITY,15660887000.0,1065,326755100,5102829978,49720500,0,5644141859,435713949,84057680,2685300,1478100,11647382466,40275600,189132200,45354700,1742629272,56498500,237438133,492874017,465100,1208837012,4013504534
10,2022-11-30,ESSA,EQUITY,15660887000.0,1065,372854700,5182438580,46954900,0,5534964257,442565674,84334555,4185300,0,11668297966,47069700,185691300,55795700,1711032772,55724100,240677078,488337640,465100,1207795644,3992589034
11,2022-12-30,ESSA,EQUITY,15660887000.0,915,347617900,5226651977,49516100,0,5535296560,415184730,63598954,7129700,0,11644995921,50563000,185714900,58312800,1720196265,49490500,245717506,493391240,465100,1212039768,4015891079
12,2023-01-31,ESSA,EQUITY,15660887000.0,990,339098600,5236992277,51100400,0,5492365160,375150586,70788270,4833800,0,11570329093,52556400,198337600,58579678,1769364627,49597500,245207222,500455940,465100,1215993840,4090557907
13,2023-02-28,ESSA,EQUITY,17226975700.0,1070,323684900,5291129977,43564400,0,7050768960,370072948,70931870,4142900,4000,13154299955,58985800,591204100,59963561,1739681827,49568500,228194392,501277240,465100,843335225,4072675745
14,2023-03-31,ESSA,EQUITY,17226975700.0,945,276082800,5255525877,33537200,0,7527057560,343983137,96311146,4382600,4000,13536884320,69411600,489666600,133548061,1094048989,49719500,315141565,542711140,465100,995378825,3690091380
15,2023-04-28,ESSA,EQUITY,17226975700.0,700,255661100,5224351077,32186100,0,7163384860,300817856,99516598,5452200,1104000,13082473791,67868900,571123900,143830261,1537808851,51746300,321453532,562664540,0,888005625,4144501909
16,2023-05-31,ESSA,EQUITY,17226975700.0,488,201020800,5339030277,26353900,0,7119652760,207053428,105735185,5452200,154000,13004452550,67868900,566512700,144999461,1578734751,54504500,329309787,583957885,0,896635166,4222523150
17,2023-06-27,ESSA,EQUITY,17226975700.0,580,200527800,5334363377,26486500,0,7152705160,219237486,104626827,5752200,304000,13044003350,73372600,567784900,147642261,1523054551,54576000,338489887,586887585,0,891164566,4182972350
18,2023-07-31,ESSA,EQUITY,17226975700.0,590,178618200,5315124077,24226800,0,7227359760,204239161,85014552,7674600,904000,13043161150,86455300,564510400,148737361,1593294551,53887200,328565387,590015885,0,818348466,4183814550
19,2023-08-31,ESSA,EQUITY,17226975700.0,605,206055100,5298800977,28102600,0,7203689760,222841684,85256629,7674600,983000,13053404350,94660900,563202000,131735261,1605456651,54929800,325155587,593681785,0,804749366,4173571350
20,2023-09-29,ESSA,EQUITY,17226975700.0,795,259551000,5280463149,38079400,0,7055017960,384063002,85623439,7169300,1515300,13111482550,63131600,554711800,131885061,1602151751,51995600,329744287,593770285,0,788102766,4115493150
21,2023-10-31,ESSA,EQUITY,17226975700.0,600,218430300,5267251777,40318600,0,6906508260,382602632,212267245,7374500,29000,13034782314,40471900,554112900,126315161,1586667351,54358600,417807423,604943385,0,807516666,4192193386
22,2023-11-30,ESSA,EQUITY,17226975700.0,555,217770300,5265727277,39605400,0,7098032260,353486564,34467713,7389500,79000,13016558014,32704400,551340000,151623961,1585687051,56238200,416609123,608317685,0,807897266,4210417686
23,2023-12-29,ESSA,EQUITY,17226975700.0,530,201647700,5137072277,45102500,0,7280748060,309379670,31404890,7251500,29000,13012635597,31134600,550956900,153544178,1585608551,58235900,413188623,611488785,0,810182566,4214340103
24,2024-01-31,ESSA,EQUITY,17226975700.0,492,184488400,5137925877,36803500,0,7303263460,308204072,31243388,6725400,29000,13008683097,24394600,549865100,152151878,1575774151,57689100,486586423,561518685,0,810312666,4218292603
25,2024-02-29,ESSA,EQUITY,17226975700.0,515,139506800,3143666877,33901700,0,9325834960,237258689,36157661,6955400,129000,12923411087,24394600,566985000,152151878,1618880651,58604700,491096723,571545185,0,819905876,4303564613
26,2024-03-28,ESSA,EQUITY,17226975700.0,675,181092800,3192645877,41156300,0,9309357160,245660617,37438595,6725400,229000,13014305749,24394600,471600200,156907978,1608686951,62714300,493197423,573965885,0,821202614,4212669951
27,2024-04-30,ESSA,EQUITY,17226975700.0,780,366264300,3154938077,40825200,0,9151305460,285017819,36349215,6365400,29000,13041094471,20859000,464430578,162947078,1599765243,59036800,488823431,571439685,0,818579414,4185881229
28,2024-05-31,ESSA,EQUITY,17226975700.0,770,459147300,3250141077,38861000,0,8952589860,293850732,42478623,6165400,4000,13043237992,20859000,461280278,163151978,1606501103,51010000,495826550,569517185,0,815591614,4183737708
29,2024-06-28,ESSA,EQUITY,17226975700.0,770,548261200,3127627377,34814000,0,8413089960,291031916,41216139,6165400,4000,12462209992,35274800,456200558,147758778,2167402823,26591300,498812350,606376285,0,826348814,4764765708
30,2024-07-31,ESSA,EQUITY,17226975700.0,840,579672200,3088096077,33572900,0,8357112778,264560279,44826458,6165400,4000,12374010092,35630900,473229258,162529778,2245437163,26657800,507368010,593719185,0,808393514,4852965608
31,2024-08-30,ESSA,EQUITY,17226975700.0,890,629343900,3066081677,34968100,0,8369168960,201967825,40025311,6165400,122500,12347843673,70434100,474431739,162985178,2231389582,26778100,507902533,593053145,0,812157650,4879132027
32,2024-09-30,ESSA,EQUITY,17226975700.0,885,656290400,3066141877,38270300,0,8305635560,239694265,35075607,5884400,222500,12347214909,83718700,461818739,163691278,2230279582,26794000,509724097,594806045,0,808928350,4879760791
33,2024-10-31,ESSA,EQUITY,17226975700.0,985,706045700,3012135477,81679400,0,8211836060,307535058,43055247,9390400,204000,12371881342,84992200,504469274,181721978,2148646768,26696500,493035675,592350051,0,823181912,4855094358
34,2024-11-29,ESSA,EQUITY,17226975700.0,820,732726400,3012902977,88997100,0,8187503360,300194111,43148855,10483000,344000,12376299803,99546500,489978532,191479678,2163730906,26676900,490857599,595800951,0,792604831,4850675897
35,2024-12-30,ESSA,EQUITY,17226975700.0,810,789949900,2956666127,90572800,0,8173576010,274868113,43185680,12260800,104000,12341183430,99546500,562625332,194187173,2166815646,26661400,494096359,591999368,0,749860492,4885792270
