,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ETWA,EQUITY,4668671400.0,62,500,3700430400,200000,46000,231590600,563000,10000,0,0,3932840500,0,115044800,0,59785600,83024800,0,0,0,238993200,496848400
1,2022-02-25,ETWA,EQUITY,4668671400.0,62,500,3700430400,200000,46000,231590600,563000,10000,0,0,3932840500,0,115044800,0,59785600,83024800,0,0,0,238993200,496848400
2,2022-03-31,ETWA,EQUITY,4668671400.0,62,500,3700430400,200000,46000,231590600,563000,10000,0,0,3932840500,0,115044800,0,59785600,83024800,0,0,0,238993200,496848400
3,2022-04-28,ETWA,EQUITY,4668671400.0,62,500,3700430400,200000,46000,231590600,563000,10000,0,0,3932840500,0,115044800,0,59785600,83024800,0,0,0,238993200,496848400
4,2022-05-31,ETWA,EQUITY,4668671400.0,62,500,3700430400,200000,46000,231590600,563000,10000,0,0,3932840500,0,115044800,0,59785600,83024800,0,0,0,238993200,496848400
5,2022-06-30,ETWA,EQUITY,4668671400.0,62,500,3700430400,200000,46000,231590600,563000,10000,0,0,3932840500,0,115044800,0,59785600,83024800,0,0,0,238993200,496848400
6,2022-07-29,ETWA,EQUITY,4668671400.0,62,500,3700430400,200000,46000,231590600,563000,10000,0,0,3932840500,0,115044800,0,59785600,83024800,0,0,0,238993200,496848400
7,2022-08-31,ETWA,EQUITY,4668671400.0,77,500,3700430400,160000,46000,231645600,563000,10000,0,0,3932855500,0,115044800,0,59785600,83009800,0,0,0,238993200,496833400
8,2022-09-30,ETWA,EQUITY,4668671400.0,198,500,3700430400,131300,46000,211927200,563000,10000,0,0,3913108400,0,115044800,0,59785600,82889800,0,1334200,0,257526100,516580500
9,2022-10-31,ETWA,EQUITY,4668671400.0,214,500,3700430400,139300,46000,204440200,563000,10000,0,0,3905629400,0,115044800,0,59795700,82513500,0,6026100,0,260679400,524059500
10,2022-11-30,ETWA,EQUITY,4668671400.0,238,500,3700430400,139300,46000,198432600,563000,10000,0,0,3899621800,0,115044800,0,59816800,82483500,0,9956200,0,262765800,530067100
11,2022-12-30,ETWA,EQUITY,4668671400.0,179,500,3703654400,139300,46000,196874800,563000,10000,0,0,3901288000,0,115044800,0,59786900,82483600,0,10534600,0,260551000,528400900
12,2023-01-31,ETWA,EQUITY,4668671400.0,180,500,3703654400,139300,46000,196501400,563000,10000,0,0,3900914600,0,115044800,0,59785600,82483600,0,10634600,0,260825700,528774300
13,2023-02-28,ETWA,EQUITY,4668671400.0,216,500,3703654400,139300,46000,194700100,563000,10000,0,0,3899113300,0,115044800,0,59849100,82455600,0,11723200,0,261502900,530575600
14,2023-03-31,ETWA,EQUITY,4668671400.0,350,500,3700430400,32900,46000,189795200,563000,10000,0,0,3890878000,0,115044800,0,59868600,82455700,0,14054200,0,267387600,538810900
15,2023-04-28,ETWA,EQUITY,4668671400.0,290,500,3700430400,32900,46000,189075000,563000,10000,0,0,3890157800,0,115044800,0,59861600,82455700,0,14086200,0,268082800,539531100
16,2023-05-31,ETWA,EQUITY,4668671400.0,181,500,3700430400,32900,46000,188992800,563000,10000,0,0,3890075600,0,115044800,0,59904000,82425700,0,14086200,0,268152600,539613300
17,2023-06-27,ETWA,EQUITY,4668671400.0,150,500,3700430400,32900,46000,188996300,563000,10000,0,0,3890079100,0,115044800,0,59900500,82425700,0,14086200,0,268152600,539609800
18,2023-07-31,ETWA,EQUITY,4668671400.0,128,500,3700430400,32900,46000,189004600,563000,10000,0,0,3890087400,0,115044800,0,59892200,82425700,0,14086200,0,268152600,539601500
19,2023-08-31,ETWA,EQUITY,4668671400.0,115,500,3700430400,32900,46000,189024300,563000,10000,0,0,3890107100,0,115044800,0,59872500,82425700,0,14086200,0,268152600,539581800
20,2023-09-29,ETWA,EQUITY,4668671400.0,110,500,3700434500,32900,46000,189051400,563000,10000,0,0,3890138300,0,115044800,0,59841300,82425700,0,14086200,0,268152600,539550600
21,2023-10-31,ETWA,EQUITY,4668671400.0,101,500,3700430400,32900,46000,189080700,563000,10000,0,0,3890163500,0,115044800,0,59816100,82425700,0,14086200,0,268152600,539525400
22,2023-11-30,ETWA,EQUITY,4668671400.0,99,500,3700430400,32900,46000,189091300,563000,10000,0,0,3890174100,0,115044800,0,59805500,82425700,0,14086200,0,268152600,539514800
23,2023-12-29,ETWA,EQUITY,4668671400.0,97,500,3700430400,32900,46000,189172600,563000,10000,0,0,3890255400,0,115044800,0,59789700,82360200,0,14086200,0,268152600,539433500
24,2024-01-31,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189217200,563000,10000,0,0,3890300000,0,115044800,0,59789600,82315700,0,14086200,0,268152600,539388900
25,2024-02-29,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
26,2024-03-28,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
27,2024-04-30,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
28,2024-05-31,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
29,2024-06-28,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
30,2024-07-31,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
31,2024-08-30,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
32,2024-09-30,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189219100,563000,10000,0,0,3890301900,0,115044800,0,59787700,82315700,0,14086200,0,268152600,539387000
33,2024-10-31,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189064600,563000,10000,0,0,3890147400,0,115044800,0,59787700,82470200,0,14086200,0,268152600,539541500
34,2024-11-29,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189064600,563000,10000,0,0,3890147400,0,115044800,0,59787700,82470200,0,14086200,0,268152600,539541500
35,2024-12-30,ETWA,EQUITY,4668671400.0,70,500,3700430400,32900,46000,189064600,563000,10000,0,0,3890147400,0,115044800,0,59787700,82470200,0,14086200,0,268152600,539541500
