,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,FASW,EQUITY,2477888787.0,7300,4000,759628497,0,12940,873932,0,1718,250500,0,760771587,0,1368951916,0,2601556,3667,0,0,0,6,1371557145
1,2022-02-25,FASW,EQUITY,2477888787.0,8500,4000,759628497,0,12940,873932,0,1738,250500,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
2,2022-03-31,FASW,EQUITY,2477888787.0,7475,4000,759628497,0,12940,875132,0,1738,249300,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
3,2022-04-28,FASW,EQUITY,2477888787.0,6175,4000,758247997,0,1393440,878632,0,1738,245800,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
4,2022-05-31,FASW,EQUITY,2477888787.0,6400,4000,758247997,0,1393440,878632,0,1738,245800,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
5,2022-06-30,FASW,EQUITY,2477888787.0,6700,4000,758247997,0,1393440,878732,0,1738,245700,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
6,2022-07-29,FASW,EQUITY,2477888787.0,6975,4000,758247997,0,1393440,878732,0,1738,245700,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
7,2022-08-31,FASW,EQUITY,2477888787.0,6475,4000,758247997,0,1393440,878832,0,1738,245600,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
8,2022-09-30,FASW,EQUITY,2477888787.0,6250,4000,758247997,0,1393440,883032,0,1738,241400,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
9,2022-10-31,FASW,EQUITY,2477888787.0,6150,4000,758247997,0,1393440,885532,0,1738,238900,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
10,2022-11-30,FASW,EQUITY,2477888787.0,6100,4000,758247997,0,1393440,888532,0,1738,235900,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
11,2022-12-30,FASW,EQUITY,2477888787.0,5850,4000,758247997,0,1393440,891032,0,1738,233400,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
12,2023-01-31,FASW,EQUITY,2477888787.0,6250,4000,758247997,0,1393440,891032,0,1738,233400,0,760771607,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
13,2023-02-28,FASW,EQUITY,2477888787.0,6350,4000,865875324,0,1393440,894432,0,1738,229900,0,868398834,0,1368951916,0,2601636,3667,0,0,0,6,1371557225
14,2023-03-31,FASW,EQUITY,2477888787.0,6000,4000,865875324,0,1393440,905932,0,1738,218500,0,868398934,0,1368951916,0,2601536,3667,0,0,0,6,1371557125
15,2023-04-28,FASW,EQUITY,2477888787.0,6000,4000,865875324,0,1393440,912032,0,1738,212200,0,868398734,0,1368951916,0,2601736,3667,0,0,0,6,1371557325
16,2023-05-31,FASW,EQUITY,2477888787.0,6000,4000,865875324,0,1393440,912332,0,1738,211900,0,868398734,0,1368951916,0,2601736,3667,0,0,0,6,1371557325
17,2023-06-27,FASW,EQUITY,2477888787.0,5800,4000,865875324,0,1393440,912432,0,1738,211800,0,868398734,0,1368951916,0,2601736,3667,0,0,0,6,1371557325
18,2023-07-31,FASW,EQUITY,2477888787.0,6000,4000,865875324,0,1393440,912532,0,1738,211700,0,868398734,0,1368951916,0,2601736,3667,0,0,0,6,1371557325
19,2023-08-31,FASW,EQUITY,2477888787.0,6075,4000,865875324,0,1393440,916532,0,1738,206800,0,868397834,0,1368951916,0,2602636,3667,0,0,0,6,1371558225
20,2023-09-29,FASW,EQUITY,2477888787.0,5825,4000,865875324,0,1393440,916632,0,1738,206800,0,868397934,0,1368951916,0,1267,3667,0,2601269,0,6,1371558125
21,2023-10-31,FASW,EQUITY,2477888787.0,5825,4000,865875324,0,1393440,916732,0,1738,206800,0,868398034,0,1368951916,0,1167,3667,0,2601269,0,6,1371558025
22,2023-11-30,FASW,EQUITY,2477888787.0,5825,4000,865875324,0,1393440,916732,0,1738,206800,0,868398034,0,1368951916,0,1167,3667,0,2601269,0,6,1371558025
23,2023-12-29,FASW,EQUITY,2477888787.0,5800,4000,1102125324,0,1393440,916732,0,1738,206800,0,1104648034,0,1368951916,0,1167,3667,0,2601269,0,6,1371558025
24,2024-01-31,FASW,EQUITY,2477888787.0,5800,4000,1102125324,0,1393440,916732,0,1738,206800,0,1104648034,0,1368951916,0,1167,3667,0,2601269,0,6,1371558025
