,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,140500000000,3000000000,62500000000,246000000000,7000000,523322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,140500000000,3000000000,62500000000,231000000000,7000000,538322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,140500000000,3000000000,41500000000,231000000000,7000000,559322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,178500000000,3000000000,41500000000,231000000000,7000000,521322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,178500000000,3000000000,51500000000,231000000000,7000000,511322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,200500000000,3000000000,51500000000,231000000000,7000000,489322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,200500000000,3000000000,51500000000,281000000000,7000000,439322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,200500000000,3000000000,51500000000,231000000000,7000000,489322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,200500000000,3000000000,51500000000,231000000000,7000000,489322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,FIFA05ACN2,CORPORATE BOND,975329000000.0,1,200500000000,3000000000,51500000000,231000000000,7000000,489322000000,0,0,0,975329000000,0,0,0,0,0,0,0,0,0,0
