,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,FITT,EQUITY,726122199.0,550,0,187500000,0,0,528327899,0,0,0,0,715827899,0,0,0,10294300,0,0,0,0,0,10294300
1,2022-02-25,FITT,EQUITY,726130099.0,412,0,190219300,0,0,525214199,0,0,0,0,715433499,0,0,0,10696600,0,0,0,0,0,10696600
2,2022-03-31,FITT,EQUITY,726130099.0,290,0,195104400,0,0,521896699,0,0,0,0,717001099,0,0,0,9129000,0,0,0,0,0,9129000
3,2022-04-28,FITT,EQUITY,726130099.0,266,0,195104400,0,0,522230199,0,0,0,0,717334599,0,0,0,8795500,0,0,0,0,0,8795500
4,2022-05-31,FITT,EQUITY,726130099.0,260,0,195104400,0,0,522869699,0,0,0,0,717974099,0,0,0,8156000,0,0,0,0,0,8156000
5,2022-06-30,FITT,EQUITY,726130199.0,194,0,195104400,0,0,523802999,0,0,0,0,718907399,0,0,0,7222800,0,0,0,0,0,7222800
6,2022-07-29,FITT,EQUITY,726130199.0,206,0,195104400,0,0,524104299,0,0,0,0,719208699,0,0,0,6921500,0,0,0,0,0,6921500
7,2022-08-31,FITT,EQUITY,726130199.0,204,0,195104400,0,0,524194799,0,0,0,0,719299199,0,0,0,6831000,0,0,0,0,0,6831000
8,2022-09-30,FITT,EQUITY,726130199.0,197,0,195104400,0,0,524894099,0,0,0,0,719998499,0,0,0,6131700,0,0,0,0,0,6131700
9,2022-10-31,FITT,EQUITY,726130199.0,218,0,195104400,0,0,531025799,0,0,0,0,726130199,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,FITT,EQUITY,726130199.0,420,0,195104400,0,0,531024799,0,0,0,0,726129199,0,100,0,900,0,0,0,0,0,1000
11,2022-12-30,FITT,EQUITY,726130199.0,438,0,220978000,0,0,505099699,0,0,0,0,726077699,0,100,0,52400,0,0,0,0,0,52500
12,2023-01-31,FITT,EQUITY,726130199.0,412,0,222073000,0,0,503933199,0,0,0,0,726006199,0,0,0,124000,0,0,0,0,0,124000
13,2023-02-28,FITT,EQUITY,726130199.0,438,0,222073000,0,0,504056699,0,0,0,0,726129699,0,0,0,500,0,0,0,0,0,500
14,2023-03-31,FITT,EQUITY,726130199.0,446,0,222073000,0,0,504057099,0,0,0,0,726130099,0,0,0,100,0,0,0,0,0,100
15,2023-04-28,FITT,EQUITY,726130199.0,496,0,222073000,0,0,503824099,0,0,0,0,725897099,0,0,0,233100,0,0,0,0,0,233100
16,2023-05-31,FITT,EQUITY,726130199.0,620,0,222073000,0,0,503858099,0,0,0,0,725931099,0,0,0,199100,0,0,0,0,0,199100
17,2023-06-27,FITT,EQUITY,726130199.0,625,0,222073000,0,0,503763699,0,0,0,0,725836699,0,0,0,293500,0,0,0,0,0,293500
18,2023-07-31,FITT,EQUITY,726130199.0,620,0,222073000,0,0,503455799,0,0,0,0,725528799,0,0,0,601400,0,0,0,0,0,601400
19,2023-08-31,FITT,EQUITY,726130199.0,625,0,222073000,0,0,503661499,0,0,0,0,725734499,0,0,0,395700,0,0,0,0,0,395700
20,2023-09-29,FITT,EQUITY,726130199.0,620,0,222073000,0,0,503859099,0,0,0,0,725932099,0,0,0,198100,0,0,0,0,0,198100
21,2023-10-31,FITT,EQUITY,726130199.0,620,0,222073000,0,0,503937199,0,0,0,0,726010199,0,0,0,120000,0,0,0,0,0,120000
22,2023-11-30,FITT,EQUITY,726130199.0,585,0,222073000,0,0,504057099,0,0,0,0,726130099,0,0,0,100,0,0,0,0,0,100
23,2023-12-29,FITT,EQUITY,726130199.0,520,0,222073000,0,0,503894299,0,0,0,0,725967299,0,0,0,162900,0,0,0,0,0,162900
24,2024-01-31,FITT,EQUITY,726130199.0,565,0,222073000,0,0,504034999,0,0,0,0,726107999,0,0,0,22200,0,0,0,0,0,22200
25,2024-02-29,FITT,EQUITY,726130199.0,590,0,222073000,0,0,504011099,0,0,0,0,726084099,0,0,0,46100,0,0,0,0,0,46100
26,2024-03-28,FITT,EQUITY,726130199.0,605,0,192073000,0,0,533949799,0,0,0,0,726022799,0,0,0,107400,0,0,0,0,0,107400
27,2024-04-30,FITT,EQUITY,726130199.0,580,0,192073000,0,0,534057099,0,0,0,0,726130099,0,0,0,100,0,0,0,0,0,100
28,2024-05-31,FITT,EQUITY,726130199.0,330,0,192073000,0,0,534057099,0,0,0,0,726130099,0,0,0,100,0,0,0,0,0,100
29,2024-06-28,FITT,EQUITY,726130199.0,103,0,192273000,0,0,533857099,0,0,0,0,726130099,0,0,0,100,0,0,0,0,0,100
30,2024-07-31,FITT,EQUITY,1304272051.0,101,0,253222900,0,0,715049051,0,0,0,0,968271951,0,0,0,100,0,0,0,0,0,100
31,2024-08-30,FITT,EQUITY,1304272051.0,99,0,253849400,0,0,714422551,0,0,0,0,968271951,0,0,0,100,0,0,0,0,0,100
32,2024-09-30,FITT,EQUITY,1304272051.0,100,0,403743800,0,0,900528151,0,0,0,0,1304271951,0,0,0,100,0,0,0,0,0,100
