,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-08-31,FOLK,EQUITY,3948133300.0,82,0,2774735800,0,0,1172047100,0,0,0,0,3946782900,0,0,0,47900,1299300,0,3200,0,0,1350400
1,2023-09-29,FOLK,EQUITY,3948133300.0,73,0,2778632200,0,0,1162921600,0,0,0,0,3941553800,0,0,0,5323400,1252900,0,3200,0,0,6579500
2,2023-10-31,FOLK,EQUITY,3948133300.0,64,0,2793421300,0,0,1150921200,0,0,0,0,3944342500,0,0,0,2538600,1249000,0,3200,0,0,3790800
3,2023-11-30,FOLK,EQUITY,3948133300.0,65,0,2793491300,0,0,1148141900,0,0,0,0,3941633200,0,0,0,5312500,1184400,0,3200,0,0,6500100
4,2023-12-29,FOLK,EQUITY,3948133300.0,63,0,2793491300,0,0,1151394900,0,0,0,0,3944886200,0,0,0,2559000,684900,0,3200,0,0,3247100
5,2024-01-31,FOLK,EQUITY,3948133300.0,59,0,2793491300,0,0,1151867000,0,0,0,0,3945358300,0,0,0,2086700,685100,0,3200,0,0,2775000
6,2024-02-29,FOLK,EQUITY,3948135103.0,66,0,2793421300,0,0,1153975703,0,0,0,0,3947397003,0,0,0,48900,686000,0,3200,0,0,738100
7,2024-03-28,FOLK,EQUITY,3948137348.0,82,0,2794526700,0,0,1152137748,0,0,0,0,3946664448,0,0,0,783700,686000,0,3200,0,0,1472900
8,2024-04-30,FOLK,EQUITY,3948138218.0,68,0,3230045632,0,0,716512436,0,50,0,0,3946558118,0,0,0,890900,686000,0,3200,0,0,1580100
9,2024-05-31,FOLK,EQUITY,3948139051.0,64,0,3230045632,0,0,716169269,0,50,0,0,3946214951,0,0,0,1236400,684500,0,3200,0,0,1924100
10,2024-06-28,FOLK,EQUITY,3948139953.0,54,0,3230045632,0,0,716109921,0,100,0,0,3946155653,0,0,0,1297500,683600,0,3200,0,0,1984300
11,2024-07-31,FOLK,EQUITY,3948141413.0,56,0,3230361332,0,0,715938181,0,0,0,0,3946299513,0,0,0,1157400,681300,0,3200,0,0,1841900
12,2024-08-30,FOLK,EQUITY,3948141464.0,51,0,3222166732,0,0,724390982,0,50,0,0,3946557764,0,0,0,909200,671300,0,3200,0,0,1583700
13,2024-09-30,FOLK,EQUITY,3948141464.0,50,0,3218945232,0,0,727783282,0,50,0,0,3946728564,0,0,0,813400,596300,0,3200,0,0,1412900
14,2024-10-31,FOLK,EQUITY,3948141464.0,59,0,3219021532,0,0,728521082,0,50,0,0,3947542664,0,0,0,3400,592200,0,3200,0,0,598800
15,2024-11-29,FOLK,EQUITY,3948141464.0,50,0,3219021532,0,0,728505882,0,50,0,0,3947527464,0,0,0,18600,592200,0,3200,0,0,614000
16,2024-12-30,FOLK,EQUITY,3948141464.0,50,0,3266155822,0,0,681371592,0,50,0,0,3947527464,0,0,0,18600,592200,0,3200,0,0,614000
