,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,GLVA,EQUITY,1500000000.0,264,0,182289600,0,0,208436300,0,0,0,0,390725900,0,0,0,50000000,109196000,0,80598400,0,69479700,309274100
1,2022-02-25,GLVA,EQUITY,1500000000.0,262,0,182289600,0,0,208302300,0,0,0,0,390591900,0,0,0,50000000,109196000,0,80732400,0,69479700,309408100
2,2022-03-31,GLVA,EQUITY,1500000000.0,268,0,182289600,0,0,208302300,0,0,0,0,390591900,0,0,0,50000000,109196000,0,80732400,0,69479700,309408100
3,2022-04-28,GLVA,EQUITY,1500000000.0,272,0,182289600,0,0,208302300,0,0,0,0,390591900,0,0,0,50000000,109196000,0,80732400,0,69479700,309408100
4,2022-05-31,GLVA,EQUITY,1500000000.0,268,0,182289600,0,0,208299200,0,0,0,0,390588800,0,0,0,50000000,109199100,0,80732400,0,69479700,309411200
5,2022-06-30,GLVA,EQUITY,1500000000.0,278,0,182283800,0,0,188335700,0,0,19969300,0,390588800,0,0,0,50000000,109199100,0,80732400,0,69479700,309411200
6,2022-07-29,GLVA,EQUITY,1500000000.0,280,0,182283800,0,0,188421200,0,0,19969300,0,390674300,0,0,0,50000000,109113600,0,80732400,0,69479700,309325700
7,2022-08-31,GLVA,EQUITY,1500000000.0,308,0,182283800,0,0,166299800,0,0,42073700,0,390657300,0,0,0,50000000,109130600,0,80732400,0,69479700,309342700
8,2022-09-30,GLVA,EQUITY,1500000000.0,302,0,182283800,0,0,166299800,0,0,42073700,0,390657300,0,0,0,50000000,109130600,0,80732400,0,69479700,309342700
9,2022-10-31,GLVA,EQUITY,1500000000.0,340,0,182283800,0,0,166299800,0,0,42073700,0,390657300,0,0,0,50000000,109130600,0,80732400,0,69479700,309342700
10,2022-11-30,GLVA,EQUITY,1500000000.0,440,0,182283800,0,0,166307200,0,0,42073700,0,390664700,0,0,0,50000000,109123200,0,80732400,0,69479700,309335300
11,2022-12-30,GLVA,EQUITY,1500000000.0,645,0,182283800,0,0,166739700,0,0,42073700,0,391097200,0,0,0,50000000,108690700,0,80732400,0,69479700,308902800
12,2023-01-31,GLVA,EQUITY,1500000000.0,640,0,182283800,0,0,166734900,0,0,42073700,0,391092400,0,0,0,50004800,108690700,0,80732400,0,69479700,308907600
13,2023-02-28,GLVA,EQUITY,1500000000.0,760,0,182283800,0,0,166601700,0,0,42073700,0,390959200,0,0,0,50138000,108690700,0,80732400,0,69479700,309040800
14,2023-03-31,GLVA,EQUITY,1500000000.0,800,0,182283800,0,0,166347800,0,0,42073700,0,390705300,0,0,0,50391900,108690700,0,80732400,0,69479700,309294700
15,2023-04-28,GLVA,EQUITY,1500000000.0,765,0,182283800,0,0,166348900,0,0,42073700,0,390706400,0,0,0,50391300,108690700,0,80731900,0,69479700,309293600
16,2023-05-31,GLVA,EQUITY,1500000000.0,530,0,182283800,0,0,166347700,0,0,42073700,0,390705200,0,0,0,50392500,108690700,0,80731900,0,69479700,309294800
17,2023-06-27,GLVA,EQUITY,1500000000.0,580,0,182283800,0,0,166438700,0,0,42073700,0,390796200,0,0,0,50301500,108690700,0,80731900,0,69479700,309203800
18,2023-07-31,GLVA,EQUITY,1500000000.0,735,0,182283800,0,0,166605600,0,0,42073700,0,390963100,0,0,0,50134600,108690700,0,80731900,0,69479700,309036900
19,2023-08-31,GLVA,EQUITY,1500000000.0,890,0,182283800,0,0,166738800,0,0,42073700,0,391096300,0,0,0,50001400,108690700,0,80731900,0,69479700,308903700
20,2023-09-29,GLVA,EQUITY,1500000000.0,895,0,182283800,0,0,166599000,0,0,42073700,0,390956500,0,0,0,50141200,108690700,0,80731900,0,69479700,309043500
21,2023-10-31,GLVA,EQUITY,1500000000.0,550,0,182283800,0,0,166740100,0,0,42073700,0,391097600,0,0,0,50000100,108690700,0,80731900,0,69479700,308902400
22,2023-11-30,GLVA,EQUITY,1500000000.0,800,0,182283800,0,0,166729700,0,0,42073700,0,391087200,0,0,0,50010500,108690700,0,80731900,0,69479700,308912800
23,2023-12-29,GLVA,EQUITY,1500000000.0,650,0,182283800,0,0,236716200,0,0,42073700,0,461073700,0,0,0,50024000,38690700,0,80731900,0,69479700,238926300
24,2024-01-31,GLVA,EQUITY,1500000000.0,462,0,182283800,0,0,236658100,0,0,42073700,0,461015600,0,0,0,50082100,38690700,0,80731900,0,69479700,238984400
25,2024-02-29,GLVA,EQUITY,1500000000.0,446,0,175283800,0,0,243691000,0,0,42073700,0,461048500,0,0,0,50049200,38690700,0,80731900,0,69479700,238951500
26,2024-03-28,GLVA,EQUITY,1500000000.0,380,0,175283800,0,0,243662900,0,0,42073700,0,461020400,0,0,0,50077300,38690700,0,80731900,0,69479700,238979600
27,2024-04-30,GLVA,EQUITY,1500000000.0,320,0,175283800,0,0,243732100,0,0,42073700,0,461089600,0,0,0,50008100,38690700,0,80731900,0,69479700,238910400
28,2024-05-31,GLVA,EQUITY,1500000000.0,310,0,145801900,0,0,269821500,0,0,42073700,0,457697100,0,0,0,50018400,38690700,0,84114100,0,69479700,242302900
29,2024-06-28,GLVA,EQUITY,1500000000.0,386,0,145801900,0,0,269827900,0,0,42073700,0,457703500,0,0,0,50012000,38690700,0,93593800,0,60000000,242296500
30,2024-07-31,GLVA,EQUITY,1500000000.0,364,0,145801900,0,0,258628100,0,0,42073700,0,446503700,0,0,0,50000100,9700,0,143486500,0,60000000,253496300
31,2024-08-30,GLVA,EQUITY,1500000000.0,332,0,145801900,0,0,258617300,0,0,42073700,0,446492900,0,0,0,50010900,9700,0,143486500,0,60000000,253507100
32,2024-09-30,GLVA,EQUITY,1500000000.0,358,0,145801900,0,0,258624000,0,0,42073700,0,446499600,0,0,0,50004200,9700,0,143486500,0,60000000,253500400
33,2024-10-31,GLVA,EQUITY,1500000000.0,352,0,145801900,0,0,258619100,0,0,42073700,0,446494700,0,0,0,50009100,9700,0,143486500,0,60000000,253505300
34,2024-11-29,GLVA,EQUITY,1500000000.0,348,0,145801900,0,0,258618400,0,0,42073700,0,446494000,0,0,0,50009800,9700,0,143486500,0,60000000,253506000
35,2024-12-30,GLVA,EQUITY,1500000000.0,332,0,145801900,0,0,258615400,0,0,42073700,0,446491000,0,0,0,50000100,9700,0,143499200,0,60000000,253509000
