,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-04-28,GOTO,EQUITY,1184363929502.0,272,18587457200,11001729724,924207100,0,6840956492,9871167280,71362240,17647800,37124100,47351651936,0,31699100,0,98904400,111993200,1183351288,12934800,0,2089186892,3528069680
1,2022-05-31,GOTO,EQUITY,1184363929502.0,304,17723502200,11860037624,807140200,0,7191450692,9482499697,36573831,26135700,6900100,47134240044,0,30681400,0,249810936,88757600,1266186185,16698800,0,2093346651,3745481572
2,2022-06-30,GOTO,EQUITY,1184363929502.0,388,16438786600,11102328324,726881672,0,4107383192,14839690481,1735211,23442200,100,47240247780,0,25085400,15440636,176855636,74222400,1140120272,14759200,0,2192990292,3639473836
3,2022-07-29,GOTO,EQUITY,1184363929502.0,296,15764773800,11373649624,662101372,0,5034968792,14427043035,2369442,23459100,100,47288365265,0,21333400,15440636,259930251,62046400,1221225877,22885620,0,1988494167,3591356351
4,2022-08-31,GOTO,EQUITY,1184363929502.0,302,15595731100,11299409524,702896672,0,4927109992,14631792730,39855,24792200,6500100,47188272173,0,14621900,15440636,124076351,53977700,1186403507,90766750,0,2206162599,3691449443
5,2022-09-30,GOTO,EQUITY,1184363929502.0,246,12744460000,11712552224,684097572,0,8648096892,13006186983,545307,34997600,3000100,46833936678,33677600,290163600,21849936,393478151,98040600,1505705257,57448550,0,1645421244,4045784938
6,2022-10-31,GOTO,EQUITY,1184363929502.0,186,9833032700,12070512724,478933772,0,11810564992,11478725040,527323,34778000,100,45707074651,26946500,106183840,25147036,1324258269,102182900,2119856669,44510729,0,1423561022,5172646965
7,2022-11-30,GOTO,EQUITY,1184363929502.0,151,8145510800,12287251524,455056872,0,13166754692,11276238203,469665,34901600,100,45366183456,689625416,130033841,25147036,670920569,122857100,2398417634,54820131,0,1421716433,5513538160
8,2022-12-30,GOTO,EQUITY,1184363929502.0,91,27470503044,63934617237,2982710099,51902565,87099261102,22667319035,8970140,543052176,11856500,204770191898,690153716,355465139957,1117625736,180878656673,5001460212,37953882618,35700731307,0,307212014787,924019665006
9,2023-01-31,GOTO,EQUITY,1184363929502.0,112,27678027944,64498889072,2289519999,51902565,88315817229,23144267614,29440020,408818876,11127000,206427810319,864120516,343101432386,2094946936,188889740931,5279876727,38156143151,38453179400,0,305855315288,922694755335
10,2023-02-28,GOTO,EQUITY,1184363929502.0,118,29553510544,66230057930,2112030199,51902565,88525416943,23855153307,963940089,361559576,200,211653571353,852416916,339147216152,2262565736,199820435601,5436500141,38643997861,38468752695,11217600,292825891599,917468994301
11,2023-03-31,GOTO,EQUITY,1184363929502.0,109,28506078244,65248185064,2468475699,51902565,87572068274,23183063305,1050823303,486391476,6050200,208573038130,2014432442,332435534907,8585374936,180482034786,5457773264,50839099616,45459690045,408359300,294867228228,920549527524
12,2023-04-28,GOTO,EQUITY,1184363929502.0,104,29085216744,65849600364,2599832799,51902565,92728853348,23383435409,1141860049,481809676,15275200,215337786154,1963733942,327113765904,8779738636,178184374321,6628582650,50408611782,45296751830,413703200,294995517235,913784779500
13,2023-05-31,GOTO,EQUITY,1184363929502.0,147,26346093444,64611763764,2319389599,51902565,88486868091,21885750280,85490652,423854376,1000200,204212112971,1632140223,322447717701,10499456400,198691728914,6701759436,50275740129,49191426351,490171900,285191115893,925121256947
14,2023-06-27,GOTO,EQUITY,1184363929502.0,110,19687942805,61861098864,880887031,51902565,85807962210,14438401093,108299454,80607576,4000200,182921101798,6394913398,324032016383,19254411765,171520451779,6751026773,75594156641,39320352580,688634600,302856304201,946412268120
15,2023-07-31,GOTO,EQUITY,1184363929502.0,113,21159274505,65875743093,882403831,51902565,88690216874,14598104268,104980941,227210576,5500200,191595336853,6428529998,323811896402,19827094481,171654569959,6684497819,74094336094,38767875601,763581800,297286682891,939319065045
