,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,HAIS,EQUITY,2626250000.0,171,0,149641200,0,0,374704300,0,0,0,0,524345500,0,0,0,0,904500,0,0,0,0,904500
1,2022-02-25,HAIS,EQUITY,2626250000.0,242,0,149297100,0,0,375948400,0,0,0,0,525245500,0,0,0,0,4500,0,0,0,0,4500
2,2022-03-31,HAIS,EQUITY,2626250000.0,214,0,149515100,0,0,375308200,0,0,0,0,524823300,0,0,0,410200,16500,0,0,0,0,426700
3,2022-04-28,HAIS,EQUITY,2626250000.0,187,0,150253300,0,0,374796100,0,0,0,0,525049400,0,29400,0,80700,90500,0,0,0,0,200600
4,2022-05-31,HAIS,EQUITY,2626250000.0,286,0,149017100,0,0,364820000,0,0,0,0,513837100,0,184700,0,10845200,86500,0,0,296500,0,11412900
5,2022-06-30,HAIS,EQUITY,2626250000.0,212,0,145679100,0,0,374946700,0,0,0,0,520625800,0,0,0,3942700,385000,0,0,296500,0,4624200
6,2022-07-29,HAIS,EQUITY,2626250000.0,236,0,145567200,0,0,372705300,0,0,0,0,518272500,0,68600,0,3370400,85000,0,0,296500,3157000,6977500
7,2022-08-31,HAIS,EQUITY,2626250000.0,242,0,250737400,0,0,260789600,0,0,0,0,511527000,0,0,0,1006900,117000,0,0,3384900,9214200,13723000
8,2022-09-30,HAIS,EQUITY,2626250000.0,232,0,249887400,0,0,247540400,0,0,0,0,497427800,0,0,0,7892100,102000,0,1000400,7390700,11437000,27822200
9,2022-10-31,HAIS,EQUITY,2626250000.0,230,0,249984300,0,0,254120900,0,0,0,0,504105200,0,0,0,1814700,102000,0,400400,7390700,11437000,21144800
10,2022-11-30,HAIS,EQUITY,2626250000.0,244,0,249580700,0,0,245131500,0,0,0,0,494712200,0,37200,0,9717000,102000,0,400400,8844200,11437000,30537800
11,2022-12-30,HAIS,EQUITY,2626250000.0,218,0,249571700,0,0,245242500,0,0,0,0,494814200,0,0,0,5995600,102000,0,0,12901200,11437000,30435800
12,2023-01-31,HAIS,EQUITY,2626250000.0,216,0,984925200,0,0,249248500,0,0,0,0,1234173700,0,0,0,1986100,102000,0,0,12901200,11437000,26426300
13,2023-02-28,HAIS,EQUITY,2626250000.0,212,0,249655200,0,0,980760600,0,0,0,0,1230415800,0,18400,0,5720900,106700,0,0,12901200,11437000,30184200
14,2023-03-31,HAIS,EQUITY,2626250000.0,210,0,249755200,0,0,985009700,0,0,0,0,1234764900,0,0,0,1394900,102000,0,0,12901200,11437000,25835100
15,2023-04-28,HAIS,EQUITY,2626250000.0,256,0,249785200,0,0,983028900,0,0,0,0,1232814100,0,10100,0,2541200,437000,0,459400,12901200,11437000,27785900
16,2023-05-31,HAIS,EQUITY,2626250000.0,244,0,249819200,0,0,980267700,0,574500,0,0,1230661400,0,48700,0,3329300,435000,0,459400,14229200,11437000,29938600
17,2023-06-27,HAIS,EQUITY,2626250000.0,254,0,248943600,0,0,978510500,0,574500,0,0,1228028600,0,621900,0,4617900,1206000,0,459400,14229200,11437000,32571400
18,2023-07-31,HAIS,EQUITY,2626250000.0,296,0,248820200,0,0,971023000,0,1154500,0,0,1220997700,0,1790800,0,10256800,1429100,0,459400,14229200,11437000,39602300
19,2023-08-31,HAIS,EQUITY,2626250000.0,310,0,238353000,0,0,979115200,0,799600,0,0,1218267800,0,2628600,0,10960600,1524100,0,459400,15322500,11437000,42332200
20,2023-09-29,HAIS,EQUITY,2626250000.0,280,0,238136300,0,0,987403200,0,2036100,0,0,1227575600,0,1283300,0,3100000,1422200,0,459400,15322500,11437000,33024400
21,2023-10-31,HAIS,EQUITY,2626250000.0,236,0,237374500,0,0,987172600,0,4500000,0,0,1229047100,0,1283300,0,1628500,1422200,0,459400,15322500,11437000,31552900
22,2023-11-30,HAIS,EQUITY,2626250000.0,214,0,237819000,0,0,987617300,0,4830000,0,0,1230266300,0,1283300,0,409300,1422200,0,459400,15322500,11437000,30333700
23,2023-12-29,HAIS,EQUITY,2626250000.0,216,0,237773500,0,0,986283700,0,4830000,0,0,1228887200,0,1283300,0,708400,1422200,0,459400,15322500,12517000,31712800
24,2024-01-31,HAIS,EQUITY,2626250000.0,224,0,237430900,0,0,987784300,0,4780000,0,0,1229995200,0,1283300,0,680400,1422200,0,459400,15322500,11437000,30604800
25,2024-02-29,HAIS,EQUITY,2626250000.0,234,0,237356900,0,0,1003796400,0,4810000,0,0,1245963300,0,1283300,0,34800,1422200,0,459400,0,11437000,14636700
26,2024-03-28,HAIS,EQUITY,2626250000.0,258,0,237656900,0,0,1001804800,0,5810000,0,0,1245271700,0,1283300,0,726400,1422200,0,459400,0,11437000,15328300
27,2024-04-30,HAIS,EQUITY,2626250000.0,216,0,237756400,0,0,1001361400,0,6880000,0,0,1245997800,0,1283300,0,300,1422200,0,459400,0,11437000,14602200
28,2024-05-31,HAIS,EQUITY,2626250000.0,216,0,237826400,0,0,998958400,0,6880000,0,0,1243664800,0,1283300,0,2333300,1422200,0,459400,0,11437000,16935200
29,2024-06-28,HAIS,EQUITY,2626250000.0,206,0,237826400,0,0,999326600,0,6880000,0,0,1244033000,0,1283300,0,1965100,1422200,0,459400,0,11437000,16567000
30,2024-07-31,HAIS,EQUITY,2626250000.0,210,0,237826400,0,0,1000199600,0,6880000,0,0,1244906000,0,1283300,0,1092100,1422200,0,459400,0,11437000,15694000
31,2024-08-30,HAIS,EQUITY,2626250000.0,216,0,237960400,0,0,1000089300,0,6880000,0,0,1244929700,0,1283300,0,1068400,1422200,0,459400,0,11437000,15670300
32,2024-09-30,HAIS,EQUITY,2626250000.0,218,0,237364400,0,0,1000976000,0,6880000,0,0,1245220400,0,1283300,0,682700,1422200,0,554400,0,11437000,15379600
33,2024-10-31,HAIS,EQUITY,2626250000.0,236,0,237624800,0,0,1000336300,0,6880000,0,0,1244841100,0,1283300,0,138700,1422200,0,1477700,0,11437000,15758900
34,2024-11-29,HAIS,EQUITY,2626250000.0,216,0,237624800,0,0,1007075400,0,880000,0,0,1245580200,0,1283300,0,1993100,303100,0,3300,0,11437000,15019800
35,2024-12-30,HAIS,EQUITY,2626250000.0,214,0,238042500,0,0,1008419700,0,830000,0,0,1247292200,0,1283300,0,284400,303100,0,0,0,11437000,13307800
