,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-02-28,HALO-W,WARRANT,565000000.0,15,0,417768150,0,0,147181500,0,8100,50,0,564957800,0,0,0,0,42200,0,0,0,0,42200
1,2023-03-31,HALO-W,WARRANT,565000000.0,15,0,417768050,0,0,147187450,0,2300,50,0,564957850,0,0,0,0,42150,0,0,0,0,42150
2,2023-04-28,HALO-W,WARRANT,565000000.0,17,0,436407850,0,0,128552050,0,1700,150,0,564961750,0,0,0,0,38250,0,0,0,0,38250
3,2023-05-31,HALO-W,WARRANT,565000000.0,17,0,463579050,0,0,101384600,0,1350,250,0,564965250,0,0,0,0,34750,0,0,0,0,34750
4,2023-06-27,HALO-W,WARRANT,565000000.0,16,0,463579050,0,0,101385100,0,850,250,0,564965250,0,0,0,0,34750,0,0,0,0,34750
5,2023-07-31,HALO-W,WARRANT,565000000.0,12,0,463579050,0,0,101387700,0,1000,300,0,564968050,0,0,0,0,31950,0,0,0,0,31950
6,2023-08-31,HALO-W,WARRANT,564996800.0,10,0,311720950,0,0,253242500,0,1100,300,0,564964850,0,0,0,0,31950,0,0,0,0,31950
7,2023-09-29,HALO-W,WARRANT,564995696.0,10,0,280150650,0,0,284811346,0,800,300,650,564963746,0,0,0,0,31950,0,0,0,0,31950
8,2023-10-31,HALO-W,WARRANT,564993359.0,7,0,280000150,0,0,284962709,0,1300,400,50,564964609,0,0,0,0,28750,0,0,0,0,28750
9,2023-11-30,HALO-W,WARRANT,564992559.0,7,0,280000150,0,0,284962159,0,1050,450,0,564963809,0,0,0,0,28750,0,0,0,0,28750
10,2023-12-29,HALO-W,WARRANT,564991727.0,5,0,280000150,0,0,284961627,0,700,500,0,564962977,0,0,0,0,28750,0,0,0,0,28750
11,2024-01-31,HALO-W,WARRANT,564991227.0,5,0,280000150,0,0,284960327,0,1450,550,0,564962477,0,0,0,0,28750,0,0,0,0,28750
12,2024-02-29,HALO-W,WARRANT,564990665.0,4,0,280000150,0,0,284960815,0,400,550,0,564961915,0,0,0,0,28750,0,0,0,0,28750
13,2024-03-28,HALO-W,WARRANT,564990365.0,2,0,280000150,0,0,284960065,0,750,600,50,564961615,0,0,0,0,28750,0,0,0,0,28750
14,2024-04-30,HALO-W,WARRANT,564989115.0,2,0,280000150,0,0,284958965,0,650,600,0,564960365,0,0,0,0,28750,0,0,0,0,28750
15,2024-05-31,HALO-W,WARRANT,564988965.0,3,0,280000150,0,0,284959265,0,200,600,0,564960215,0,0,0,0,28750,0,0,0,0,28750
16,2024-06-28,HALO-W,WARRANT,564988765.0,3,0,280000150,0,0,284958965,0,300,600,0,564960015,0,0,0,0,28750,0,0,0,0,28750
17,2024-07-31,HALO-W,WARRANT,564988415.0,4,0,280000150,0,0,284958665,0,250,600,0,564959665,0,0,0,0,28750,0,0,0,0,28750
18,2024-08-30,HALO-W,WARRANT,564987365.0,6,0,280000150,0,0,284957515,0,300,650,0,564958615,0,0,0,0,28750,0,0,0,0,28750
19,2024-09-30,HALO-W,WARRANT,564986969.0,9,0,280000150,0,0,284957119,0,300,650,0,564958219,0,0,0,0,28750,0,0,0,0,28750
20,2024-10-31,HALO-W,WARRANT,564986719.0,8,0,280000150,0,0,284956369,0,400,1050,0,564957969,0,0,0,0,28750,0,0,0,0,28750
21,2024-11-29,HALO-W,WARRANT,564985569.0,7,0,292827850,0,0,272127469,0,400,1100,0,564956819,0,0,0,0,28750,0,0,0,0,28750
22,2024-12-30,HALO-W,WARRANT,564983819.0,6,0,295627850,0,0,269325469,0,600,1150,0,564955069,0,0,0,0,28750,0,0,0,0,28750
