,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,HOMI,EQUITY,787500000.0,1530,0,0,0,0,157497200,0,0,0,0,157497200,0,0,0,0,0,0,2800,0,0,2800
1,2022-02-25,HOMI,EQUITY,787500000.0,1410,0,0,0,0,157497200,0,0,0,0,157497200,0,0,0,0,0,0,2800,0,0,2800
2,2022-03-31,HOMI,EQUITY,787500000.0,1350,0,0,0,0,157492300,0,0,0,0,157492300,0,0,0,4900,0,0,2800,0,0,7700
3,2022-04-28,HOMI,EQUITY,787500000.0,1335,0,0,0,0,157466000,0,0,0,0,157466000,0,0,0,31200,0,0,2800,0,0,34000
4,2022-05-31,HOMI,EQUITY,787500000.0,1315,0,0,0,0,157466000,0,0,0,0,157466000,0,0,0,31200,0,0,2800,0,0,34000
5,2022-06-30,HOMI,EQUITY,1575000000.0,600,0,0,0,0,314900300,0,0,0,0,314900300,0,0,0,93100,1000,0,5600,0,0,99700
6,2022-07-29,HOMI,EQUITY,1575000000.0,580,0,0,0,0,314336200,0,0,0,0,314336200,0,0,0,657200,1000,0,5600,0,0,663800
7,2022-08-31,HOMI,EQUITY,1575000000.0,600,0,0,0,0,297931000,0,0,0,0,297931000,0,474300,0,16588100,1000,0,5600,0,0,17069000
8,2022-09-30,HOMI,EQUITY,1575000000.0,452,0,0,0,0,308427300,0,2000,0,0,308429300,0,631200,0,5932900,1000,0,5600,0,0,6570700
9,2022-10-31,HOMI,EQUITY,1575000000.0,685,0,0,0,0,302299500,0,0,0,0,302299500,0,0,0,12693900,1000,0,5600,0,0,12700500
10,2022-11-30,HOMI,EQUITY,1575000000.0,484,0,0,0,0,314547000,0,0,0,0,314547000,0,0,0,431400,16000,0,5600,0,0,453000
11,2022-12-30,HOMI,EQUITY,1575000000.0,338,0,0,0,0,311219400,0,0,0,0,311219400,0,0,0,3649000,126000,0,5600,0,0,3780600
12,2023-01-31,HOMI,EQUITY,1575000000.0,404,0,0,0,0,309625400,0,0,0,0,309625400,0,0,0,5243000,126000,0,5600,0,0,5374600
13,2023-02-28,HOMI,EQUITY,1575000000.0,226,0,0,0,0,307115800,0,0,0,0,307115800,0,0,0,7847600,31000,0,5600,0,0,7884200
