,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ICBP,EQUITY,11661908000.0,8725,554248700,84869300,54317550,259300,287222425,217342685,8043986,16124200,216200,1222644346,12915822,85347473,223073392,113568744,1058000,353727594,78982061,5868100,235194660,1109735846
1,2022-02-25,ICBP,EQUITY,11661908000.0,8500,562387600,85772300,54280850,259300,291926025,192962823,7675323,15595500,216200,1211075921,13881822,86278573,219916992,110359988,1051000,371041376,79360261,7154300,232259959,1121304271
2,2022-03-31,ICBP,EQUITY,11661908000.0,7350,533095100,91165700,53772150,259300,380831425,152062564,7728381,13923700,73200,1232911520,14521922,75115973,218230783,101188644,1188900,375155225,80085414,6665700,227316111,1099468672
3,2022-04-28,ICBP,EQUITY,11661908000.0,7625,512863900,95937300,55174550,258600,390561825,138071018,10412725,13805200,253900,1217339018,16458622,76551437,216486783,110180521,1367000,388362712,71792014,6665700,227176385,1115041174
4,2022-05-31,ICBP,EQUITY,11661908000.0,8575,528996400,96886900,55059950,258600,351010325,154481558,7270327,12767200,253900,1206985160,16569522,76343061,218335983,98403707,1160200,408231660,69912229,4980900,231457770,1125395032
5,2022-06-30,ICBP,EQUITY,11661908000.0,9550,546631400,89820300,55571550,258600,283153725,202950869,6897695,10974100,350900,1196609139,17137322,84044721,208397783,92732360,1022700,414704316,67561277,4980900,245189674,1135771053
6,2022-07-29,ICBP,EQUITY,11661908000.0,8825,565445300,87871900,51239950,258600,255917925,197591148,6346537,11133500,384200,1176189060,16094722,88217757,207249593,98684263,886000,418240352,64636056,4948900,257233489,1156191132
7,2022-08-31,ICBP,EQUITY,11661908000.0,8300,526910100,89300600,50203350,259800,253133725,161635942,6847675,10907800,267000,1099465992,16136946,77604881,214863525,114403793,922000,457322929,64072171,4948900,282639055,1232914200
8,2022-09-30,ICBP,EQUITY,11661908000.0,8650,522722200,86625500,49656450,261000,237001525,153799570,6245277,9913900,258000,1066483422,11961546,76230581,226802198,99926724,930500,486485032,62209092,3956900,297394197,1265896770
9,2022-10-31,ICBP,EQUITY,11661908000.0,9725,525958300,83505700,48088450,258600,196053625,157171217,4938264,10837000,134900,1026946056,11349646,67115489,225720515,98303691,770200,514358772,60927077,3869400,323019346,1305434136
10,2022-11-30,ICBP,EQUITY,11661908000.0,10100,528912800,82379700,44439850,258600,175985825,155365326,4839023,9100200,11300,1001292624,11283546,63578095,225632990,102242946,721400,517536009,61977544,3851100,344263938,1331087568
11,2022-12-30,ICBP,EQUITY,11661908000.0,10000,544979800,80471500,43225450,0,147170425,173888865,3143032,9796800,77600,1002753472,10101746,62779129,208685754,94567991,701000,526226133,62280240,3762100,360522627,1329626720
12,2023-01-31,ICBP,EQUITY,11661908000.0,10100,557597000,80407600,42429450,0,135095625,180468602,2379746,10363900,77600,1008819523,10344646,63764529,204456669,96741885,700700,526129568,63942635,3242200,354237837,1323560669
13,2023-02-28,ICBP,EQUITY,11661908000.0,10125,548452900,80419100,43467050,0,135599125,178954550,2703525,10639800,91300,1000327350,10125646,73165849,206187969,101583951,696500,526752997,64899407,3313600,345326923,1332052842
14,2023-03-31,ICBP,EQUITY,11661908000.0,9975,575960400,80005300,44964950,0,132631725,181182617,2667111,10403800,101500,1027917403,11416261,73751244,206741307,94613353,672100,533830309,55403814,3345700,324688701,1304462789
15,2023-04-28,ICBP,EQUITY,11661908000.0,10575,568098700,78526600,45747950,0,127077725,171809713,2671705,10123700,107800,1004163893,11471861,74765892,207335634,92757288,666300,560088550,51521498,3345700,326263576,1328216299
16,2023-05-31,ICBP,EQUITY,11661908000.0,11700,447543250,78589300,39313850,0,123340125,183222452,1474637,8770500,85300,882339414,21779261,86085112,207575934,128938686,658000,590919695,50990403,3345700,359747987,1450040778
17,2023-06-27,ICBP,EQUITY,11661908000.0,11325,360719150,77836800,49078750,0,115887025,202113410,1383740,10617900,223700,817860475,24124061,99017021,209720622,147907056,650700,609478438,49672599,3345700,370603520,1514519717
18,2023-07-31,ICBP,EQUITY,11661908000.0,11200,321230050,77339000,50724350,0,115436625,195711187,1384015,10818800,189200,772833227,24348761,103692840,224178792,145039461,650700,640469390,50137380,3540200,367489441,1559546965
