,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,IDPR,EQUITY,2003000000.0,191,0,2000000,0,0,195966500,44834400,4741500,0,0,247542400,0,49029400,0,2618300,855500,0,2954400,0,0,55457600
1,2022-02-25,IDPR,EQUITY,2003000000.0,171,0,2045000,0,0,195921500,44834400,4741500,0,0,247542400,0,49029400,0,2618300,855500,0,2954400,0,0,55457600
2,2022-03-31,IDPR,EQUITY,2003000000.0,174,0,2000000,0,0,195966500,44834400,4741500,0,0,247542400,0,49029400,0,2618300,855500,0,2954400,0,0,55457600
3,2022-04-28,IDPR,EQUITY,2003000000.0,165,0,2000000,0,0,195966500,44834400,4741500,0,0,247542400,0,49029400,0,2618300,855500,0,2954400,0,0,55457600
4,2022-05-31,IDPR,EQUITY,2003000000.0,179,0,2000000,0,0,195766500,44834400,4741500,0,0,247342400,0,49029400,0,2618300,1055500,0,2954400,0,0,55657600
5,2022-06-30,IDPR,EQUITY,2003000000.0,171,0,2000000,0,0,195966400,44834400,4741500,0,0,247542300,0,49029400,0,2618300,855600,0,2954400,0,0,55457700
6,2022-07-29,IDPR,EQUITY,2003000000.0,167,0,2010000,0,0,195956400,44834400,4741500,0,0,247542300,0,49029400,0,2618300,855600,0,2954400,0,0,55457700
7,2022-08-31,IDPR,EQUITY,2003000000.0,171,0,2000000,0,0,195966400,44834400,4741500,0,0,247542300,0,49029400,0,2618300,855600,0,2954400,0,0,55457700
8,2022-09-30,IDPR,EQUITY,2003000000.0,170,0,2000000,0,0,195966400,44834400,4741500,0,0,247542300,0,49029400,0,2618300,855600,0,2954400,0,0,55457700
9,2022-10-31,IDPR,EQUITY,2003000000.0,165,0,2000000,0,0,195966400,44834400,4741500,0,0,247542300,0,49029400,0,2618300,855600,0,2954400,0,0,55457700
10,2022-11-30,IDPR,EQUITY,2003000000.0,170,0,2000000,0,0,195944000,44834400,4741500,0,0,247519900,0,49029400,0,2640700,855600,0,2954400,0,0,55480100
11,2022-12-30,IDPR,EQUITY,2003000000.0,178,0,2500000,0,0,195444000,44834400,4741500,0,0,247519900,0,49029400,0,2640700,855600,0,2954400,0,0,55480100
12,2023-01-31,IDPR,EQUITY,2003000000.0,187,0,2500000,0,0,195444000,44834400,4741500,0,0,247519900,0,49029400,0,2640700,855600,0,2954400,0,0,55480100
13,2023-02-28,IDPR,EQUITY,2003000000.0,176,0,2500000,0,0,195466300,44834400,4741500,0,0,247542200,0,49029400,0,2618400,855600,0,2954400,0,0,55457800
14,2023-03-31,IDPR,EQUITY,2003000000.0,167,0,2500000,0,0,195466300,44834400,4741500,0,0,247542200,0,49029400,0,2618400,855600,0,2954400,0,0,55457800
15,2023-04-28,IDPR,EQUITY,2003000000.0,158,0,2500000,0,0,195393900,44834400,4741500,0,0,247469800,0,49029400,0,2690800,855600,0,2954400,0,0,55530200
16,2023-05-31,IDPR,EQUITY,2003000000.0,153,0,2500000,0,0,195405600,44834400,4741500,0,0,247481500,0,49029400,0,2679100,855600,0,2954400,0,0,55518500
17,2023-06-27,IDPR,EQUITY,2003000000.0,150,0,2500000,0,0,195430400,44834400,4741500,0,0,247506300,0,49029400,0,2654300,855600,0,2954400,0,0,55493700
18,2023-07-31,IDPR,EQUITY,2003000000.0,154,0,2500000,0,0,195465400,44834400,4741500,0,0,247541300,0,49029400,0,2619300,855600,0,2954400,0,0,55458700
19,2023-08-31,IDPR,EQUITY,2003000000.0,151,0,2500000,0,0,195433000,44834400,4741500,0,0,247508900,0,49029400,0,2651700,855600,0,2954400,0,0,55491100
