,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,INDY,EQUITY,5210192000.0,2090,31812600,3616618999,12044400,2800,1156626502,61742000,12388876,155800,575100,4891967077,2577833,9452900,27134521,59675646,2589307,33109954,129764246,8689537,45230969,318224913
1,2022-02-25,INDY,EQUITY,5210192000.0,2230,31920900,3486483399,13150400,502800,1085498902,98722900,17648276,1035800,537100,4735500477,2577833,10900343,38272578,59732146,1811407,35958254,129861146,10602737,184975069,474691513
2,2022-03-31,INDY,EQUITY,5210192000.0,2230,37805800,3479100499,13378000,2800,1053205602,76869000,16139327,327300,556800,4677385128,2577833,12976343,54265627,55469846,2883607,48508854,134274546,11793137,210057069,532806862
3,2022-04-28,INDY,EQUITY,5210192000.0,2690,36490800,3473153299,9762300,0,973055302,104095008,12678865,1719700,156800,4611112074,4337433,15168943,57763581,103001046,2699807,76564891,135136894,11793137,192614184,599079916
4,2022-05-31,INDY,EQUITY,5210192000.0,2890,36231300,3471122299,11259200,0,1002102202,102316908,11895397,1648200,145300,4636720806,7678033,18939143,74651136,78918446,2690507,83402404,136760794,11793137,158637584,573471184
5,2022-06-30,INDY,EQUITY,5210192000.0,2330,34221900,3470540599,10985000,0,993834702,87791752,15037636,1339800,137600,4613888989,7640127,23985543,80413436,67633346,2344507,102047499,140277600,11793137,160167806,596303001
6,2022-07-29,INDY,EQUITY,5210192000.0,2670,34546500,3470899399,10539400,0,990761002,68597652,36587803,122300,137600,4612191656,7640127,27398843,84087936,74252746,2543107,104742944,140083200,11793137,145458294,598000334
7,2022-08-31,INDY,EQUITY,5210192000.0,2870,36807000,3468467499,10108300,0,947848402,79065071,44718800,106200,141000,4587262272,7781527,35473148,92227801,80355038,2519007,107839347,139116215,11793137,145824498,622929718
8,2022-09-30,INDY,EQUITY,5210192000.0,3000,37640700,3467903799,13256200,0,977633982,91744039,50009034,46500,786500,4639020754,7614926,30593858,96731247,74677347,2403607,108940198,140223816,10011237,99975000,571171236
9,2022-10-31,INDY,EQUITY,5210192000.0,3260,37462400,3468875199,14565800,0,921075382,95076292,47869613,955200,794300,4586674186,9808726,26821933,116673380,88410072,1586807,126125508,140531616,9470037,104089725,623517804
10,2022-11-30,INDY,EQUITY,5210192000.0,2900,41739300,3461170099,16021500,0,861538182,67700065,53194660,54000,86300400,4587718206,10436126,25604128,117799264,86266577,1749407,128168662,140126136,9470037,102853447,622473784
11,2022-12-30,INDY,EQUITY,5210192000.0,2730,48774600,3465741099,16257700,0,888885082,72578073,54854267,54000,24070900,4571215721,14099626,25693233,118463264,92103878,1914307,129657238,140156736,9470037,107417950,638976269
12,2023-01-31,INDY,EQUITY,5210192000.0,2410,49995300,3462117899,16329900,0,902150062,71441551,63780509,99000,18057900,4583972121,14507726,25993587,120179364,84620748,1434707,129308797,140103336,9470037,100601567,626219869
13,2023-02-28,INDY,EQUITY,5210192000.0,2300,45382500,3474147099,12738400,0,919585762,31044625,72572791,99000,8732700,4564302877,14849326,25736819,125605564,88313934,1375707,131316737,139908136,9470037,109312853,645889113
14,2023-03-31,INDY,EQUITY,5210192000.0,2410,46117800,3471170499,11024200,0,950820048,30792903,74658416,99000,120200,4584803066,14849326,24346541,125518564,75407179,1301407,130456703,140038536,9470037,104000631,625388924
15,2023-04-28,INDY,EQUITY,5210192000.0,2600,48731200,3469625499,9627300,0,959251748,40582301,65910174,662200,201100,4594591522,16464026,24195744,124001464,59940511,1304507,135925465,140074236,9470037,104224478,615600468
16,2023-05-31,INDY,EQUITY,5210192000.0,1715,47826500,3479779599,9617000,0,971625048,30162478,68144957,116700,113200,4607385482,16880926,20133544,126474479,57676628,1342807,122094506,140114536,10096027,107993055,602806508
17,2023-06-27,INDY,EQUITY,5210192000.0,1910,50449100,3480155099,9657200,0,974706748,30901360,65228475,116700,113200,4611327882,17509926,19336844,125514079,56312128,1367207,117958205,140709136,10086527,110070056,598864108
18,2023-07-31,INDY,EQUITY,5210192000.0,1975,45170100,3480466299,9396500,0,994074348,30221777,64476144,116700,113200,4624035068,17587426,18448181,125785579,51442602,1338807,115281865,140394236,10086527,105791699,586156922
19,2023-08-31,INDY,EQUITY,5210192000.0,2000,43831600,3479537899,9356100,0,1011759548,30671595,63673702,54000,113700,4638998144,15392026,17691081,123443679,48345528,1347607,112485863,140853336,9470627,102164099,571193846
20,2023-09-29,INDY,EQUITY,5210192000.0,2200,43242700,3482203493,10201100,0,990511348,59457486,59346821,54000,113700,4645130648,13746826,17586881,122909979,48180328,1358607,110620551,140754036,9470627,100433507,565061342
21,2023-10-31,INDY,EQUITY,5210192000.0,1815,42506600,3483988799,9268000,0,1017364948,44107031,64905643,54000,113700,4662308721,10662926,17146081,115076146,52653496,3811407,100923843,140441136,9470627,97697607,547883269
22,2023-11-30,INDY,EQUITY,5210192000.0,1475,39813900,3487745799,9249200,0,1048389348,32402678,62441928,54000,113700,4680210553,10633000,15856884,108339164,56817799,4054207,96066076,140462362,9470627,88281318,529981437
23,2023-12-29,INDY,EQUITY,5210192000.0,1435,36144500,3484867699,9268700,0,1069794948,29869794,61158150,54000,113700,4691271491,10505500,16111884,100843615,62492102,1253207,95991081,139991962,7010327,84720821,518920499
24,2024-01-31,INDY,EQUITY,5210192000.0,1380,33091500,3487524699,9969500,0,1186161400,27431611,61645565,54000,113700,4805991975,9403100,15451384,96135115,49065002,884007,118546599,25962310,6177727,82574771,404200015
25,2024-02-29,INDY,EQUITY,5210192000.0,1360,30850800,3519836899,9875500,0,1174971000,17063066,60339123,54000,113700,4813104088,8090300,14545484,96135115,48052002,804007,117888391,26037910,4043827,81490866,397087902
26,2024-03-28,INDY,EQUITY,5210192000.0,1495,28792800,3529528799,9756400,0,1173775300,17706850,59159518,54000,113700,4818887367,8055100,13626784,93223072,48866602,852507,118568855,26558610,4043827,77509266,391304623
27,2024-04-30,INDY,EQUITY,5210192000.0,1435,26048900,3531828499,9731400,0,1210631000,17702188,63490267,54000,113700,4859599954,5898700,14235584,88133543,44519402,907507,93938820,26555010,2181700,74221770,350592036
28,2024-05-31,INDY,EQUITY,5210192000.0,1430,24798400,3532543999,9731400,0,1220239307,16892612,62596278,54000,113700,4866969696,4266000,14539184,87600443,43787302,868000,91485920,26393710,2181700,72100035,343222294
29,2024-06-28,INDY,EQUITY,5210192000.0,1265,27405700,3534425799,9782400,0,1282605839,15292082,4579276,54000,113700,4874258796,1680600,13307384,90863217,42549202,932900,85707320,26656836,2181700,72054035,335933194
30,2024-07-31,INDY,EQUITY,5210192000.0,1390,29962300,3535634499,9687900,0,1278530939,15682812,4728800,54000,113700,4874394950,1680600,13553164,87895295,44882402,896100,84603420,28787536,2181700,71316823,335797040
31,2024-08-30,INDY,EQUITY,5210192000.0,1460,31704500,3535968299,10299000,0,1255634139,20319274,6086438,54000,113700,4860179350,1680600,13748264,86905695,55094502,847100,82592120,35302936,2181700,71659723,350012640
32,2024-09-30,INDY,EQUITY,5210192000.0,1710,29077000,3535115699,14749400,0,1241487739,26901646,6807826,403100,163200,4854705610,1680600,16163883,91064695,59394520,866100,81827008,31300136,2181700,71007738,355486380
33,2024-10-31,INDY,EQUITY,5210192000.0,1555,39153900,3527392499,20731600,0,1216119839,61126646,5883017,650200,263200,4871320901,1680600,17818040,91399695,46424816,1000100,80443527,29009236,2181700,68913375,338871089
34,2024-11-29,INDY,EQUITY,5210192000.0,1405,39468500,3520258899,20969400,0,1222216939,63542038,5432548,1036400,113200,4873037924,1629800,15112613,92045495,45153094,1029200,81570670,29658136,2181700,68773358,337154066
35,2024-12-30,INDY,EQUITY,5210192000.0,1495,40651200,3519540399,20959400,0,1220429039,68402538,4951503,1414700,113200,4876461979,1629800,15000665,90738495,44134138,999100,80910513,29622436,2181700,68513164,333730011
