,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-08-31,INKP04ACN2,CORPORATE BOND,207050000000.0,1,0,114435000000,3000000000,0,9615000000,7000000000,63000000000,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
1,2023-09-29,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,50000000000,3000000000,0,9615000000,97435000000,35000000000,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
2,2023-10-31,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
3,2023-11-30,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
4,2023-12-29,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
5,2024-01-31,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
6,2024-02-29,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
7,2024-03-28,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
8,2024-04-30,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
9,2024-05-31,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
10,2024-06-28,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
11,2024-07-31,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
12,2024-08-30,INKP04ACN2,CORPORATE BOND,207050000000.0,1,2000000000,0,3000000000,0,9615000000,182435000000,0,10000000000,0,207050000000,0,0,0,0,0,0,0,0,0,0
