,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-08-31,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,151000000000,102900000000,106000000000,128000000000,787465000000,234000000000,82000000000,17500000000,0,1608865000000,0,0,0,0,0,0,0,0,1000000000,1000000000
1,2023-09-29,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,120300000000,106000000000,120000000000,799365000000,300700000000,0,17500000000,0,1608865000000,0,0,0,0,0,0,0,0,1000000000,1000000000
2,2023-10-31,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,74490000000,102000000000,120000000000,858875000000,284000000000,0,24500000000,0,1608865000000,0,0,0,0,0,0,0,0,1000000000,1000000000
3,2023-11-30,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,74415000000,102000000000,120000000000,858950000000,284000000000,0,24500000000,0,1608865000000,0,0,0,0,0,0,0,0,1000000000,1000000000
4,2023-12-29,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,71415000000,102000000000,120000000000,861950000000,284000000000,0,24500000000,0,1608865000000,0,0,0,0,0,0,0,0,1000000000,1000000000
5,2024-01-31,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,71415000000,102000000000,120000000000,861950000000,284000000000,0,24500000000,0,1608865000000,0,0,0,0,0,0,0,0,1000000000,1000000000
6,2024-02-29,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,69890000000,102000000000,120000000000,863475000000,284000000000,0,24500000000,0,1608865000000,0,0,0,0,0,0,0,0,1000000000,1000000000
7,2024-03-28,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,69790000000,102000000000,120000000000,861475000000,286000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
8,2024-04-30,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,68740000000,102000000000,120000000000,862525000000,286000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
9,2024-05-31,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,68440000000,102000000000,120000000000,862825000000,286000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
10,2024-06-28,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,68440000000,102000000000,120000000000,862825000000,286000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
11,2024-07-31,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,68440000000,102000000000,120010000000,862815000000,286000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
12,2024-08-30,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,145000000000,68340000000,102000000000,120000000000,862925000000,286000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
13,2024-09-30,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,147500000000,67840000000,102000000000,120000000000,860925000000,286000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
14,2024-10-31,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,147500000000,67840000000,102000000000,120000000000,855925000000,291000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
15,2024-11-29,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,166500000000,62840000000,102000000000,120000000000,856925000000,276000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
16,2024-12-30,INKP04BCN2,CORPORATE BOND,1609865000000.0,1,166500000000,62340000000,102000000000,120000000000,857425000000,276000000000,0,24500000000,0,1608765000000,0,0,0,0,100000000,0,0,0,1000000000,1100000000
