,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,IPOL,EQUITY,6443379509.0,169,19873500,1301855600,28258700,0,683960729,0,19183700,0,0,2053132229,0,400300,0,230698000,885200,0,6327200,0,11614300,249925000
1,2022-02-25,IPOL,EQUITY,6443379509.0,167,19873500,1302605600,28258700,0,683210729,0,19183700,0,0,2053132229,0,400300,0,230698000,885200,0,6327200,0,11614300,249925000
2,2022-03-31,IPOL,EQUITY,6443379509.0,163,19873500,1302106000,28258700,0,683710329,0,19183700,0,0,2053132229,0,400300,0,230698000,885200,0,6327200,0,11614300,249925000
3,2022-04-28,IPOL,EQUITY,6443379509.0,162,19873500,1302106000,28258700,0,683618629,0,19183700,0,0,2053040529,0,400300,0,230698000,976900,0,6327200,0,11614300,250016700
4,2022-05-31,IPOL,EQUITY,6443379509.0,160,19873500,1302106000,28258700,0,683608629,0,19193700,0,0,2053040529,0,400300,0,230698000,976900,0,6327200,0,11614300,250016700
5,2022-06-30,IPOL,EQUITY,6443379509.0,157,19873500,1302106000,28258700,0,683668629,0,19183700,0,0,2053090529,0,400300,0,230648000,976900,0,6327200,0,11614300,249966700
6,2022-07-29,IPOL,EQUITY,6443379509.0,163,19873500,1302106000,28258700,0,683668629,0,19183700,0,0,2053090529,0,400300,0,230648000,976900,0,6327200,0,11614300,249966700
7,2022-08-31,IPOL,EQUITY,6443379509.0,157,19873500,1302166000,26101800,0,685805529,0,19183700,0,0,2053130529,0,400300,0,230648000,936900,0,6327200,0,11614300,249926700
8,2022-09-30,IPOL,EQUITY,6443379509.0,155,19873500,1302196000,25483000,0,689394329,0,19183700,0,0,2056130529,0,400300,0,230648000,936900,0,3327200,0,11614300,246926700
9,2022-10-31,IPOL,EQUITY,6443379509.0,148,19873500,1302136600,25430700,0,690099829,0,19183700,0,0,2056724329,0,400300,0,230648000,936900,0,2733400,0,11614300,246332900
10,2022-11-30,IPOL,EQUITY,6443379509.0,151,19873500,1494091000,23453700,0,502477629,0,19183700,0,0,2059079529,0,400300,0,230699000,936900,0,327200,0,11614300,243977700
11,2022-12-30,IPOL,EQUITY,6443379509.0,172,19873500,1508740800,23353700,0,487978829,0,19183700,0,0,2059130529,0,400300,0,230648000,936900,0,327200,0,11614300,243926700
12,2023-01-31,IPOL,EQUITY,6443379509.0,149,19873500,1516785600,23353700,0,479886029,0,19183700,0,0,2059082529,0,400300,0,230696000,936900,0,327200,0,11614300,243974700
13,2023-02-28,IPOL,EQUITY,6443379509.0,153,19873500,1516785600,23353700,0,479885929,0,19183700,0,0,2059082429,0,400300,0,230696100,936900,0,327200,0,11614300,243974800
14,2023-03-31,IPOL,EQUITY,6443379509.0,150,19873500,1516785600,23353700,0,479883029,0,19183700,0,0,2059079529,0,400300,0,230699000,936900,0,327200,0,11614300,243977700
15,2023-04-28,IPOL,EQUITY,6443379509.0,148,19873500,1516785600,23353700,0,479878929,0,19183700,0,0,2059075429,0,400300,0,230703100,936900,0,327200,0,11614300,243981800
16,2023-05-31,IPOL,EQUITY,6443379509.0,148,19873500,1516758200,23353700,0,480033329,0,19183700,0,0,2059202429,0,400300,0,230696100,816900,0,327200,0,11614300,243854800
17,2023-06-27,IPOL,EQUITY,6443379509.0,155,19873500,1516708200,23353700,0,480120029,0,19183700,0,0,2059239129,0,400300,0,230659400,816900,0,327200,0,11614300,243818100
18,2023-07-31,IPOL,EQUITY,6443379509.0,159,19873500,1519058700,23353700,0,477779329,0,19183700,0,0,2059248929,0,400300,0,230649600,816900,0,327200,0,11614300,243808300
19,2023-08-31,IPOL,EQUITY,6443379509.0,150,19873500,1519167800,23353700,0,477635929,0,19183700,0,0,2059214629,0,400300,0,230683900,816900,0,327200,0,11614300,243842600
20,2023-09-29,IPOL,EQUITY,6443379509.0,144,19873500,1519168200,23353700,0,477671329,0,19183700,0,0,2059250429,0,400300,0,230648100,816900,0,327200,0,11614300,243806800
21,2023-10-31,IPOL,EQUITY,6443379509.0,131,19873500,1519167800,23353700,0,477658429,0,19183700,0,0,2059237129,0,400300,0,230661400,816900,0,327200,0,11614300,243820100
22,2023-11-30,IPOL,EQUITY,6443379509.0,140,5462500,1519167800,23353700,0,477671729,14411000,19183700,0,0,2059250429,0,400300,0,230648100,816900,0,327200,0,11614300,243806800
23,2023-12-29,IPOL,EQUITY,6443379509.0,157,260000,1521667500,23353700,0,475172029,19613500,19183700,0,0,2059250429,0,400300,0,230648100,816900,0,327200,0,11614300,243806800
24,2024-01-31,IPOL,EQUITY,6443379509.0,138,260000,1522411100,23353700,0,474400929,19613500,19183700,0,0,2059222929,0,400300,0,230675600,816900,0,327200,0,11614300,243834300
25,2024-02-29,IPOL,EQUITY,6443379509.0,137,260000,1522411100,23353700,0,474398129,19613500,19183700,0,0,2059220129,0,400300,0,230678400,816900,0,327200,0,11614300,243837100
26,2024-03-28,IPOL,EQUITY,6443379509.0,131,260000,1522411100,23353700,0,474424329,19613500,19183700,0,0,2059246329,0,400300,0,230652200,816900,0,327200,0,11614300,243810900
27,2024-04-30,IPOL,EQUITY,6443379509.0,131,260000,1522411100,23353700,0,474422529,19613500,19183700,0,0,2059244529,0,400300,0,230654000,816900,0,327200,0,11614300,243812700
28,2024-05-31,IPOL,EQUITY,6443379509.0,138,260000,1522411100,23353700,0,474421229,19613500,19183700,0,0,2059243229,0,400300,0,230655300,816900,0,327200,0,11614300,243814000
29,2024-06-28,IPOL,EQUITY,6443379509.0,143,260000,1522411100,23353700,0,474428429,19613500,19183700,0,0,2059250429,0,400300,0,230648100,816900,0,327200,0,11614300,243806800
30,2024-07-31,IPOL,EQUITY,6443379509.0,132,190000,1524793500,23353700,0,472115929,19613500,19183700,0,0,2059250329,0,400300,0,230648200,816900,0,327200,0,11614300,243806900
31,2024-08-30,IPOL,EQUITY,6443379509.0,123,190000,1524793500,23353700,0,472070729,19613500,19183700,0,0,2059205129,0,400300,0,230693400,816900,0,327200,0,11614300,243852100
32,2024-09-30,IPOL,EQUITY,6443379509.0,129,190000,1524793500,23353700,0,472077129,19613500,19183700,0,0,2059211529,0,400300,0,230687000,816900,0,327200,0,11614300,243845700
33,2024-10-31,IPOL,EQUITY,6443379509.0,125,190000,1524451800,23353700,0,472304229,19613500,19183700,0,0,2059096929,0,400300,0,230691600,926900,0,327200,0,11614300,243960300
34,2024-11-29,IPOL,EQUITY,6443379509.0,125,190000,1536056000,23353700,0,460736429,19613500,19183700,0,0,2059133329,0,400300,0,230655200,926900,0,327200,0,11614300,243923900
35,2024-12-30,IPOL,EQUITY,6443379509.0,130,190000,1536449200,23353700,0,460349929,19613500,19183700,0,0,2059140029,0,400300,0,230648500,926900,0,327200,0,11614300,243917200
