,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,JAST,EQUITY,813626700.0,176,0,409375055,0,0,372237045,0,0,0,0,781612100,0,4100300,0,478700,291800,0,818800,0,0,5689600
1,2022-02-25,JAST,EQUITY,813626700.0,169,0,432522480,0,0,349595920,0,0,0,0,782118400,0,4100300,0,478700,285500,0,318800,0,0,5183300
2,2022-03-31,JAST,EQUITY,813626700.0,139,0,419467480,0,0,356080020,0,0,0,0,775547500,0,4100300,0,7049300,285800,0,318800,0,0,11754200
3,2022-04-28,JAST,EQUITY,813626700.0,140,0,410606080,0,0,371507320,0,0,0,0,782113400,0,4100300,0,478400,285800,0,323800,0,0,5188300
4,2022-05-31,JAST,EQUITY,1069241646.0,128,0,614196170,0,0,422253676,0,0,0,0,1036449846,0,4100300,0,16900,290800,0,371300,0,0,4779300
5,2022-06-30,JAST,EQUITY,1082574979.0,117,0,628101003,0,0,421685576,0,0,0,0,1049786579,0,4100300,0,13500,290800,0,371300,0,0,4775900
6,2022-07-29,JAST,EQUITY,1082574979.0,108,0,628672453,0,0,421257126,0,0,0,0,1049929579,0,4100300,0,13600,147700,0,371300,0,0,4632900
7,2022-08-31,JAST,EQUITY,1082574979.0,107,0,625901456,0,0,424028123,0,0,0,0,1049929579,0,4100300,0,13600,147700,0,371300,0,0,4632900
8,2022-09-30,JAST,EQUITY,1082574979.0,97,0,625201456,0,0,424710623,0,0,0,0,1049912079,0,4100300,0,13600,157700,0,378800,0,0,4650400
9,2022-10-31,JAST,EQUITY,1082574979.0,97,0,625236456,0,0,419782423,0,0,0,0,1045018879,0,4100300,0,11800,157700,0,5273800,0,0,9543600
10,2022-11-30,JAST,EQUITY,1082574979.0,104,0,627041456,0,0,418091923,0,0,0,0,1045133379,0,4100300,0,12300,157700,0,5158800,0,0,9429100
11,2022-12-30,JAST,EQUITY,1082574981.0,84,0,645002656,0,0,404996425,0,0,0,0,1049999081,0,4100300,0,11600,157700,0,293800,0,0,4563400
12,2023-01-31,JAST,EQUITY,1082575051.0,82,0,613502656,0,0,436494895,0,0,0,0,1049997551,0,4100300,0,13200,157700,0,293800,0,0,4565000
13,2023-02-28,JAST,EQUITY,1082575087.0,96,0,584990056,0,0,464966781,0,50,0,0,1049956887,0,4100300,0,52700,158900,0,293800,0,0,4605700
14,2023-03-31,JAST,EQUITY,1082575242.0,66,0,587710056,0,0,462287136,0,50,0,0,1049997242,0,4100300,0,10300,161100,0,293800,0,0,4565500
15,2023-04-28,JAST,EQUITY,1082575242.0,63,0,580827856,0,0,469239336,0,50,0,0,1050067242,0,4100300,0,10100,80800,0,304300,0,0,4495500
16,2023-05-31,JAST,EQUITY,1082575242.0,61,0,580827856,0,0,469238336,0,50,0,0,1050066242,0,4100300,0,10100,80800,0,305300,0,0,4496500
