,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180000000000,22745000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180000000000,22745000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180000000000,22745000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180000000000,22745000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180000000000,22745000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180000000000,22745000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180150000000,22595000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180600000000,22145000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180600000000,22145000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180400000000,22345000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180350000000,22395000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180100000000,22645000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180000000000,22745000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180050000000,22695000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180050000000,22695000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180050000000,22695000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180050000000,22695000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180050000000,22695000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180050000000,22695000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,JLBS01B,CORPORATE BOND,425000000000.0,1,20000000000,7255000000,53000000000,180050000000,22695000000,141000000000,0,1000000000,0,425000000000,0,0,0,0,0,0,0,0,0,0
