,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,JSKY,EQUITY,2032540000.0,92,413516700,100573139,1089000,0,1180756434,0,225203027,200300,0,1921338600,0,3405000,0,42601800,10529100,0,4665500,0,50000000,111201400
1,2022-02-25,JSKY,EQUITY,2032540000.0,92,413516700,101422339,1089000,0,1192507634,0,215203027,200300,0,1923939000,0,3405000,0,42601800,10778700,0,1815500,0,50000000,108601000
2,2022-03-31,JSKY,EQUITY,2032540000.0,89,413516700,100873139,1089000,0,1193624534,0,215203027,200300,0,1924506700,0,3405000,0,42601800,10086000,0,1940500,0,50000000,108033300
3,2022-04-28,JSKY,EQUITY,2032540000.0,72,413516700,100208139,1089000,0,1205817234,0,203353027,200100,200,1924184400,0,3405000,0,42601800,10388300,0,1960500,0,50000000,108355600
4,2022-05-31,JSKY,EQUITY,2032540000.0,65,413516700,100516639,1089000,0,1205989134,0,203353027,200100,200,1924664800,0,3405000,0,42601800,9907900,0,1960500,0,50000000,107875200
5,2022-06-30,JSKY,EQUITY,2032540000.0,63,413516700,100516639,1089000,0,1207265734,0,203353027,200100,200,1925941400,0,3405000,0,42601800,8631300,0,1960500,0,50000000,106598600
6,2022-07-29,JSKY,EQUITY,2032540000.0,52,413501700,103007839,1089000,0,1201331834,0,203353027,200100,200,1922483700,0,3405000,0,42601800,8595300,0,5454200,0,50000000,110056300
7,2022-08-31,JSKY,EQUITY,2032540000.0,52,413501700,103007839,1089000,0,1201325724,0,203353027,200100,1200,1922478590,0,3405000,0,42601800,8600300,0,5454200,0,50000000,110061300
8,2022-09-30,JSKY,EQUITY,2032540000.0,52,413501700,103007839,1089000,0,1201325724,0,203353027,200100,1200,1922478590,0,3405000,0,42601800,8600300,0,5454200,0,50000000,110061300
9,2022-10-31,JSKY,EQUITY,2032540000.0,52,413501700,103007839,1089000,0,1201325724,0,203353027,200100,1200,1922478590,0,3405000,0,42601800,8600300,0,5454200,0,50000000,110061300
10,2022-11-30,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1201125691,0,203353027,200100,413517933,1922478590,0,3405000,0,42601800,8600300,0,5454200,0,50000000,110061300
11,2022-12-30,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197692191,0,203353027,200100,416701433,1922228590,0,3405000,0,42601800,8850300,0,5454200,0,50000000,110311300
12,2023-01-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
13,2023-02-28,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
14,2023-03-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
15,2023-04-28,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
16,2023-05-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
17,2023-06-27,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
18,2023-07-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
19,2023-08-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
20,2023-09-29,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763191,0,203353027,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
21,2023-10-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197763091,0,203353127,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
22,2023-11-30,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197762991,0,203353227,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
23,2023-12-29,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197762991,0,203353227,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
24,2024-01-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
25,2024-02-29,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
26,2024-03-28,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
27,2024-04-30,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
28,2024-05-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
29,2024-06-28,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
30,2024-07-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
31,2024-08-30,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
32,2024-09-30,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
33,2024-10-31,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
34,2024-11-29,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197761791,0,203354427,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
35,2024-12-30,JSKY,EQUITY,2032540000.0,52,185000,103007839,1089000,0,1197731391,0,203384827,200100,416701433,1922299590,0,3405000,0,42601800,8779300,0,5454200,0,50000000,110240300
