,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KAEF,EQUITY,5554000000.0,2200,257870206,6614200,826100,0,269372900,10134700,2577613,85400,0,547481119,0,551200,346800,4302950,492700,266100,559100,0,31,6518881
1,2022-02-25,KAEF,EQUITY,5554000000.0,2100,257870206,7088200,826100,0,268935200,10363200,2559313,85400,0,547727619,0,521300,346800,4155750,417900,266100,564500,0,31,6272381
2,2022-03-31,KAEF,EQUITY,5554000000.0,1740,252554006,6499600,832100,0,273783300,10386400,2541213,85400,0,546682019,0,521300,346800,5159950,429200,266100,594600,0,31,7317981
3,2022-04-28,KAEF,EQUITY,5554000000.0,1475,248226806,6884100,888100,0,277760800,10438300,2604213,117400,0,546919719,0,552800,346800,4813150,506800,266100,594600,0,31,7080281
4,2022-05-31,KAEF,EQUITY,5554000000.0,1510,248226806,6894400,832100,0,278079100,10608800,2678713,117400,0,547437319,0,521400,346800,4357050,513600,266100,557700,0,31,6562681
5,2022-06-30,KAEF,EQUITY,5554000000.0,1330,248226806,6861400,832100,0,277704900,10560000,2583613,117400,0,546886219,0,526700,346800,4893750,515000,266100,565400,0,31,7113781
6,2022-07-29,KAEF,EQUITY,5554000000.0,1370,248226806,7289600,670500,0,275091100,10481900,2469613,117400,0,544346919,0,459900,346800,4423350,523300,3266100,633600,0,31,9653081
7,2022-08-31,KAEF,EQUITY,5554000000.0,1400,248226806,7253500,650500,0,275038500,9686500,2429013,225800,0,543510619,0,459200,346800,4372350,405800,4266100,639100,0,31,10489381
8,2022-09-30,KAEF,EQUITY,5554000000.0,1250,248226806,7097000,650500,0,275637300,9683100,2538613,225800,0,544059119,0,459200,0,4415350,412200,4000000,654100,0,31,9940881
9,2022-10-31,KAEF,EQUITY,5554000000.0,1200,248226806,7088400,700500,0,275375600,9683100,2758113,225800,0,544058319,0,459200,0,4416150,412200,4000000,654100,0,31,9941681
