,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KAYU,EQUITY,665000000.0,50,0,354291200,0,0,307408900,0,0,0,1259700,662959800,0,300200,0,0,1740000,0,0,0,0,2040200
1,2022-02-25,KAYU,EQUITY,665000000.0,50,0,354350900,0,0,307349200,0,0,0,1259700,662959800,0,300200,0,0,1740000,0,0,0,0,2040200
2,2022-03-31,KAYU,EQUITY,665000000.0,50,0,360520900,0,0,301279200,0,0,0,1259700,663059800,0,300200,0,0,1640000,0,0,0,0,1940200
3,2022-04-28,KAYU,EQUITY,665000000.0,50,0,360520900,0,0,300879200,0,0,0,1259700,662659800,0,300200,0,0,2040000,0,0,0,0,2340200
4,2022-05-31,KAYU,EQUITY,665000000.0,50,0,355450900,0,0,305999200,0,0,0,1259700,662709800,0,250200,0,0,2040000,0,0,0,0,2290200
5,2022-06-30,KAYU,EQUITY,665000000.0,50,0,355450900,0,0,304999200,0,0,0,1259700,661709800,0,250200,0,0,2040000,0,1000000,0,0,3290200
6,2022-07-29,KAYU,EQUITY,665000000.0,50,0,355450900,0,0,304999100,0,0,100,1259700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
7,2022-08-31,KAYU,EQUITY,665000000.0,50,0,355450900,0,0,304999100,0,0,100,1259700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
8,2022-09-30,KAYU,EQUITY,665000000.0,50,0,355450900,0,0,304999100,0,0,100,1259700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
9,2022-10-31,KAYU,EQUITY,665000000.0,50,0,355450900,0,0,304999100,0,0,100,1259700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
10,2022-11-30,KAYU,EQUITY,665000000.0,50,0,355450900,0,0,304999100,0,0,100,1259700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
11,2022-12-30,KAYU,EQUITY,665000000.0,50,0,355457900,0,0,302359100,0,0,100,3892700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
12,2023-01-31,KAYU,EQUITY,665000000.0,50,0,355457900,0,0,302359100,0,0,100,3892700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
13,2023-02-28,KAYU,EQUITY,665000000.0,50,0,355457900,0,0,302359100,0,0,100,3892700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
14,2023-03-31,KAYU,EQUITY,665000000.0,50,0,355457900,0,0,302359100,0,0,100,3892700,661709800,0,0,0,0,2040000,0,1250200,0,0,3290200
15,2023-04-28,KAYU,EQUITY,665000000.0,68,0,331769034,0,0,328950566,0,0,100,1259700,661979400,0,0,0,30400,1740000,0,1250200,0,0,3020600
16,2023-05-31,KAYU,EQUITY,665000000.0,103,0,325013479,0,0,338032321,0,0,100,1259700,664305600,0,0,0,14200,430000,0,250200,0,0,694400
17,2023-06-27,KAYU,EQUITY,665000000.0,153,0,326793479,0,0,310123221,0,0,100,1259700,638176500,0,0,0,24814200,1759100,0,250200,0,0,26823500
18,2023-07-31,KAYU,EQUITY,665000000.0,166,0,325951279,0,0,303180821,0,0,100,1259700,630391900,0,29600,0,33640300,938200,0,0,0,0,34608100
19,2023-08-31,KAYU,EQUITY,665000000.0,280,0,305388079,0,0,320115821,0,0,100,1259700,626763700,0,776300,0,36727400,732600,0,0,0,0,38236300
20,2023-09-29,KAYU,EQUITY,665000000.0,364,0,286995879,0,0,339976921,0,0,100,1259700,628232600,0,1616700,0,34725500,425200,0,0,0,0,36767400
21,2023-10-31,KAYU,EQUITY,665000000.0,478,0,265535879,0,0,367361021,0,0,100,1259700,634156700,0,793400,0,29864300,185600,0,0,0,0,30843300
22,2023-11-30,KAYU,EQUITY,665000000.0,530,0,261706279,0,0,366212521,0,0,0,1259700,629178500,0,1201600,0,34483200,136700,0,0,0,0,35821500
23,2023-12-29,KAYU,EQUITY,665000000.0,121,0,254916879,0,0,357821621,0,0,0,1259700,613998200,0,828100,0,50037000,136700,0,0,0,0,51001800
24,2024-01-31,KAYU,EQUITY,665000000.0,52,0,254916879,0,0,357821521,0,0,0,1259700,613998100,0,828100,0,50037000,136800,0,0,0,0,51001900
25,2024-02-29,KAYU,EQUITY,665000000.0,50,0,254916879,0,0,357821521,0,0,0,1259700,613998100,0,828100,0,50037000,136800,0,0,0,0,51001900
26,2024-03-28,KAYU,EQUITY,665000000.0,34,0,254916879,0,0,357821521,0,0,0,1259700,613998100,0,828100,0,50037000,136800,0,0,0,0,51001900
27,2024-04-30,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
28,2024-05-31,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
29,2024-06-28,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
30,2024-07-31,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
31,2024-08-30,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
32,2024-09-30,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
33,2024-10-31,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
34,2024-11-29,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
35,2024-12-30,KAYU,EQUITY,665000000.0,18,0,254916879,0,0,358416121,0,0,0,1259700,614592700,0,828100,0,49442400,136800,0,0,0,0,50407300
