,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KBAG-W,WARRANT,1719998491.0,8,0,3564000,0,0,1714918971,0,120,0,0,1718483091,0,0,0,0,1515400,0,0,0,0,1515400
1,2022-02-25,KBAG-W,WARRANT,1719998491.0,9,0,3564000,0,0,1714918971,0,120,0,0,1718483091,0,0,0,0,1515400,0,0,0,0,1515400
2,2022-03-31,KBAG-W,WARRANT,1719998491.0,9,0,3564000,0,0,1714918971,0,120,0,0,1718483091,0,0,0,0,1515400,0,0,0,0,1515400
3,2022-04-28,KBAG-W,WARRANT,1719998491.0,9,0,3564000,0,0,1714918971,0,120,0,0,1718483091,0,0,0,0,1515400,0,0,0,0,1515400
4,2022-05-31,KBAG-W,WARRANT,1719998409.0,9,0,3564000,0,0,1714918889,0,120,0,0,1718483009,0,0,0,0,1515400,0,0,0,0,1515400
5,2022-06-30,KBAG-W,WARRANT,1719998309.0,8,0,3564000,0,0,1714918789,0,120,0,0,1718482909,0,0,0,0,1515400,0,0,0,0,1515400
6,2022-07-29,KBAG-W,WARRANT,1719998309.0,5,0,3564000,0,0,1714918789,0,120,0,0,1718482909,0,0,0,0,1515400,0,0,0,0,1515400
7,2022-08-31,KBAG-W,WARRANT,1719998309.0,8,0,3564000,0,0,1714918709,0,200,0,0,1718482909,0,0,0,0,1515400,0,0,0,0,1515400
8,2022-09-30,KBAG-W,WARRANT,1719998309.0,7,0,5264000,0,0,1714734109,0,200,0,0,1719998309,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,KBAG-W,WARRANT,1719998309.0,6,0,3564000,0,0,1716434109,0,200,0,0,1719998309,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,KBAG-W,WARRANT,1719998309.0,4,0,3564000,0,0,1716434109,0,200,0,0,1719998309,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,KBAG-W,WARRANT,1719998309.0,3,0,3564000,0,0,1716434029,0,280,0,0,1719998309,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,KBAG-W,WARRANT,1719998209.0,2,0,3564000,0,0,1716433929,0,280,0,0,1719998209,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,KBAG-W,WARRANT,1719998209.0,1,0,3564000,0,0,1716433929,0,280,0,0,1719998209,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,KBAG-W,WARRANT,1719998109.0,1,0,3564000,0,0,1716433829,0,280,0,0,1719998109,0,0,0,0,0,0,0,0,0,0
