,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KBLI,EQUITY,4007235107.0,274,38334300,43141819,36171700,24000,444972380,1046951600,1784327,25535700,0,1636915826,0,1984002387,1820413,251936425,2366700,25100600,38460994,0,10606542,2314294061
1,2022-02-25,KBLI,EQUITY,4007235107.0,284,38334300,43303719,36171700,24000,443099880,1048662000,1784527,25535700,0,1636915826,0,1984002387,1820413,251936425,2366700,25100600,38460994,0,10606542,2314294061
2,2022-03-31,KBLI,EQUITY,4007235107.0,274,38334300,43303719,36171700,24000,431705280,1060453900,1784527,25535700,0,1637313126,0,1984002387,1820413,251944825,2366700,24694900,38460994,0,10606542,2313896761
3,2022-04-28,KBLI,EQUITY,4007235107.0,282,38334300,43323719,36171700,24000,431867480,1063674400,1784527,25535700,0,1640715826,0,1984002387,1820413,251936425,2366700,21300600,38460994,0,10606542,2310494061
4,2022-05-31,KBLI,EQUITY,4007235107.0,346,38334300,43253719,36171700,24000,434283280,1062778300,3062127,25535700,0,1643443126,0,1984002387,1820413,251969025,2456800,18450600,38460994,0,10606542,2307766761
5,2022-06-30,KBLI,EQUITY,4007235107.0,328,38334300,43048119,36171700,24000,435054280,1062598300,3545427,25535700,0,1644311826,0,1984002387,1820413,251949825,2257300,18450600,37810994,0,10606542,2306898061
6,2022-07-29,KBLI,EQUITY,4007235107.0,326,38334300,43028119,36171700,24000,434695080,1062857300,3545427,25535700,0,1644191626,0,1983996387,1820413,251936425,2390900,18450600,37816994,0,10606542,2307018261
7,2022-08-31,KBLI,EQUITY,4007235107.0,304,38334300,43028119,36171700,24000,435024180,1062999300,3045427,25535700,0,1644162726,0,1983996387,1820413,251937925,2416400,18450600,37818894,0,10606542,2307047161
8,2022-09-30,KBLI,EQUITY,4007235107.0,296,38334300,43028119,36171700,24000,433209280,1063269300,3906227,25535700,0,1643478626,0,1983996387,1820413,251937925,3100500,18450600,37818894,0,10606542,2307731261
9,2022-10-31,KBLI,EQUITY,4007235107.0,300,38334300,43028119,36171700,24000,430022280,1066437400,3906227,25535700,0,1643459726,0,1983996387,1820413,251956825,3100500,18450600,37818894,0,10606542,2307750161
10,2022-11-30,KBLI,EQUITY,4007235107.0,302,38334300,2025420356,36171700,24000,425909880,1071858200,3370227,25535700,0,3626624363,0,1604150,1820413,251968525,2316400,18450600,37818831,0,10606605,324585524
11,2022-12-30,KBLI,EQUITY,4007235107.0,314,38334300,2025420356,36171700,24000,396392480,1103423000,2597227,25535700,200000,3628098763,0,137050,1820413,251961225,2316400,18450600,37818831,0,10606605,323111124
12,2023-01-31,KBLI,EQUITY,4007235107.0,300,38334300,2025420356,36171700,24000,395588080,1104594000,2597227,25535700,200000,3628465363,0,137050,1820413,251954125,1957000,18450600,37818831,0,10606505,322744524
13,2023-02-28,KBLI,EQUITY,4007235107.0,294,38334300,2025420356,36171700,24000,397852980,1105241000,240527,25135700,0,3628420563,0,137050,1820413,251998925,1957000,18450600,37818831,0,10606505,322789324
14,2023-03-31,KBLI,EQUITY,4007235107.0,294,38334300,2025420356,36171700,24000,396991880,1106121000,240527,25135700,0,3628439463,0,137050,1820413,251981125,1955900,18450600,37818831,0,10606505,322770424
15,2023-04-28,KBLI,EQUITY,4007235107.0,296,38334300,2025420356,36171700,24000,396092080,1107221000,240527,25135700,0,3628639663,0,110050,1820413,252017925,1955900,18450600,37608831,0,10606505,322570224
16,2023-05-31,KBLI,EQUITY,4007235107.0,330,38334300,2025420356,36171700,24000,395879680,1108681000,240527,24168900,0,3628920463,0,110050,1758413,251974125,1955900,18450600,37433831,0,10606505,322289424
17,2023-06-27,KBLI,EQUITY,4007235107.0,310,38334300,2025513056,36171700,24000,389881980,1117682500,240527,22517100,0,3630365163,0,110050,1758413,251093125,1905900,17936900,37433831,0,10606505,320844724
18,2023-07-31,KBLI,EQUITY,4007235107.0,342,38334300,2025553056,36171700,24000,412398680,1118432500,240527,20933800,0,3652088563,0,110050,1758413,230161925,1905900,17936900,36641631,0,10606505,299121324
19,2023-08-31,KBLI,EQUITY,4007235107.0,322,38334300,2025513056,36171700,24000,411102080,1122186100,240527,19528000,0,3653099763,0,100050,1470913,230194025,1905900,17230600,36602131,0,10606505,298110124
20,2023-09-29,KBLI,EQUITY,4007235107.0,320,38334300,2025616656,36171700,24000,410464080,1123346100,240527,19528000,0,3653725363,0,100050,1179213,230464425,1820800,16972200,36341331,0,10606505,297484524
21,2023-10-31,KBLI,EQUITY,4007235107.0,328,38334300,2027763056,36171700,24000,411069980,1129073700,240527,19528000,0,3662205263,0,100050,1179213,228557225,1820800,16972200,29768631,0,10606505,289004624
22,2023-11-30,KBLI,EQUITY,4007235107.0,322,38334300,2028631056,36171700,24000,407219480,1132664500,240527,19528000,0,3662813563,0,100050,1179213,228249725,1820800,16972200,29467831,0,10606505,288396324
23,2023-12-29,KBLI,EQUITY,4007235107.0,338,38334300,2028721056,36171700,24000,399075780,1141584100,240527,19028000,0,3663179463,0,100050,1179213,228689525,1646800,16972200,28836131,0,10606505,288030424
24,2024-01-31,KBLI,EQUITY,4007235107.0,332,38334300,2028621056,36171700,24000,398067980,1143084100,240527,18724600,0,3663268263,0,100050,1179213,228600725,1646800,45298000,510331,0,10606505,287941624
25,2024-02-29,KBLI,EQUITY,4007235107.0,314,38334300,2028641056,36171700,24000,397180680,1144304200,240527,18724600,0,3663621063,0,100050,1179213,228347925,1646800,45298000,410331,0,10606505,287588824
26,2024-03-28,KBLI,EQUITY,4007235107.0,308,38334300,2030641056,36171700,24000,392096980,1149624500,240527,18724600,0,3665857663,0,100050,1179213,228203025,1646800,45420900,410331,0,10391905,287352224
27,2024-04-30,KBLI,EQUITY,4007235107.0,346,38334300,2030631056,36171700,24000,388231780,1152860300,240527,18724600,0,3665218263,0,100050,1179213,228161025,1646800,46090900,421731,0,10391905,287991624
28,2024-05-31,KBLI,EQUITY,4007235107.0,370,38334300,2030621056,36171700,24000,381787180,1160223900,240527,17465600,0,3664868263,0,100050,1179213,228511025,1646800,46090900,421731,0,10391905,288341624
29,2024-06-28,KBLI,EQUITY,4007235107.0,374,38334300,2034092556,36171700,24000,367563080,1171273900,240527,17232800,0,3664932863,0,100050,1179213,228638025,1620800,45925300,421731,0,10391905,288277024
30,2024-07-31,KBLI,EQUITY,4007235107.0,404,38334300,2034111256,36171700,24000,361944080,1180065400,240527,16362000,0,3667253263,0,100050,1179213,226520325,1620800,45925300,421731,0,10205705,285973124
31,2024-08-30,KBLI,EQUITY,4007235107.0,422,38244100,2034107556,36171700,24000,358491080,1184293500,240527,15945700,0,3667518163,0,100050,1179213,226748425,1620800,45925300,421731,0,9712705,285708224
32,2024-09-30,KBLI,EQUITY,4007235107.0,400,38244100,2034107556,36171700,24000,355447880,1187501500,240527,15945700,0,3667682963,0,100050,1179213,226631625,1570800,45925300,423731,0,9712705,285543424
33,2024-10-31,KBLI,EQUITY,4007235107.0,396,38244100,2034107556,36171700,24000,353987180,1188980400,240527,15545700,0,3667301163,0,100050,1179213,226343425,1570800,46595300,423731,0,9712705,285925224
34,2024-11-29,KBLI,EQUITY,4007235107.0,374,38244100,2034107556,36171700,24000,349443980,1193915400,240527,15045700,0,3667192963,0,100050,1179213,226109925,1570800,46937000,423731,0,9712705,286033424
35,2024-12-30,KBLI,EQUITY,4007235107.0,390,38244100,2042805556,34117200,24000,342566780,1202917400,240527,15045700,0,3675961263,0,100050,1179213,226107225,1563200,46877000,423731,0,9712705,285963124
