,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KDSI,EQUITY,405000000.0,1050,0,122558500,0,0,76840000,0,54500,0,0,199453000,0,5300,0,0,1276200,0,114000,0,0,1395500
1,2022-02-25,KDSI,EQUITY,405000000.0,1045,0,122558500,0,0,76851900,0,54500,0,0,199464900,0,5300,0,0,1264300,0,114000,0,0,1383600
2,2022-03-31,KDSI,EQUITY,405000000.0,1000,0,122558500,0,0,76852900,0,54500,0,0,199465900,0,5300,0,0,1263300,0,114000,0,0,1382600
3,2022-04-28,KDSI,EQUITY,405000000.0,1000,0,122558500,0,0,76867400,0,54500,0,0,199480400,0,5300,0,0,1248800,0,114000,0,0,1368100
4,2022-05-31,KDSI,EQUITY,405000000.0,1080,0,122558500,0,0,76883400,0,54500,0,0,199496400,0,5300,0,0,1232800,0,114000,0,0,1352100
5,2022-06-30,KDSI,EQUITY,405000000.0,1110,0,122888500,0,0,76565000,0,54500,0,0,199508000,0,5300,0,0,1221200,0,114000,0,0,1340500
6,2022-07-29,KDSI,EQUITY,405000000.0,1020,0,124655300,0,0,74789100,0,54500,0,0,199498900,0,5300,0,0,1230300,0,114000,0,0,1349600
7,2022-08-31,KDSI,EQUITY,405000000.0,1015,0,124655300,0,0,74828100,0,54500,0,0,199537900,0,5300,0,0,1191300,0,114000,0,0,1310600
8,2022-09-30,KDSI,EQUITY,405000000.0,990,0,124655300,0,0,74788400,0,54500,0,0,199498200,0,13900,0,0,1222400,0,114000,0,0,1350300
9,2022-10-31,KDSI,EQUITY,405000000.0,990,0,126871400,0,0,72572300,0,54500,0,0,199498200,0,13900,0,0,1222400,0,114000,0,0,1350300
10,2022-11-30,KDSI,EQUITY,405000000.0,1045,0,144398000,0,0,55103300,0,54500,0,0,199555800,0,13900,0,0,1164800,0,114000,0,0,1292700
11,2022-12-30,KDSI,EQUITY,405000000.0,1150,0,144398000,0,0,55063900,0,54500,0,0,199516400,0,53300,0,0,1164800,0,114000,0,0,1332100
12,2023-01-31,KDSI,EQUITY,405000000.0,1060,0,144546400,0,0,54915500,0,54500,0,0,199516400,0,53300,0,0,1164800,0,114000,0,0,1332100
13,2023-02-28,KDSI,EQUITY,405000000.0,1100,0,144546400,0,0,54954900,0,54500,0,0,199555800,0,13800,0,100,1164800,0,114000,0,0,1292700
