,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-11-30,KDTN-W,WARRANT,50000000.0,43,0,1486100,0,0,48462080,0,740,80,0,49949000,0,0,0,0,51000,0,0,0,0,51000
1,2022-12-30,KDTN-W,WARRANT,50000000.0,37,0,1486040,0,0,48460900,0,1980,80,0,49949000,0,0,0,0,51000,0,0,0,0,51000
2,2023-01-31,KDTN-W,WARRANT,50000000.0,32,0,1486040,0,0,48460020,0,2860,80,0,49949000,0,0,0,0,51000,0,0,0,0,51000
3,2023-02-28,KDTN-W,WARRANT,50000000.0,26,0,1486040,0,0,48460580,0,2300,80,0,49949000,0,0,0,0,51000,0,0,0,0,51000
4,2023-03-31,KDTN-W,WARRANT,50000000.0,23,0,1485980,0,0,48461520,0,1420,80,0,49949000,0,0,0,0,51000,0,0,0,0,51000
5,2023-04-28,KDTN-W,WARRANT,50000000.0,25,0,1485980,0,0,48461020,0,1760,280,0,49949040,0,0,0,0,50960,0,0,0,0,50960
6,2023-05-31,KDTN-W,WARRANT,49995711.0,28,0,1485980,0,0,48457003,0,1280,280,208,49944751,0,0,0,0,50960,0,0,0,0,50960
7,2023-06-27,KDTN-W,WARRANT,49990782.0,23,0,1485980,0,0,48452362,0,1200,280,0,49939822,0,0,0,0,50960,0,0,0,0,50960
8,2023-07-31,KDTN-W,WARRANT,49988878.0,24,0,1485980,0,0,48450278,0,1140,340,180,49937918,0,0,0,0,50960,0,0,0,0,50960
9,2023-08-31,KDTN-W,WARRANT,49986878.0,22,0,1485980,0,0,48448098,0,1500,340,0,49935918,0,0,0,0,50960,0,0,0,0,50960
10,2023-09-29,KDTN-W,WARRANT,49985935.0,22,0,2767080,0,0,47166475,0,1040,380,0,49934975,0,0,0,0,50960,0,0,0,0,50960
11,2023-10-31,KDTN-W,WARRANT,49985187.0,20,0,1485980,0,0,48448607,0,1320,520,0,49936427,0,0,0,0,48760,0,0,0,0,48760
12,2023-11-30,KDTN-W,WARRANT,49984487.0,18,0,1485980,0,0,48448166,0,1060,520,1,49935727,0,0,0,0,48760,0,0,0,0,48760
13,2023-12-29,KDTN-W,WARRANT,49983805.0,15,0,1485980,0,0,48450105,0,1220,640,100,49938045,0,0,0,0,45760,0,0,0,0,45760
14,2024-01-31,KDTN-W,WARRANT,49982723.0,12,0,1485980,0,0,48448963,0,1380,640,0,49936963,0,0,0,0,45760,0,0,0,0,45760
15,2024-02-29,KDTN-W,WARRANT,49982323.0,11,0,1485980,0,0,48449203,0,700,640,40,49936563,0,0,0,0,45760,0,0,0,0,45760
16,2024-03-28,KDTN-W,WARRANT,49981817.0,8,0,1485980,0,0,48449036,0,400,640,1,49936057,0,0,0,0,45760,0,0,0,0,45760
17,2024-04-30,KDTN-W,WARRANT,49981376.0,6,0,3215980,0,0,46718426,0,570,640,0,49935616,0,0,0,0,45760,0,0,0,0,45760
18,2024-05-31,KDTN-W,WARRANT,49981205.0,7,0,3215980,0,0,46719455,0,270,640,0,49936345,0,0,0,0,44860,0,0,0,0,44860
19,2024-06-28,KDTN-W,WARRANT,49980903.0,7,0,3215980,0,0,46719113,0,310,640,0,49936043,0,0,0,0,44860,0,0,0,0,44860
20,2024-07-31,KDTN-W,WARRANT,49980343.0,7,0,3215980,0,0,46718473,0,390,640,0,49935483,0,0,0,0,44860,0,0,0,0,44860
21,2024-08-30,KDTN-W,WARRANT,49979962.0,4,0,3215980,0,0,46718032,0,450,640,0,49935102,0,0,0,0,44860,0,0,0,0,44860
22,2024-09-30,KDTN-W,WARRANT,49978902.0,16,0,3285980,0,0,46646812,0,530,640,80,49934042,0,0,0,0,44860,0,0,0,0,44860
23,2024-10-31,KDTN-W,WARRANT,49976840.0,8,0,3215980,0,0,46714630,0,410,960,0,49931980,0,0,0,0,44860,0,0,0,0,44860
