,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KIOS,EQUITY,717239900.0,500,57195200,398922651,0,0,144891849,81510100,50,0,0,682519850,0,71300,0,34009650,184700,0,54400,0,400000,34720050
1,2022-02-25,KIOS,EQUITY,717239900.0,494,57195200,407573951,0,0,160527349,60225900,50,0,0,685522450,0,71300,0,31005050,186700,0,54400,0,400000,31717450
2,2022-03-31,KIOS,EQUITY,717239900.0,468,57195200,396341051,0,0,171856349,60225900,50,0,0,685618550,0,71300,0,30906450,189200,0,54400,0,400000,31621350
3,2022-04-28,KIOS,EQUITY,717239900.0,338,57195200,402148351,0,0,175905949,50225900,50,0,0,685475450,0,71300,0,31004850,238700,0,49600,0,400000,31764450
4,2022-05-31,KIOS,EQUITY,717239900.0,330,57195200,397090451,0,0,180907649,50225900,50,0,0,685419250,0,71300,0,31016050,283700,0,49600,0,400000,31820650
5,2022-06-30,KIOS,EQUITY,717239900.0,240,57195200,394986351,0,0,182891549,50225900,50,0,0,685299050,0,71300,0,31124250,295700,0,49600,0,400000,31940850
6,2022-07-29,KIOS,EQUITY,811947863.0,288,57195200,464703017,0,0,206322846,50225900,50,0,0,778447013,0,78700,0,32329550,636700,0,55900,0,400000,33500850
7,2022-08-31,KIOS,EQUITY,1075859850.0,424,57195200,660403824,0,0,267303326,50225900,50,0,0,1035128300,0,204600,0,39215550,855500,0,55900,0,400000,40731550
8,2022-09-30,KIOS,EQUITY,1075859850.0,525,57195200,657438924,0,0,270100126,50225900,30050,0,0,1034990200,0,1472600,0,38039750,901400,0,55900,0,400000,40869650
9,2022-10-31,KIOS,EQUITY,1075859850.0,490,57195200,600351524,0,0,317565119,50225900,14931457,0,0,1040269200,0,127000,0,34783250,224500,0,55900,0,400000,35590650
10,2022-11-30,KIOS,EQUITY,1075859850.0,370,57195200,601539024,0,0,312378819,50225900,18681457,0,0,1040020400,0,127000,0,35080050,176500,0,55900,0,400000,35839450
11,2022-12-30,KIOS,EQUITY,1075859850.0,175,57195200,613542824,0,0,276735669,50225900,39181507,0,2356400,1039237500,0,4500,0,35964450,197500,0,55900,0,400000,36622350
12,2023-01-31,KIOS,EQUITY,1075859850.0,107,57195200,486714724,0,0,431811376,50225900,5000100,0,2037800,1032985100,0,37500,0,42139850,241500,0,55900,0,400000,42874750
13,2023-02-28,KIOS,EQUITY,1075859941.0,88,57195200,485805024,0,0,444964967,50225900,5000100,0,0,1043191191,0,37500,0,31282950,373500,0,574800,0,400000,32668750
14,2023-03-31,KIOS,EQUITY,1075860054.0,80,57195200,483648524,0,0,444724580,50225900,5000100,0,0,1040794304,0,917500,0,32849450,305000,0,593800,0,400000,35065750
15,2023-04-28,KIOS,EQUITY,1075860075.0,70,57195200,481538524,0,0,449216601,50225900,5000100,0,0,1043176325,0,287500,0,31094450,305000,0,596800,0,400000,32683750
16,2023-05-31,KIOS,EQUITY,1075860243.0,80,57195200,496138624,0,0,434673069,50225900,5000100,0,0,1043232893,0,37500,0,31130450,462600,0,596800,0,400000,32627350
17,2023-06-27,KIOS,EQUITY,1075860608.0,68,57195200,477450824,0,0,452760534,50225900,5000100,0,0,1042632558,0,437500,0,31076050,717700,0,596800,0,400000,33228050
18,2023-07-31,KIOS,EQUITY,1075862376.0,69,57195200,482450824,0,0,452123602,50225900,100,0,0,1041995626,0,837500,0,31063750,965700,0,599800,0,400000,33866750
19,2023-08-31,KIOS,EQUITY,1075862411.0,66,57195200,482450824,0,0,451994937,50225900,100,0,0,1041866961,0,837500,0,31063750,1085400,0,608800,0,400000,33995450
20,2023-09-29,KIOS,EQUITY,1075862510.0,65,57195200,482478724,0,0,451846486,50225900,150,0,0,1041746460,0,837500,0,31059350,1210400,0,608800,0,400000,34116050
21,2023-10-31,KIOS,EQUITY,1075862510.0,57,57195200,482450824,0,0,451830386,30225900,150,0,0,1021702460,0,837500,0,31059350,1254400,0,608800,0,20400000,54160050
22,2023-11-30,KIOS,EQUITY,1075862550.0,55,57195200,482450824,0,0,451691426,30225900,150,0,0,1021563500,0,837500,0,31198350,1254400,0,608800,0,20400000,54299050
23,2023-12-29,KIOS,EQUITY,1075862550.0,51,57195200,482450824,0,0,450547326,30225900,150,0,0,1020419400,0,1837500,0,31198350,1398500,0,608800,0,20400000,55443150
24,2024-01-31,KIOS,EQUITY,1075862550.0,50,57195200,482450824,0,0,450245026,30225900,150,0,0,1020117100,0,1837500,0,31455550,1443600,0,608800,0,20400000,55745450
25,2024-02-29,KIOS,EQUITY,1075862550.0,50,57195200,482450824,0,0,450245426,30225900,150,0,0,1020117500,0,1837500,0,31455150,1443600,0,608800,0,20400000,55745050
26,2024-03-28,KIOS,EQUITY,1075862550.0,50,57195200,482450824,0,0,450294226,30225900,150,0,0,1020166300,0,1837500,0,31455150,1394800,0,608800,0,20400000,55696250
27,2024-04-30,KIOS,EQUITY,1075862550.0,50,57195200,495926824,0,0,450294226,16749900,150,0,0,1020166300,0,1837500,0,31455150,1394800,0,608800,0,20400000,55696250
28,2024-05-31,KIOS,EQUITY,1075862550.0,50,38187900,464655424,0,0,450294226,67028600,150,0,0,1020166300,0,1837500,0,31455150,1394800,0,608800,0,20400000,55696250
29,2024-06-28,KIOS,EQUITY,1075862550.0,50,38187900,464655424,0,0,449494226,67028600,150,0,0,1019366300,0,2637500,0,31455150,1394800,0,608800,0,20400000,56496250
30,2024-07-31,KIOS,EQUITY,1075862960.0,50,38187900,464655424,0,0,449494636,67028600,150,0,0,1019366710,0,2637500,0,31455150,1394800,0,608800,0,20400000,56496250
31,2024-08-30,KIOS,EQUITY,1075862960.0,50,38187900,464655424,0,0,449494636,67028600,150,0,0,1019366710,0,2637500,0,31455150,1394800,0,608800,0,20400000,56496250
32,2024-09-30,KIOS,EQUITY,1075862960.0,64,38187900,459655424,0,0,455080536,67028600,150,0,0,1019952610,0,2637500,0,31270150,1511800,0,90900,0,20400000,55910350
33,2024-10-31,KIOS,EQUITY,1075862960.0,51,38187900,459655424,0,0,456034536,67028600,150,0,0,1020906610,0,2037500,0,31127050,1300900,0,90900,0,20400000,54956350
34,2024-11-29,KIOS,EQUITY,1075862960.0,50,38187900,459655424,0,0,456034536,67028600,150,0,0,1020906610,0,2037500,0,31127050,1300900,0,90900,0,20400000,54956350
35,2024-12-30,KIOS,EQUITY,1075862960.0,50,38187900,459655424,0,0,456029436,67028600,150,0,0,1020901510,0,2037500,0,31132150,1300900,0,90900,0,20400000,54961450
