,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-06-27,KLAS,EQUITY,2165000000.0,106,0,5600,0,0,538326100,0,0,0,0,538331700,0,0,0,29000,1639300,0,0,0,0,1668300
1,2023-07-31,KLAS,EQUITY,2165000000.0,125,0,4400,0,0,537825500,0,10000,0,0,537839900,0,0,0,1181600,978500,0,0,0,0,2160100
2,2023-08-31,KLAS,EQUITY,2165000000.0,79,0,534700,0,0,536596300,0,0,0,0,537131000,0,0,0,2099100,769900,0,0,0,0,2869000
3,2023-09-29,KLAS,EQUITY,2165000000.0,99,0,388600,0,0,536979500,0,0,0,0,537368100,0,100,0,1814000,817800,0,0,0,0,2631900
4,2023-10-31,KLAS,EQUITY,2165000000.0,74,0,454400,0,0,536161500,0,0,0,0,536615900,0,0,0,1501200,1882900,0,0,0,0,3384100
5,2023-11-30,KLAS,EQUITY,2165000000.0,94,0,293697200,0,0,244527100,0,0,0,0,538224300,0,0,0,1113800,661900,0,0,0,0,1775700
6,2023-12-29,KLAS,EQUITY,2165000000.0,84,0,293798000,0,0,243522700,0,0,0,0,537320700,0,0,0,2011500,667800,0,0,0,0,2679300
7,2024-01-31,KLAS,EQUITY,2165000000.0,82,0,296948500,0,0,240618300,0,0,0,0,537566800,0,0,0,1765300,667900,0,0,0,0,2433200
8,2024-02-29,KLAS,EQUITY,2165000000.0,71,0,304158800,0,0,233377900,0,0,0,0,537536700,0,0,0,1785400,677900,0,0,0,0,2463300
9,2024-03-28,KLAS,EQUITY,2165000000.0,80,0,309040100,0,0,229245700,0,0,0,0,538285800,0,0,0,1039600,674600,0,0,0,0,1714200
10,2024-04-30,KLAS,EQUITY,2165000000.0,77,0,316929200,0,0,221608300,0,0,0,0,538537500,0,0,0,787900,674600,0,0,0,0,1462500
11,2024-05-31,KLAS,EQUITY,2165000000.0,109,0,345694800,0,0,192241900,0,0,0,0,537936700,0,0,0,1388700,674600,0,0,0,0,2063300
12,2024-06-28,KLAS,EQUITY,2165000000.0,127,0,365067200,0,0,172878000,0,0,0,0,537945200,0,0,0,1542300,512500,0,0,0,0,2054800
13,2024-07-31,KLAS,EQUITY,2165000000.0,151,0,367571200,0,0,170406600,0,0,0,0,537977800,0,0,0,1515200,507000,0,0,0,0,2022200
14,2024-08-30,KLAS,EQUITY,2165000000.0,168,0,365098500,0,0,171635900,0,0,0,0,536734400,0,0,0,2761100,504500,0,0,0,0,3265600
15,2024-09-30,KLAS,EQUITY,2165000000.0,214,0,362222800,0,0,174279600,0,0,0,0,536502400,0,0,0,2892600,605000,0,0,0,0,3497600
16,2024-10-31,KLAS,EQUITY,2165000000.0,278,0,357354400,0,0,175628700,0,0,0,0,532983100,0,448400,0,4612400,504900,0,1451200,0,0,7016900
17,2024-11-29,KLAS,EQUITY,3644415975.0,117,0,598862257,0,0,296901918,0,0,0,39138,895803313,0,360075,0,10636854,909703,0,1289365,0,0,13195997
18,2024-12-30,KLAS,EQUITY,3644415975.0,105,0,610303657,0,0,295800669,0,324,0,0,906104650,0,0,0,1971874,922641,0,81,0,64,2894660
