,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-10-31,KOKA,EQUITY,2861333000.0,83,0,4700000,0,0,707431700,0,10000,0,0,712141700,0,0,0,2345000,846300,0,0,0,0,3191300
1,2023-11-30,KOKA,EQUITY,2861333000.0,51,0,8716400,0,0,704354600,0,10100,0,0,713081100,0,0,0,2000000,251900,0,0,0,0,2251900
2,2023-12-29,KOKA,EQUITY,2861333000.0,50,0,11390500,0,0,694870900,0,10000,0,0,706271400,0,0,0,8812400,249200,0,0,0,0,9061600
3,2024-01-31,KOKA,EQUITY,2861333000.0,86,0,10390500,0,0,671583000,0,10000,0,0,681983500,0,0,0,32790300,559200,0,0,0,0,33349500
4,2024-02-29,KOKA,EQUITY,2861333000.0,89,0,10990500,0,0,686725300,0,7000,0,0,697722800,0,0,0,16849500,760700,0,0,0,0,17610200
5,2024-03-28,KOKA,EQUITY,2861333000.0,77,0,11690500,0,0,696539400,0,7000,0,0,708236900,0,0,0,6328100,768000,0,0,0,0,7096100
6,2024-04-30,KOKA,EQUITY,2861333000.0,95,0,16786700,0,0,693724267,0,0,33,0,710511000,0,0,0,2000000,2822000,0,0,0,0,4822000
7,2024-05-31,KOKA,EQUITY,2861333000.0,70,0,14712300,0,0,696076867,0,0,33,0,710789200,0,0,0,4276100,267700,0,0,0,0,4543800
8,2024-06-28,KOKA,EQUITY,2861333000.0,70,0,7785700,0,0,704667967,0,0,33,0,712453700,0,0,0,2611600,267700,0,0,0,0,2879300
9,2024-07-31,KOKA,EQUITY,2861333000.0,70,0,7785700,0,0,700381167,0,0,33,0,708166900,0,0,0,6902900,263200,0,0,0,0,7166100
10,2024-08-30,KOKA,EQUITY,2861333000.0,66,0,1074100,0,0,708318567,0,0,33,0,709392700,0,0,0,5657100,283200,0,0,0,0,5940300
11,2024-09-30,KOKA,EQUITY,2861333000.0,62,0,274200,0,0,712387567,0,0,33,0,712661800,0,0,0,2388000,283200,0,0,0,0,2671200
12,2024-10-31,KOKA,EQUITY,2861333000.0,59,0,100,0,0,710474567,0,0,33,0,710474700,0,0,0,4575200,283100,0,0,0,0,4858300
13,2024-11-29,KOKA,EQUITY,2861333000.0,66,0,100,0,0,710341167,0,0,33,0,710341300,0,0,0,4708300,283400,0,0,0,0,4991700
14,2024-12-30,KOKA,EQUITY,2861333000.0,67,0,100,0,0,712852367,0,0,33,0,712852500,0,0,0,2197100,283400,0,0,0,0,2480500
