,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KPIG,EQUITY,80625726664.0,91,43413600,20438732620,1012737166,46000,8501689140,1128399700,4170524440,0,0,35295542666,0,20148767808,19126400,949133200,14203400,89183000,1125687540,0,22984082650,45330183998
1,2022-02-25,KPIG,EQUITY,80625726664.0,105,43413600,20473529720,619664222,46000,8758870840,1128399700,3931045140,3550000,0,34958519222,0,20709914052,19126400,1034738600,15456500,89183000,46620940,0,23752167950,45667207442
2,2022-03-31,KPIG,EQUITY,80625726664.0,102,43413600,20485899420,619664222,46000,9035856040,1132450500,4062153840,0,0,35379483622,0,20690020352,19126400,682712200,17498900,98339200,105899640,0,23632646350,45246243042
3,2022-04-28,KPIG,EQUITY,80625726664.0,88,43413600,20475897620,619664222,0,8888331040,865262300,4067238840,60000,46000,34959913622,0,22394746052,19126400,1031461800,18141600,107267100,105899640,0,21989170450,45665813042
4,2022-05-31,KPIG,EQUITY,80625726664.0,89,43413600,21499002620,619664222,0,8839018340,865262300,4067568640,50000,46000,35934025722,0,22394746052,19126400,1070279900,18366400,107267100,105899640,0,20976015450,44691700942
5,2022-06-30,KPIG,EQUITY,88688299330.0,86,43413600,21493872620,619664222,0,8324663040,998641500,4066551340,0,46000,35546852322,0,30352671718,19126400,1485145600,18101600,107267100,105899640,0,21053234950,53141447008
6,2022-07-29,KPIG,EQUITY,88688299330.0,93,43413600,21494762620,649664222,0,8104688040,890198100,4069265040,0,46000,35252037622,0,30400206718,19126400,1624964200,20653200,107267100,105899640,0,21158144450,53436261708
7,2022-08-31,KPIG,EQUITY,88688299330.0,89,43413600,21496108920,636064222,0,7405208840,903798100,4074155040,0,46000,34558794722,0,30784132518,19126400,1642799600,18927600,107267100,105899640,0,21451351750,54129504608
8,2022-09-30,KPIG,EQUITY,88688299330.0,83,43413600,20933854180,636064222,0,7207194940,915798100,4075170040,35000,46000,33811576082,0,30680163658,19126400,2179427800,15816600,107267100,105899640,0,21769022050,54876723248
9,2022-10-31,KPIG,EQUITY,88688299330.0,83,43413600,20939866380,636064222,0,7104651540,915798100,4074971340,0,0,33714765182,0,30773335058,19126400,2181445800,14929600,107267000,105899640,0,21771530650,54973534148
10,2022-11-30,KPIG,EQUITY,88688299330.0,79,43413600,20938849180,638364222,0,7063897240,913498100,4077091340,600,0,33675114282,0,30775635058,19126400,2217302500,15315600,107267000,105899640,0,21772638850,55013185048
11,2022-12-30,KPIG,EQUITY,88688299330.0,71,43413600,20912877880,638364222,0,7059949840,913308300,4477731340,700,0,34045645882,0,30492331158,19126400,2171360700,13603300,107267000,105899640,0,21733065250,54642653448
12,2023-01-31,KPIG,EQUITY,88688299330.0,76,43413600,20925391080,535586822,0,6998026040,913308300,4471091340,700,0,33886817882,0,32363550058,19126400,608356300,13603300,107267000,105899640,0,21583678750,54801481448
13,2023-02-28,KPIG,EQUITY,88688299330.0,69,43413600,20931335780,535586822,0,6709506240,913308300,4470291340,20700,0,33603462782,0,32798736058,14393500,607837800,11472800,107267000,105899640,0,21439229750,55084836548
14,2023-03-31,KPIG,EQUITY,88688299330.0,70,43413600,20994709480,535586822,0,6711722040,913308300,4468291340,1400,0,33667032982,0,32991841558,14393500,608878700,9926800,107267000,105899640,0,21183059150,55021266348
15,2023-04-28,KPIG,EQUITY,88688299330.0,70,43413600,20991519480,851909922,0,6718409940,961148500,4466636440,1400,0,34033039282,0,33204668258,14393500,608032500,9936800,107267000,105638040,0,20605323950,54655260048
16,2023-05-31,KPIG,EQUITY,88688299330.0,68,43413600,20179211780,851909922,0,6739227140,961148500,4466636440,1400,0,33241548782,0,34208426858,14393500,619563900,9846800,107267000,105638040,0,20381614450,55446750548
17,2023-06-27,KPIG,EQUITY,88688299330.0,67,43413600,20179212080,851909922,0,6769938840,961148500,4804636440,1400,0,33610260782,0,34379636258,14393500,629373500,10296900,107267000,105638040,0,19831433350,55078038548
18,2023-07-31,KPIG,EQUITY,88688299330.0,69,43413600,14873694180,851909922,0,6746138940,961148500,16545440340,1400,0,40021746882,0,28862261958,14393500,663148000,10446900,107267000,105638040,0,18903397050,48666552448
19,2023-08-31,KPIG,EQUITY,88688299330.0,70,43413600,14887698880,851909922,0,6756712740,936906300,16544802440,1400,0,40021445282,0,28769909258,14393500,667899000,10446800,107267000,105638040,0,18991300450,48666854048
20,2023-09-29,KPIG,EQUITY,88688299330.0,68,43413600,14890705880,851909922,0,6863606840,936906300,18057251540,1400,1100000,41644895482,0,27163445458,14393500,636445200,10451800,107267000,105638040,0,19005762850,47043403848
21,2023-10-31,KPIG,EQUITY,88688299330.0,67,43413600,13662127980,851909922,0,6817394040,936106300,18024824440,1400,1100000,40336877682,0,27734607858,10381300,611301500,11257600,93032000,105638040,0,19785203350,48351421648
22,2023-11-30,KPIG,EQUITY,97557129263.0,68,43413600,13785680380,834307622,0,6685271240,934706300,18930046240,1400,0,41213426782,0,36370935191,0,738365100,11257600,93032000,105638040,0,19024474550,56343702481
23,2023-12-29,KPIG,EQUITY,97557129263.0,62,43413600,13676630880,674307622,0,6704406340,932406300,19740733440,1400,0,41771899582,0,35637295391,0,672277000,11437600,93032000,105638040,0,19265549650,55785229681
24,2024-01-31,KPIG,EQUITY,97557129263.0,62,43413600,13669630880,674307622,0,6599087640,873954000,20134931140,1400,0,41995326282,0,35439245191,0,592490600,20035500,224756300,3000340,0,19282275050,55561802981
25,2024-02-29,KPIG,EQUITY,97557129263.0,61,43413600,13669630880,674307622,0,6533935340,873954000,20433365740,1400,0,42228608582,0,35335642591,0,582611500,19743900,224756300,3000340,0,19162766050,55328520681
26,2024-03-28,KPIG,EQUITY,97557129263.0,61,43413600,13669630880,674307622,0,6400485640,871754000,20433365740,1400,0,42092958882,0,35476543791,0,577360000,19743900,224756300,3000340,0,19162766050,55464170381
27,2024-04-30,KPIG,EQUITY,97557129263.0,62,43413600,13685706080,674307622,0,6236897540,851101700,20433365740,1400,0,41924793682,0,35661830491,0,579245400,19743900,224756300,3000340,0,19143759150,55632335581
28,2024-05-31,KPIG,EQUITY,97557129263.0,51,43413600,12591820480,683807622,0,6132132040,872360900,20433365740,1400,0,40756901782,0,36084846991,0,578425300,19704100,220491600,3000340,0,19893759150,56800227481
29,2024-06-28,KPIG,EQUITY,97557129263.0,50,6438000,15903286280,683807622,0,6116443340,843052900,16227175440,1400,0,39780204982,0,33922930491,0,574844600,20704100,216688000,3000340,0,23038756750,57776924281
30,2024-07-31,KPIG,EQUITY,97557129263.0,120,100000,16870245780,394310022,0,5904588440,836152900,14252020140,1400,0,38257418682,0,35474568891,0,573567400,20215800,187601400,5000340,0,23038756750,59299710581
31,2024-08-30,KPIG,EQUITY,97557129263.0,218,0,17920218480,350398422,0,5744704340,761720300,14281820140,1400,0,39058863082,0,34649731091,0,692252700,19247100,189876000,8060140,0,22939099150,58498266181
