,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,KRAS,EQUITY,19346396900.0,356,353931354,59622284,146632927,1423800,2386584485,61670084,54872998,10565859,286800,3075590591,0,137309108,25322242,74081111,28349979,52069095,316880452,0,44951654,678963641
1,2022-02-25,KRAS,EQUITY,19346396900.0,362,353931354,63186349,146632927,1423800,2377400220,55144284,54722998,10595859,286800,3063324591,0,137265608,25322242,85453111,28633279,52620295,316983452,0,44951654,691229641
2,2022-03-31,KRAS,EQUITY,19346396900.0,352,353686154,62564349,146622927,1423800,2399191920,41383684,53622998,7982459,286800,3066765091,0,137265608,25745742,80090611,28506479,52097195,319131852,0,44951654,687789141
3,2022-04-28,KRAS,EQUITY,19346396900.0,380,353686154,65237749,147122927,1413800,2433082120,6038884,54025598,8012459,296800,3068916491,0,138685308,25745742,73651061,28305579,52097195,322201152,0,44951704,685637741
4,2022-05-31,KRAS,EQUITY,19346396900.0,396,353686154,66135549,147122927,1413800,2419196320,6038884,54025598,7009859,296800,3054925891,0,137425808,25745742,82875861,29969779,52097195,326562352,0,44951604,699628341
5,2022-06-30,KRAS,EQUITY,19346396900.0,354,353686154,67053549,147125427,1413800,2420233920,7038884,53180398,7009859,296800,3057038791,0,137426008,25745742,75179261,30129779,52097195,331985852,0,44951604,697515441
6,2022-07-29,KRAS,EQUITY,19346396900.0,388,353686154,63168749,147017927,1413800,2424022620,7035184,52980398,7009859,296800,3056631491,0,137399108,25745742,74649761,30334779,52097195,332744552,0,44951604,697922741
7,2022-08-31,KRAS,EQUITY,19346396900.0,440,353686154,62266349,147047927,1413800,2401219120,8035184,55180398,6841659,296800,3035987391,0,138067908,25745742,85516761,30358079,60712395,333214352,0,44951604,718566841
8,2022-09-30,KRAS,EQUITY,19346396900.0,394,353686154,61706249,148517927,1413800,2364006420,31417584,60714998,6846859,1491600,3029801591,0,137364708,25841642,91856061,27940879,62604695,333288952,0,45855704,724752641
9,2022-10-31,KRAS,EQUITY,19346396900.0,376,353941854,61886249,146399927,1413800,2378617920,27417584,59502398,6846859,281600,3036308191,0,138555808,25841642,83946874,27868279,62771995,332670652,0,46590791,718246041
10,2022-11-30,KRAS,EQUITY,19346396900.0,350,353941854,61374649,146399927,1413800,2347127920,27417584,59702398,6846859,37401400,3041626391,0,139055308,25841642,78021274,27619479,62901395,332742509,0,46746234,712927841
11,2022-12-30,KRAS,EQUITY,19346396900.0,326,353941854,59794649,146002369,1413800,2352083020,27417584,58304298,6846859,37585858,3043390291,0,142510508,19651242,78638474,28129679,62927595,332560209,0,46746234,711163941
12,2023-01-31,KRAS,EQUITY,19346396900.0,316,353841854,61832449,145997369,1413800,2389505020,27417584,58674298,6846859,281658,3045810891,0,142543608,19651242,75444774,28417179,63038395,332841809,0,46806334,708743341
