,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-07-29,KRYA,EQUITY,1625000000.0,102,0,1593500,0,0,322682700,0,0,40000,0,324316200,0,0,0,0,683800,0,0,0,0,683800
1,2022-08-31,KRYA,EQUITY,1625000000.0,234,0,160400,0,0,322892000,0,0,0,0,323052400,0,500000,0,682700,764900,0,0,0,0,1947600
2,2022-09-30,KRYA,EQUITY,1625000000.0,270,0,981100,0,0,290521000,0,0,0,0,291502100,0,45400,0,32916200,536300,0,0,0,0,33497900
3,2022-10-31,KRYA,EQUITY,1625000000.0,338,0,447600,0,0,285885200,0,0,0,0,286332800,0,507600,0,37755000,404600,0,0,0,0,38667200
4,2022-11-30,KRYA,EQUITY,1625000000.0,520,0,22000,0,0,294837600,0,0,0,0,294859600,0,0,0,29598400,542000,0,0,0,0,30140400
5,2022-12-30,KRYA,EQUITY,1625000000.0,510,0,161600,0,0,282903700,0,0,0,0,283065300,0,1362800,0,40300500,271400,0,0,0,0,41934700
6,2023-01-31,KRYA,EQUITY,1662706417.0,262,0,20000,0,0,359662717,0,0,0,0,359682717,0,766300,0,1921100,336300,0,0,0,0,3023700
7,2023-02-28,KRYA,EQUITY,1663481610.0,138,0,91700,0,0,361605308,0,0,0,0,361697008,0,0,0,1306500,476300,0,0,0,0,1782800
8,2023-03-31,KRYA,EQUITY,1663571643.0,102,0,441700,0,0,362537343,0,0,0,0,362979043,0,0,0,111300,481300,0,0,0,0,592600
9,2023-04-28,KRYA,EQUITY,1663574019.0,85,0,541700,0,0,362160619,0,0,0,0,362702319,0,0,0,257900,613800,0,0,0,0,871700
10,2023-05-31,KRYA,EQUITY,1663576923.0,73,0,541700,0,0,362358523,0,0,0,0,362900223,0,0,0,62900,613800,0,0,0,0,676700
11,2023-06-27,KRYA,EQUITY,1663578192.0,84,0,9576100,0,0,353305242,0,50,0,0,362881392,0,0,0,62900,633900,0,0,0,0,696800
12,2023-07-31,KRYA,EQUITY,1663943474.0,79,0,12064800,0,0,351101724,0,50,0,0,363166574,0,0,0,62900,714000,0,0,0,0,776900
13,2023-08-31,KRYA,EQUITY,1663943474.0,70,0,12064800,0,0,350703824,0,50,0,0,362768674,0,0,0,62900,1111900,0,0,0,0,1174800
14,2023-09-29,KRYA,EQUITY,1663943474.0,70,0,12086700,0,0,350689274,0,100,0,0,362776074,0,0,0,61500,1105900,0,0,0,0,1167400
15,2023-10-31,KRYA,EQUITY,1663943474.0,64,0,12026000,0,0,350736969,0,5,0,0,362762974,0,0,0,61500,1119000,0,0,0,0,1180500
16,2023-11-30,KRYA,EQUITY,1663943474.0,68,0,11955000,0,0,350767969,0,5,0,0,362722974,0,0,0,61500,1159000,0,0,0,0,1220500
17,2023-12-29,KRYA,EQUITY,1663943474.0,57,0,11955000,0,0,351151569,0,5,0,0,363106574,0,0,0,61500,775400,0,0,0,0,836900
18,2024-01-31,KRYA,EQUITY,1663943474.0,54,0,12171000,0,0,350910069,0,5,0,0,363081074,0,0,0,87000,775400,0,0,0,0,862400
19,2024-02-29,KRYA,EQUITY,1663943474.0,51,0,11955000,0,0,351151569,0,5,0,0,363106574,0,0,0,61500,775400,0,0,0,0,836900
20,2024-03-28,KRYA,EQUITY,1663943474.0,50,0,11955000,0,0,351204469,0,5,0,0,363159474,0,0,0,10200,773800,0,0,0,0,784000
21,2024-04-30,KRYA,EQUITY,1663943474.0,50,0,11955000,0,0,351204469,0,5,0,0,363159474,0,0,0,10200,773800,0,0,0,0,784000
22,2024-05-31,KRYA,EQUITY,1663943474.0,50,0,11955000,0,0,351204469,0,5,0,0,363159474,0,0,0,10200,773800,0,0,0,0,784000
23,2024-06-28,KRYA,EQUITY,1663943474.0,50,0,11955000,0,0,351204469,0,5,0,0,363159474,0,0,0,10200,773800,0,0,0,0,784000
24,2024-07-31,KRYA,EQUITY,1663943474.0,57,0,11955000,0,0,349260669,0,5,0,0,361215674,0,0,0,20200,773800,0,1933800,0,0,2727800
25,2024-08-30,KRYA,EQUITY,1663943474.0,58,0,11955000,0,0,349103469,0,5,0,0,361058474,0,0,0,10100,773800,0,2101100,0,0,2885000
26,2024-09-30,KRYA,EQUITY,1663943474.0,56,0,11955000,0,0,349103469,0,5,0,0,361058474,0,0,0,10100,773800,0,2101100,0,0,2885000
27,2024-10-31,KRYA,EQUITY,1663943474.0,55,0,11955000,0,0,349103469,0,5,0,0,361058474,0,0,0,10100,773800,0,2101100,0,0,2885000
28,2024-11-29,KRYA,EQUITY,1663943474.0,54,0,11955000,0,0,349603469,0,5,0,0,361558474,0,0,0,10100,273800,0,2101100,0,0,2385000
29,2024-12-30,KRYA,EQUITY,1663943474.0,52,0,11955000,0,0,349303469,0,5,0,0,361258474,0,0,0,10100,573800,0,2101100,0,0,2685000
