,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106992971,0,278203901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
1,2022-02-25,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106992971,0,278203901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
2,2022-03-31,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106992971,0,278203901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
3,2022-04-28,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106992971,0,278203901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
4,2022-05-31,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106992971,0,278203901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
5,2022-06-30,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106987971,0,278208901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
6,2022-07-29,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106987971,0,278208901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
7,2022-08-31,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106987971,0,278208901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
8,2022-09-30,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106737971,0,278458901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
9,2022-10-31,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106737971,0,278458901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
10,2022-11-30,LAPD,EQUITY,3966350139.0,50,19233800,850890736,0,0,1106737971,0,278458901,0,900000,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
11,2022-12-30,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102162571,0,278458901,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
12,2023-01-31,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102162571,0,278458901,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
13,2023-02-28,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102162571,0,278458901,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
14,2023-03-31,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102162571,0,278458901,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
15,2023-04-28,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102160071,0,278461401,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
16,2023-05-31,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102160071,0,278461401,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
17,2023-06-27,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102160071,0,278461401,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
18,2023-07-31,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102160071,0,278461401,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
19,2023-08-31,LAPD,EQUITY,3966350139.0,50,19233800,848075736,0,0,1102160071,0,278461401,0,8290400,2256221408,0,1200000000,0,100,1822100,0,46300,0,508260231,1710128731
