,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580574014,0,775419085,2764336273,9210500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
1,2022-02-25,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580574014,0,791927963,2747827395,9210500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
2,2022-03-31,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580574014,0,792275182,2747480176,9210500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
3,2022-04-28,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580574014,0,792730244,2747025114,9210500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
4,2022-05-31,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580574014,0,793108344,2746642014,9215500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
5,2022-06-30,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580574014,0,793433361,2746316997,9215500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
6,2022-07-29,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580787281,0,793782329,2745754762,9215500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
7,2022-08-31,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580787281,0,794220219,2745316872,9215500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
8,2022-09-30,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580787281,0,794220219,2745316872,9215500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
9,2022-10-31,LCGP,EQUITY,5630000914.0,114,302115988,473161737,580787281,0,794220219,2745316872,9215500,398989110,0,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
10,2022-11-30,LCGP,EQUITY,5630000914.0,114,302115938,473564869,580787281,0,762410082,2714257940,9215700,398989110,62465787,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
11,2022-12-30,LCGP,EQUITY,5630000914.0,114,302115938,475424218,580787281,0,740095682,2711405780,9215700,398989110,85772998,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
12,2023-01-31,LCGP,EQUITY,5630000914.0,114,302115938,475424218,580787281,0,740095682,2711405780,9215700,398989110,85772998,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
13,2023-02-28,LCGP,EQUITY,5630000914.0,114,302115938,475424218,580574014,0,740308949,2711405780,9215700,398989110,85772998,5303806707,0,61800000,0,107,145700,1783700,197464700,0,65000000,326194207
