,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,LFLO,EQUITY,1301602145.0,118,0,220300000,0,0,81302145,0,0,0,0,301602145,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,LFLO,EQUITY,1303317302.0,105,0,219812300,0,0,83505002,0,0,0,0,303317302,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,LFLO,EQUITY,1303479813.0,106,0,219400000,0,0,84079813,0,0,0,0,303479813,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,LFLO,EQUITY,1307734937.0,87,0,218120800,0,0,89614137,0,0,0,0,307734937,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,LFLO,EQUITY,1307734937.0,86,0,217970800,0,0,89764137,0,0,0,0,307734937,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,LFLO,EQUITY,1307734937.0,75,0,217970800,0,0,89764137,0,0,0,0,307734937,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,LFLO,EQUITY,1307734937.0,73,0,158466000,0,0,89968937,0,59300000,0,0,307734937,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,LFLO,EQUITY,1307734937.0,69,0,158466000,0,0,89968937,0,59300000,0,0,307734937,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,LFLO,EQUITY,1307734937.0,68,0,158466000,0,0,89968937,0,59300000,0,0,307734937,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,LFLO,EQUITY,1307734937.0,58,0,158466000,0,0,89968937,0,59300000,0,0,307734937,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,LFLO,EQUITY,1307734937.0,61,0,158466000,0,0,89968937,0,59300000,0,0,307734937,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,LFLO,EQUITY,1307734937.0,57,0,158466000,0,0,89968937,0,59300000,0,0,307734937,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,LFLO,EQUITY,1307734937.0,55,0,158466000,0,0,89968937,0,59300000,0,0,307734937,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,LFLO,EQUITY,1307734937.0,60,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
14,2023-03-31,LFLO,EQUITY,1307734937.0,51,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
15,2023-04-28,LFLO,EQUITY,1307734937.0,51,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
16,2023-05-31,LFLO,EQUITY,1307734937.0,50,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
17,2023-06-27,LFLO,EQUITY,1307734937.0,50,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
18,2023-07-31,LFLO,EQUITY,1307734937.0,51,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
19,2023-08-31,LFLO,EQUITY,1307734937.0,54,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
20,2023-09-29,LFLO,EQUITY,1307734937.0,54,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
21,2023-10-31,LFLO,EQUITY,1307734937.0,47,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
22,2023-11-30,LFLO,EQUITY,1307734937.0,75,0,158466000,0,0,89968837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
23,2023-12-29,LFLO,EQUITY,1307734937.0,60,0,156288300,0,0,92146537,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
24,2024-01-31,LFLO,EQUITY,1307734937.0,53,0,153871500,0,0,94513337,0,59300000,0,0,307684837,0,0,0,100,50000,0,0,0,0,50100
25,2024-02-29,LFLO,EQUITY,1307734937.0,48,0,153888200,0,0,94496637,0,59300000,0,0,307684837,0,0,0,100,50000,0,0,0,0,50100
26,2024-03-28,LFLO,EQUITY,1307734937.0,51,0,153428000,0,0,95006837,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
27,2024-04-30,LFLO,EQUITY,1307734937.0,51,0,152761400,0,0,95673437,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
28,2024-05-31,LFLO,EQUITY,1307734937.0,54,0,151401400,0,0,97033437,0,59300000,0,0,307734837,0,0,0,100,0,0,0,0,0,100
29,2024-06-28,LFLO,EQUITY,1307734937.0,53,0,210701400,0,0,97033437,0,0,0,0,307734837,0,0,0,100,0,0,0,0,0,100
30,2024-07-31,LFLO,EQUITY,1307734937.0,75,0,209443400,0,0,98291437,0,0,0,0,307734837,0,0,0,100,0,0,0,0,0,100
31,2024-08-30,LFLO,EQUITY,1307734937.0,106,0,210787100,0,0,96947737,0,0,0,0,307734837,0,0,0,100,0,0,0,0,0,100
32,2024-09-30,LFLO,EQUITY,1307734937.0,93,0,210429900,0,0,97304937,0,0,0,0,307734837,0,0,0,100,0,0,0,0,0,100
33,2024-10-31,LFLO,EQUITY,1307734937.0,91,0,222222300,0,0,85512537,0,0,0,0,307734837,0,0,0,100,0,0,0,0,0,100
34,2024-11-29,LFLO,EQUITY,1307734937.0,83,0,222102300,0,0,85632537,0,0,0,0,307734837,0,0,0,100,0,0,0,0,0,100
35,2024-12-30,LFLO,EQUITY,1307734937.0,86,0,222162200,0,0,85572637,0,0,0,0,307734837,0,0,0,100,0,0,0,0,0,100
