,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,LMAS,EQUITY,787851525.0,80,0,11893600,0,0,733302326,0,10560899,0,0,755756825,0,1200,0,30127900,1150,0,1964100,0,0,32094350
1,2022-02-25,LMAS,EQUITY,787851525.0,57,0,12173100,0,0,753167026,0,11474599,0,0,776814725,0,1200,0,9070000,1150,0,1964100,0,0,11036450
2,2022-03-31,LMAS,EQUITY,787851525.0,53,0,13824500,0,0,759330626,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
3,2022-04-28,LMAS,EQUITY,787851525.0,50,0,14874200,0,0,758280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
4,2022-05-31,LMAS,EQUITY,787851525.0,50,0,14874200,0,0,758280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
5,2022-06-30,LMAS,EQUITY,787851525.0,50,0,14874200,0,0,758280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
6,2022-07-29,LMAS,EQUITY,787851525.0,50,0,14874200,0,0,758280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
7,2022-08-31,LMAS,EQUITY,787851525.0,50,0,14874200,0,0,758280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
8,2022-09-30,LMAS,EQUITY,787851525.0,50,0,14874200,0,0,758280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
9,2022-10-31,LMAS,EQUITY,787851525.0,50,0,14874200,0,0,758280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
10,2022-11-30,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
11,2022-12-30,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
12,2023-01-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
13,2023-02-28,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
14,2023-03-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
15,2023-04-28,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
16,2023-05-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
17,2023-06-27,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
18,2023-07-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
19,2023-08-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768280926,0,12474599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
20,2023-09-29,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768530926,0,12224599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
21,2023-10-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768530926,0,12224599,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
22,2023-11-30,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768530826,0,12224699,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
23,2023-12-29,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768530826,0,12224699,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
24,2024-01-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
25,2024-02-29,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
26,2024-03-28,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
27,2024-04-30,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
28,2024-05-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
29,2024-06-28,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
30,2024-07-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
31,2024-08-30,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
32,2024-09-30,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
33,2024-10-31,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
34,2024-11-29,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
35,2024-12-30,LMAS,EQUITY,787851525.0,50,0,4874200,0,0,768529026,0,12226499,0,0,785629725,0,1200,0,70000,186150,0,1964100,0,0,2221450
