,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,LPPS,EQUITY,2588250000.0,102,0,2051298532,0,25600,387399752,0,534910,250,0,2439259044,0,1015100,0,129343857,7234250,0,3424513,0,1293525,142311245
1,2022-02-25,LPPS,EQUITY,2588250000.0,100,0,2051293482,0,25600,387404802,0,534910,250,0,2439259044,0,1015100,0,129343857,7234250,0,3424513,0,1293525,142311245
2,2022-03-31,LPPS,EQUITY,2588250000.0,100,0,2051163482,0,25600,387559802,0,534910,250,0,2439284044,0,1015100,0,129318857,7234250,0,3424513,0,1293525,142286245
3,2022-04-28,LPPS,EQUITY,2588250000.0,99,0,2051163482,0,25600,387563402,0,534810,250,0,2439287544,0,1015100,0,129312357,7246750,0,3415013,0,1293525,142282745
4,2022-05-31,LPPS,EQUITY,2588250000.0,103,0,2050963482,0,25600,387763402,0,534810,250,0,2439287544,0,1015100,0,129312357,7246750,0,3415013,0,1293525,142282745
5,2022-06-30,LPPS,EQUITY,2588250000.0,90,0,2050963482,0,25600,387763402,0,534810,250,0,2439287544,0,1015100,0,129312357,7246750,0,3415013,0,1293525,142282745
6,2022-07-29,LPPS,EQUITY,2588250000.0,92,0,2050963482,0,25600,387794902,0,534810,250,0,2439319044,0,1015000,0,129312357,7246750,0,3383613,0,1293525,142251245
7,2022-08-31,LPPS,EQUITY,2588250000.0,93,0,2050963482,0,25600,388814902,0,534810,250,0,2440339044,0,1015000,0,129287357,6251750,0,3383613,0,1293525,141231245
8,2022-09-30,LPPS,EQUITY,2588250000.0,89,0,2050963482,0,25600,388814902,0,534810,250,0,2440339044,0,1015000,0,129287357,6251750,0,3383613,0,1293525,141231245
9,2022-10-31,LPPS,EQUITY,2588250000.0,83,0,2050963482,0,25600,388814902,0,534810,250,0,2440339044,0,1015000,0,129275457,6251750,0,3395513,0,1293525,141231245
10,2022-11-30,LPPS,EQUITY,2588250000.0,82,0,2048463482,0,25600,389419152,0,534860,250,0,2438443344,0,1015000,0,129275457,8147450,0,3395513,0,1293525,143126945
