,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,LSIP,EQUITY,6822863965.0,1260,650570000,36027100,81266350,4144810,910807576,256016574,48525920,28168600,945100,2016472030,6537000,60029540,110201322,62369763,6297400,229524102,76919776,17187200,176535777,745601880
1,2022-02-25,LSIP,EQUITY,6822863965.0,1420,654146700,39730800,78632750,4144810,798623876,280502660,35844873,28432300,945100,1921003869,7439000,91064640,124065256,55174120,6004500,233545014,78022664,17187200,228567647,841070041
2,2022-03-31,LSIP,EQUITY,6822863965.0,1415,666965600,33074100,75556650,4144810,715679676,212266711,38235010,28661400,945100,1775529057,7439000,133135240,162043317,65635699,5290800,265554686,95815276,22691900,228938935,986544853
3,2022-04-28,LSIP,EQUITY,6822863965.0,1380,681019900,31514900,76265250,4144810,702162476,183551385,37991907,27161400,375500,1744187528,7730900,134793340,155357676,54848149,5032400,262248091,106987025,22691900,268196901,1017886382
4,2022-05-31,LSIP,EQUITY,6822863965.0,1425,680686700,30516200,76265250,4144810,696268076,168303162,40619749,27161400,384000,1724349347,7730900,133778140,166199369,51306939,4135300,283368018,106710333,22691900,261803664,1037724563
5,2022-06-30,LSIP,EQUITY,6822863965.0,1160,664649700,33605500,74912050,4144810,760372776,95139951,41062266,27161400,783700,1701832153,9170200,132928240,179835222,51878133,5279900,283819006,122845724,24061727,250423605,1060241757
6,2022-07-29,LSIP,EQUITY,6822863965.0,1260,691120600,35191800,73477950,4144810,762559476,78594200,26169284,27161400,25100,1698444620,8703300,132654040,181411486,47770995,6542500,289385669,117084484,25244627,254832189,1063629290
7,2022-08-31,LSIP,EQUITY,6822863965.0,1180,749576800,44537300,73177950,4144810,772121676,46065963,24250931,26161400,25100,1740061930,12208000,110260140,174497089,48958395,6612200,281584549,113116644,25244627,249530336,1022011980
8,2022-09-30,LSIP,EQUITY,6822863965.0,1080,764934500,45655800,72908250,4144810,817341276,36062088,24869055,26056600,100,1791972479,10719300,101748940,159273039,46071996,7330000,273406010,105595753,24752027,241204366,970101431
9,2022-10-31,LSIP,EQUITY,6822863965.0,1130,769624800,48000500,68578250,4144810,856272276,34837523,25585401,25809100,100,1832852760,10719300,78736640,163539020,46562874,7329800,277943760,101859092,24752027,217778637,929221150
10,2022-11-30,LSIP,EQUITY,6822863965.0,1085,770733800,49399900,69247750,4144810,877932276,30124305,23063887,25718200,100,1850365028,11154600,60740440,165004721,44258000,7286400,278020040,101852262,24752027,218640392,911708882
11,2022-12-30,LSIP,EQUITY,6822863965.0,1015,767786000,50857500,68078350,3237510,907873849,26714705,24106970,25542100,100,1874197084,13729300,50846140,164379791,38849208,7850900,272875024,101115720,24053927,214176816,887876826
12,2023-01-31,LSIP,EQUITY,6822863965.0,1060,762564000,55859000,68273750,3243510,912952998,25707725,23486878,25542100,100,1877630061,13829400,50581740,164386227,34691141,7846300,273535222,100864768,24053927,214655124,884443849
13,2023-02-28,LSIP,EQUITY,6822863965.0,1065,760491300,49557800,68288750,3243510,904302598,22001011,20848297,25542100,100,1854275466,13939200,50631140,161643295,35323267,7706500,271343833,101340836,24053927,241816446,907798444
