,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,LUCY-W,WARRANT,236250000.0,20,0,76700000,0,0,159550000,0,0,0,0,236250000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,LUCY-W,WARRANT,236250000.0,21,0,69744900,0,0,166505100,0,0,0,0,236250000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,LUCY-W,WARRANT,236250000.0,39,0,97751300,0,0,138498350,0,0,0,350,236250000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,LUCY-W,WARRANT,236249800.0,56,0,100063800,0,0,136185650,0,0,0,350,236249800,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,LUCY-W,WARRANT,236249800.0,64,0,98984500,0,0,137264950,0,0,0,350,236249800,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,LUCY-W,WARRANT,236249800.0,61,0,106105400,0,0,130144050,0,0,0,350,236249800,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,LUCY-W,WARRANT,234630725.0,67,0,61407800,0,0,173222575,0,0,0,350,234630725,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,LUCY-W,WARRANT,229064097.0,72,0,38742400,0,0,189847347,0,0,0,474350,229064097,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,LUCY-W,WARRANT,226371397.0,63,0,37142200,0,0,189228847,0,0,0,350,226371397,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,LUCY-W,WARRANT,221371397.0,65,0,34524100,0,0,186846947,0,0,0,350,221371397,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,LUCY-W,WARRANT,217189979.0,72,0,7294100,0,0,209895519,0,10,0,350,217189979,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,LUCY-W,WARRANT,209697879.0,68,0,4621000,0,0,204276519,0,10,0,800350,209697879,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,LUCY-W,WARRANT,208261179.0,67,0,19939700,0,0,188321119,0,10,0,350,208261179,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,LUCY-W,WARRANT,208250079.0,63,0,21437900,0,0,186811809,0,20,0,350,208250079,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,LUCY-W,WARRANT,208141579.0,57,0,16598300,0,0,191535409,0,20,0,7850,208141579,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,LUCY-W,WARRANT,207602073.0,58,0,8654200,0,0,198947503,0,20,0,350,207602073,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,LUCY-W,WARRANT,205342563.0,54,0,6985700,0,0,198206443,0,70,0,150350,205342563,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,LUCY-W,WARRANT,203611963.0,46,0,1269200,0,0,202342343,0,70,0,350,203611963,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,LUCY-W,WARRANT,200261963.0,44,0,2665200,0,0,195796263,0,150,0,1800350,200261963,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,LUCY-W,WARRANT,196561962.0,44,0,1214200,0,0,195337362,0,50,0,350,196551962,0,0,0,0,10000,0,0,0,0,10000
20,2023-09-29,LUCY-W,WARRANT,196561754.0,99,0,1214200,0,0,195337154,0,50,0,350,196551754,0,0,0,0,10000,0,0,0,0,10000
21,2023-10-31,LUCY-W,WARRANT,196561748.0,63,0,1214200,0,0,195337143,0,50,0,355,196551748,0,0,0,0,10000,0,0,0,0,10000
22,2023-11-30,LUCY-W,WARRANT,196561702.0,56,0,1214200,0,0,195337100,0,50,0,352,196551702,0,0,0,0,10000,0,0,0,0,10000
23,2023-12-29,LUCY-W,WARRANT,196561603.0,78,0,1214200,0,0,195337001,0,50,0,352,196551603,0,0,0,0,10000,0,0,0,0,10000
24,2024-01-31,LUCY-W,WARRANT,196561478.0,57,0,1214200,0,0,195336878,0,50,0,350,196551478,0,0,0,0,10000,0,0,0,0,10000
25,2024-02-29,LUCY-W,WARRANT,196560978.0,48,0,1214200,0,0,195336378,0,50,0,350,196550978,0,0,0,0,10000,0,0,0,0,10000
26,2024-03-28,LUCY-W,WARRANT,196560977.0,50,0,1214200,0,0,195336377,0,50,0,350,196550977,0,0,0,0,10000,0,0,0,0,10000
27,2024-04-30,LUCY-W,WARRANT,115476437.0,1,0,1214200,0,0,114251837,0,50,0,350,115466437,0,0,0,0,10000,0,0,0,0,10000
