,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
1,2022-02-25,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
2,2022-03-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
3,2022-04-28,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
4,2022-05-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
5,2022-06-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
6,2022-07-29,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
7,2022-08-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
8,2022-09-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
9,2022-10-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
10,2022-11-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
11,2022-12-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
12,2023-01-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
13,2023-02-28,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
14,2023-03-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
15,2023-04-28,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
16,2023-05-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
17,2023-06-27,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
18,2023-07-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
19,2023-08-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
20,2023-09-29,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
21,2023-10-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
22,2023-11-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
23,2023-12-29,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
24,2024-01-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
25,2024-02-29,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
26,2024-03-28,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
27,2024-04-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
28,2024-05-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
29,2024-06-28,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
30,2024-07-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
31,2024-08-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
32,2024-09-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
33,2024-10-31,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
34,2024-11-29,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
35,2024-12-30,MAMIP,EQUITY,6000000.0,600,0,147500,0,0,5392000,0,52000,0,0,5591500,0,0,0,0,1000,0,0,0,0,1000
