,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-01-31,MANG-W,WARRANT,228750000.0,19,0,0,0,0,226253570,0,2800,580,0,226256950,0,0,0,0,2493050,0,0,0,0,2493050
1,2024-02-29,MANG-W,WARRANT,228750000.0,26,0,0,0,0,226697240,0,530,580,0,226698350,0,0,0,0,2051650,0,0,0,0,2051650
2,2024-03-28,MANG-W,WARRANT,228750000.0,32,0,0,0,0,227103690,0,290,670,0,227104650,0,0,0,0,1645350,0,0,0,0,1645350
3,2024-04-30,MANG-W,WARRANT,228750000.0,68,0,0,0,0,227103669,0,310,671,0,227104650,0,0,0,0,1645350,0,0,0,0,1645350
4,2024-05-31,MANG-W,WARRANT,228750000.0,66,0,0,0,0,227163309,0,170,671,0,227164150,0,0,0,0,1585850,0,0,0,0,1585850
5,2024-06-28,MANG-W,WARRANT,228750000.0,65,0,60,0,0,227183139,0,280,671,0,227184150,0,0,0,0,1565850,0,0,0,0,1565850
6,2024-07-31,MANG-W,WARRANT,228750000.0,61,0,60,0,0,227184569,0,320,701,0,227185650,0,0,0,0,1564350,0,0,0,0,1564350
7,2024-08-30,MANG-W,WARRANT,228750000.0,57,0,60,0,0,227184549,0,340,701,0,227185650,0,0,0,0,1564350,0,0,0,0,1564350
8,2024-09-30,MANG-W,WARRANT,228750000.0,58,0,60,0,0,227184459,0,430,701,0,227185650,0,0,0,0,1564350,0,0,0,0,1564350
9,2024-10-31,MANG-W,WARRANT,228750000.0,57,0,60,0,0,227184598,0,200,792,0,227185650,0,0,0,0,1564350,0,0,0,0,1564350
10,2024-11-29,MANG-W,WARRANT,228750000.0,49,0,60,0,0,227184598,0,200,792,0,227185650,0,0,0,0,1564350,0,0,0,0,1564350
11,2024-12-30,MANG-W,WARRANT,228750000.0,37,0,60,0,0,227182848,0,200,2542,0,227185650,0,0,0,0,1564350,0,0,0,0,1564350
