,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-01-31,MANG,EQUITY,3812500000.0,94,0,1643500,0,0,3544398800,0,0,1000,0,3546043300,0,0,0,0,6456700,0,0,0,0,6456700
1,2024-02-29,MANG,EQUITY,3812500000.0,127,0,1963900,0,0,3545221200,0,0,1000,0,3547186100,0,0,0,0,5313900,0,0,0,0,5313900
2,2024-03-28,MANG,EQUITY,3812500000.0,166,0,642400,0,0,3515981400,0,0,0,0,3516623800,0,1133700,0,31679200,2019200,0,1044100,0,0,35876200
3,2024-04-30,MANG,EQUITY,3812500000.0,206,0,0,0,0,3460834300,0,0,0,0,3460834300,0,4645400,0,76237900,1917200,0,8865200,0,0,91665700
4,2024-05-31,MANG,EQUITY,3812500000.0,157,0,0,0,0,3427161600,0,0,0,0,3427161600,0,2532100,0,112204000,1685500,0,8916800,0,0,125338400
5,2024-06-28,MANG,EQUITY,3812500000.0,162,0,0,0,0,3433745900,0,0,0,0,3433745900,0,2346900,0,104834600,1646100,0,9926500,0,0,118754100
6,2024-07-31,MANG,EQUITY,3812500000.0,109,0,0,0,0,3462638200,0,0,0,0,3462638200,0,1127500,0,78308000,1598000,0,8828300,0,0,89861800
7,2024-08-30,MANG,EQUITY,3812500000.0,67,0,0,0,0,3485780300,0,0,0,0,3485780300,0,1127500,0,55151100,1612800,0,8828300,0,0,66719700
8,2024-09-30,MANG,EQUITY,3812500000.0,77,0,1725000,0,0,3531007300,0,0,0,0,3532732300,0,1226200,0,16928600,1612900,0,0,0,0,19767700
9,2024-10-31,MANG,EQUITY,3812500000.0,114,0,1532700,0,0,3534358000,0,0,0,0,3535890700,0,0,0,14768700,1650500,0,190100,0,0,16609300
10,2024-11-29,MANG,EQUITY,3812500000.0,149,0,0,0,0,3525036000,0,0,0,0,3525036000,0,0,0,24538900,1584400,0,1340700,0,0,27464000
11,2024-12-30,MANG,EQUITY,3812500000.0,97,0,0,0,0,3505933200,0,0,0,0,3505933200,0,0,0,44049400,1562900,0,954500,0,0,46566800
