,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MARK,EQUITY,3800000310.0,1350,475000,1850600,0,0,303330600,3357100,1018300,0,0,310031600,0,0,0,185563800,275433500,10304900,16170700,0,2495500,489968400
1,2022-02-25,MARK,EQUITY,3800000310.0,1095,0,207600,0,0,316817300,2124600,2041200,100000,0,321290700,0,0,0,175544500,275968500,8530100,16170700,0,2495500,478709300
2,2022-03-31,MARK,EQUITY,3800000310.0,1250,821500,4362500,0,0,335720600,5134500,1132300,3400000,0,350571400,0,18000,0,186224100,235889000,8531300,16270700,0,2495500,449428600
3,2022-04-28,MARK,EQUITY,3800000310.0,1100,821500,3821500,0,0,338148600,4854000,2241400,2365100,0,352252100,0,505600,0,185467800,235879400,4299900,19099700,0,2495500,447747900
4,2022-05-31,MARK,EQUITY,3800000310.0,1210,821500,1373000,0,0,326693600,5665900,4406700,2365100,0,341325800,0,0,0,193026800,239533600,4301600,19099700,0,762712562,1218674262
5,2022-06-30,MARK,EQUITY,3800000310.0,995,821500,1331275609,0,0,348256600,6055600,3414200,1642600,0,1691466109,0,50600,0,191491100,205013600,4303100,32237700,0,226597918,659694018
6,2022-07-29,MARK,EQUITY,3800000310.0,940,821500,1338275609,0,0,353493300,4786500,4148800,942600,0,1702468309,0,119900,0,194861600,202233600,4303100,21629800,0,225543818,648691818
7,2022-08-31,MARK,EQUITY,3800000310.0,915,821500,1344083309,0,0,355574200,4824500,4828600,0,0,1710132109,0,161300,0,195574500,202353600,4400,19061700,0,223872518,641028018
8,2022-09-30,MARK,EQUITY,3800000310.0,655,821500,1369086809,0,0,306394100,4760500,5547100,0,0,1686610009,0,28784700,0,190325800,202484600,5800,19076700,0,223872518,664550118
9,2022-10-31,MARK,EQUITY,3800000310.0,660,821500,1369121809,0,0,329471500,7463900,5471900,0,0,1712350609,0,100,1574058,189903900,202608400,7200,19176700,0,225539160,638809518
10,2022-11-30,MARK,EQUITY,3800000310.0,650,821500,1379120209,0,0,304388100,9847800,5048370,0,0,1699225979,0,16100,0,199894400,208791000,7800,19352288,0,223872560,651934148
11,2022-12-30,MARK,EQUITY,3800000310.0,665,821500,1379166509,0,0,313238500,9708400,1092370,0,0,1704027279,0,10100,0,192197700,211692000,8200,19352288,0,223872560,647132848
12,2023-01-31,MARK,EQUITY,3800000310.0,590,821500,1371391709,0,0,319476500,9013400,1136070,0,0,1701839179,0,7500,0,194386400,211694000,8200,19352288,0,223872560,649320948
13,2023-02-28,MARK,EQUITY,3800000310.0,610,821500,1376822609,0,0,313691000,8108400,1176070,0,0,1700619579,0,0,0,195280500,212027000,8200,19352288,0,223872560,650540548
14,2023-03-31,MARK,EQUITY,3800000310.0,630,821500,1393210709,0,0,307303700,8393100,2036870,0,0,1711765879,0,38200,0,197794300,197897500,9400,19782288,0,223872560,639394248
15,2023-04-28,MARK,EQUITY,3800000310.0,700,821500,1393142709,0,0,303067600,7684000,1354370,0,0,1706070179,0,0,0,206432600,194993100,9400,19782288,0,223872560,645089948
16,2023-05-31,MARK,EQUITY,3800000310.0,605,821500,1393301909,0,0,304475400,6540600,1039370,0,0,1706178779,0,5300,0,209256500,192055300,9400,19782288,0,223872560,644981348
17,2023-06-27,MARK,EQUITY,3800000310.0,610,821500,1392895009,0,0,306213100,5900100,1227370,0,0,1707057079,0,0,0,207576600,192862200,9400,19782288,0,223872560,644103048
18,2023-07-31,MARK,EQUITY,3800000310.0,635,821500,1391951409,0,0,302717200,5620100,1009370,0,0,1702119579,0,0,0,217124600,188171700,9400,19862288,0,223872560,649040548
19,2023-08-31,MARK,EQUITY,3800000310.0,625,821500,1392001409,7000,0,309247600,5442800,1017870,0,0,1708538179,0,0,0,207905800,190971900,9400,19862288,0,223872560,642621948
20,2023-09-29,MARK,EQUITY,3800000310.0,625,821500,1392465409,0,0,298114700,5382800,1011370,0,0,1697795779,0,25000,0,226303900,183291200,9400,19862288,0,223872560,653364348
21,2023-10-31,MARK,EQUITY,3800000310.0,470,821500,1391956409,0,0,307641700,5232800,1011370,0,0,1706663779,0,0,0,214000900,186751200,9400,19862288,0,223872560,644496348
22,2023-11-30,MARK,EQUITY,3800000310.0,515,821500,1411103509,0,0,307108600,7673800,1021370,0,0,1727728779,0,0,613400,211170700,167790200,22200,19962288,0,223872560,623431348
23,2023-12-29,MARK,EQUITY,3800000310.0,610,821500,1391999709,0,0,299373400,7586800,1004370,0,0,1700785779,0,0,613400,220791300,185106200,28600,19962288,0,223872560,650374348
24,2024-01-31,MARK,EQUITY,3800000310.0,805,821500,1391939709,0,0,289279400,10206700,994370,500000,0,1693741679,0,0,0,236086400,177468600,28600,19962288,0,223872560,657418448
25,2024-02-29,MARK,EQUITY,3800000310.0,800,821500,1391934209,0,0,279618800,8301700,1020370,475000,0,1682171579,0,0,0,237412300,177790900,28600,29684188,0,224072560,668988548
26,2024-03-28,MARK,EQUITY,3800000310.0,795,821500,1392274209,0,0,271653300,7540300,994370,95000,0,1673378679,0,169000,2268500,245459800,169530600,30700,26725188,0,233597660,677781448
27,2024-04-30,MARK,EQUITY,3800000310.0,830,821500,1392331209,0,0,277688800,7170300,994370,100000,0,1679106179,0,77900,2268500,239399700,175117600,35500,20146788,0,235007960,672053948
28,2024-05-31,MARK,EQUITY,3800000310.0,885,821500,1393557209,0,0,261861700,3363600,994370,95000,0,1660693379,0,632900,10742400,248337400,167414500,1757400,17879888,0,243702260,690466748
29,2024-06-28,MARK,EQUITY,3800000310.0,865,821500,1393393109,0,0,267774100,1969500,1145470,0,0,1665103679,0,632900,23242100,247273400,147351100,1757400,17141588,0,248657960,686056448
30,2024-07-31,MARK,EQUITY,3800000310.0,935,821500,1394189309,0,0,286107100,1870500,1286470,0,0,1684274879,0,633000,24231900,239153200,134115300,2606900,16273288,0,249871660,666885248
31,2024-08-30,MARK,EQUITY,3800000310.0,910,821500,1393002109,0,0,281110800,1522800,1044370,0,0,1677501579,0,632900,32215500,236046900,117913400,5005200,15865388,0,265979260,673658548
32,2024-09-30,MARK,EQUITY,3800000310.0,975,821500,1393065209,0,0,270152600,1522800,1056370,0,0,1666618479,0,682400,33035100,237916900,173671057,7344200,16637588,0,215254403,684541648
33,2024-10-31,MARK,EQUITY,3800000310.0,1165,821500,1372582709,0,0,278271500,3242900,994370,0,0,1655912979,0,633400,39116600,248554900,148001757,8762719,16800688,0,233377084,695247148
34,2024-11-29,MARK,EQUITY,3800000310.0,1015,821500,1372453009,0,0,281163400,2523000,1024370,0,0,1657985279,0,632900,43859300,238375100,151147857,9932719,15849888,0,233377084,693174848
35,2024-12-30,MARK,EQUITY,3800000310.0,1055,821500,1372400609,0,0,293317600,2481200,1036170,0,0,1670057079,0,5663400,41558600,235177700,139109257,9933019,16283988,0,233377084,681103048
