,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-06-27,MAXI-W,WARRANT,1000000000.0,2,0,21553500,0,0,972768600,0,0,1000,0,994323100,0,0,0,0,5676900,0,0,0,0,5676900
1,2023-07-31,MAXI-W,WARRANT,1000000000.0,2,0,1346900,0,0,996254700,0,0,1000,0,997602600,0,0,0,0,2397400,0,0,0,0,2397400
2,2023-08-31,MAXI-W,WARRANT,1000000000.0,5,0,139300,0,0,997513300,0,600,1000,0,997654200,0,0,0,0,2345800,0,0,0,0,2345800
3,2023-09-29,MAXI-W,WARRANT,1000000000.0,5,0,189300,0,0,997208500,0,600,1000,0,997399400,0,0,0,0,2600600,0,0,0,0,2600600
4,2023-10-31,MAXI-W,WARRANT,1000000000.0,4,0,139300,0,0,997580200,0,600,1000,0,997721100,0,0,0,0,2278900,0,0,0,0,2278900
5,2023-11-30,MAXI-W,WARRANT,1000000000.0,3,0,160200,0,0,997559300,0,600,1000,0,997721100,0,0,0,0,2278900,0,0,0,0,2278900
6,2023-12-29,MAXI-W,WARRANT,999987280.0,3,0,160200,0,0,997601080,0,600,1000,0,997762880,0,0,0,0,2224400,0,0,0,0,2224400
7,2024-01-31,MAXI-W,WARRANT,999984580.0,3,0,160200,0,0,997598380,0,600,1000,0,997760180,0,0,0,0,2224400,0,0,0,0,2224400
8,2024-02-29,MAXI-W,WARRANT,999983580.0,3,0,139300,0,0,997618880,0,0,1000,0,997759180,0,0,0,0,2224400,0,0,0,0,2224400
9,2024-03-28,MAXI-W,WARRANT,999955867.0,2,0,139300,0,0,997591167,0,0,1000,0,997731467,0,0,0,0,2224400,0,0,0,0,2224400
10,2024-04-30,MAXI-W,WARRANT,999950967.0,2,0,139300,0,0,997586267,0,0,1000,0,997726567,0,0,0,0,2224400,0,0,0,0,2224400
11,2024-05-31,MAXI-W,WARRANT,999941667.0,1,0,139300,0,0,997576967,0,0,1000,0,997717267,0,0,0,0,2224400,0,0,0,0,2224400
12,2024-06-28,MAXI-W,WARRANT,999941169.0,2,0,139300,0,0,997576469,0,0,1000,0,997716769,0,0,0,0,2224400,0,0,0,0,2224400
13,2024-07-31,MAXI-W,WARRANT,999941019.0,2,0,139300,0,0,997576244,0,0,1000,75,997716619,0,0,0,0,2224400,0,0,0,0,2224400
14,2024-08-30,MAXI-W,WARRANT,999940910.0,3,0,139300,0,0,997176210,0,0,1000,0,997316510,0,0,0,0,2624400,0,0,0,0,2624400
15,2024-09-30,MAXI-W,WARRANT,999938410.0,4,0,139300,0,0,997981998,0,0,1000,12,998122310,0,0,0,0,1816100,0,0,0,0,1816100
16,2024-10-31,MAXI-W,WARRANT,999936998.0,3,0,1610000,0,0,996509898,0,0,1000,0,998120898,0,0,0,0,1816100,0,0,0,0,1816100
17,2024-11-29,MAXI-W,WARRANT,999936898.0,3,0,1610000,0,0,996509798,0,0,1000,0,998120798,0,0,0,0,1816100,0,0,0,0,1816100
18,2024-12-30,MAXI-W,WARRANT,999919498.0,3,0,7873400,0,0,990388398,0,0,1000,0,998262798,0,0,0,0,1656700,0,0,0,0,1656700
