,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MCAS,EQUITY,867933300.0,11100,37531000,451165900,858900,0,142569877,42871800,88137223,120000,0,763254700,414100,796300,1050700,69964900,41900,6791516,516100,0,25103084,104678600
1,2022-02-25,MCAS,EQUITY,867933300.0,11825,42639500,447241700,1059000,0,139902977,42933800,87926023,120000,0,761823000,414100,1972900,1123400,70079900,45000,6855816,516100,0,25103084,106110300
2,2022-03-31,MCAS,EQUITY,867933300.0,12325,41493300,446574500,1420900,0,140693677,43431200,87838523,120000,0,761572100,414100,2092000,1123400,69584600,42000,7174016,365000,0,25566084,106361200
3,2022-04-28,MCAS,EQUITY,867933300.0,13150,40979900,372760800,1676600,0,124939077,43764600,86844723,120000,0,671085700,486200,98882300,1123400,63271900,29500,7158316,315000,0,25580984,196847600
4,2022-05-31,MCAS,EQUITY,867933300.0,14300,39864100,371654200,1644900,0,121338377,43639200,86842723,120000,0,665103500,486200,100962600,1279400,67043300,28500,7183816,265000,0,25580984,202829800
5,2022-06-30,MCAS,EQUITY,867933300.0,12900,39107300,372340000,1716000,0,118648277,43523100,86842723,120000,0,662297400,534400,101264100,1502400,68647200,39300,7762816,114700,0,25770984,205635900
6,2022-07-29,MCAS,EQUITY,867933300.0,11525,38945500,373377200,1716000,0,118195377,43525700,86727723,120000,0,662607500,534400,101289200,1502400,68518300,23200,7457716,114700,0,25885884,205325800
7,2022-08-31,MCAS,EQUITY,867933300.0,11450,38459200,374798400,1716000,0,118091577,43520200,86757723,120000,0,663463100,534400,101315800,1502400,68050600,22200,7073816,121200,0,25849784,204470200
8,2022-09-30,MCAS,EQUITY,867933300.0,11400,37623100,376112400,1716000,0,119035777,43645600,86747723,120000,0,665000600,534400,101300800,1502400,67577300,22200,6026916,118900,0,25849784,202932700
9,2022-10-31,MCAS,EQUITY,867933300.0,10900,36973900,376391500,1716000,0,120224777,43669900,85639223,120000,0,664735300,534400,101235300,1504300,67569500,22200,6349316,118900,0,25864084,203198000
10,2022-11-30,MCAS,EQUITY,867933300.0,8250,35024400,375662000,1716000,0,124926477,44141200,85113223,120000,0,666703300,534400,100802200,203900,67530300,22200,6054216,119700,0,25963084,201230000
11,2022-12-30,MCAS,EQUITY,867933300.0,8025,36288600,377404000,2174800,0,119937677,44534800,85123223,120000,3250000,668833100,0,100445500,262000,69773100,27400,3902016,856700,0,23833484,199100200
12,2023-01-31,MCAS,EQUITY,867933300.0,7300,33128300,370873600,2173000,0,131194477,44482100,85041923,120000,3096600,670110000,0,100237000,262000,69376700,37900,3303116,773100,0,23833484,197823300
13,2023-02-28,MCAS,EQUITY,867933300.0,7500,33018100,371044800,2162500,0,70208877,43979700,87538923,120000,2204600,610277500,0,100204100,262000,69266100,61279600,2130316,680200,0,23833484,257655800
14,2023-03-31,MCAS,EQUITY,867933300.0,7875,30236100,368371300,2127600,0,79534977,43236500,88014123,120000,0,611640600,0,100171200,262000,69785200,61295800,598016,347000,0,23833484,256292700
15,2023-04-28,MCAS,EQUITY,867933300.0,9100,29363600,366013600,1917000,0,83869077,43108700,87901023,120000,0,612293000,0,100171200,262000,69448500,61293100,512316,119700,0,23833484,255640300
16,2023-05-31,MCAS,EQUITY,867933300.0,9050,28919000,366603100,1880100,0,83875177,43108700,87771723,120000,0,612277800,0,100168500,262000,69470800,61291800,512316,116600,0,23833484,255655500
17,2023-06-27,MCAS,EQUITY,867933300.0,8100,28508700,367153800,1880100,0,83670877,43108700,87739623,120000,0,612181800,0,100168500,262000,69543700,61278900,546516,118400,0,23833484,255751500
18,2023-07-31,MCAS,EQUITY,867933300.0,8150,27287600,368961000,1923800,0,91231177,43108700,87556623,34000,0,620102900,0,100168500,57400,61824300,61281800,546516,118400,0,23833484,247830400
19,2023-08-31,MCAS,EQUITY,867933300.0,7000,27030300,354331300,1923800,0,106689477,42949600,87522823,0,0,620447300,0,100167900,57400,61473600,61288700,546516,118400,0,23833484,247486000
20,2023-09-29,MCAS,EQUITY,867933300.0,7000,26636300,353918200,1923800,0,107888777,42764500,87443723,0,0,620575300,0,100164300,0,61456000,61286500,544316,117600,0,23789284,247358000
21,2023-10-31,MCAS,EQUITY,867933300.0,6650,26590400,354208600,1923800,0,107835677,42656700,87432223,0,0,620647400,0,100164300,0,61387400,61286500,544316,114100,0,23789284,247285900
22,2023-11-30,MCAS,EQUITY,867933300.0,5950,26549950,355526300,1923800,0,107736077,42551700,86397873,0,0,620685700,0,100164300,0,59368300,63268300,544316,113100,0,23789284,247247600
23,2023-12-29,MCAS,EQUITY,867933300.0,4350,26549950,365871800,1923800,0,99137477,40834700,86397873,0,0,620715600,0,100159300,0,58720300,63273700,548516,113100,0,24402784,247217700
24,2024-01-31,MCAS,EQUITY,867933300.0,3850,24775350,365925000,1923800,0,99021377,40708600,86397873,0,0,618752000,0,100159300,0,58323100,63273800,1003116,22700,0,26399284,249181300
25,2024-02-29,MCAS,EQUITY,867933300.0,2710,24541750,366030300,1923800,0,99368177,40512800,86397873,0,0,618774700,0,100159300,0,58299500,63274700,1003116,22700,0,26399284,249158600
26,2024-03-28,MCAS,EQUITY,867933300.0,1560,22676600,366936400,1875700,0,101131877,39720600,86398523,0,0,618739700,0,100154800,0,58336200,63280000,1001116,22200,0,26399284,249193600
27,2024-04-30,MCAS,EQUITY,867933300.0,1150,21887700,367709900,1875700,0,101419177,39513100,86398523,0,0,618804100,0,100154800,0,58309700,63282100,961116,22200,0,26399284,249129200
28,2024-05-31,MCAS,EQUITY,867933300.0,905,21580000,368422000,1809700,0,101231377,39506200,86397923,0,0,618947200,0,100154800,0,58323600,63288200,798016,22200,0,26399284,248986100
29,2024-06-28,MCAS,EQUITY,867933300.0,840,21492400,368633900,1809700,0,101202577,39506200,86397923,0,0,619042700,0,100154800,0,58339000,63279200,696116,22200,0,26399284,248890600
30,2024-07-31,MCAS,EQUITY,867933300.0,955,11458200,368796100,691200,0,112612177,37422800,86397923,0,0,617378400,0,100118700,0,58423300,63279700,311700,22216,0,28399284,250554900
31,2024-08-30,MCAS,EQUITY,867933300.0,1010,8531700,368948200,562900,0,118003077,35017000,86397923,0,0,617460800,0,100113900,0,58345700,63279700,311700,22216,0,28399284,250472500
32,2024-09-30,MCAS,EQUITY,867933300.0,1345,2915600,385508100,100600,0,123800177,17344600,86397923,0,0,616067000,0,100100300,0,58390300,63279900,174000,22516,0,29899284,251866300
33,2024-10-31,MCAS,EQUITY,867933300.0,1190,2775400,388892900,43800,0,124500977,13673500,86372223,0,0,616258800,0,100100300,0,58311800,63279900,61000,22216,0,29899284,251674500
34,2024-11-29,MCAS,EQUITY,867933300.0,1025,2718000,389080200,43800,0,125057277,13061400,86372223,0,0,616332900,0,100100300,0,58291100,63280100,61000,22216,0,29845684,251600400
35,2024-12-30,MCAS,EQUITY,867933300.0,1130,2599000,390704400,43800,0,124893077,11780700,86372223,0,0,616393200,0,100075800,0,58267900,63280100,61000,22216,0,29833084,251540100
