,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-08-31,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,67000000000,8000000000,752830000000,144995000000,231675000000,80000000000,0,0,1435500000000,0,0,0,38000000000,1500000000,0,0,0,0,39500000000
1,2023-09-29,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,67000000000,8000000000,727850000000,144975000000,336675000000,0,0,0,1435500000000,0,0,0,38000000000,1500000000,0,0,0,0,39500000000
2,2023-10-31,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,67000000000,8000000000,727800000000,145025000000,336675000000,0,0,0,1435500000000,0,0,0,38000000000,1500000000,0,0,0,0,39500000000
3,2023-11-30,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,67000000000,8000000000,727800000000,145025000000,336675000000,0,0,0,1435500000000,0,0,0,38000000000,1500000000,0,0,0,0,39500000000
4,2023-12-29,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,68000000000,8000000000,727800000000,144025000000,336675000000,0,0,0,1435500000000,0,0,0,38000000000,1500000000,0,0,0,0,39500000000
5,2024-01-31,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,78800000000,8000000000,724820000000,183205000000,327675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
6,2024-02-29,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,79700000000,8000000000,707800000000,199325000000,317675000000,10000000000,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
7,2024-03-28,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,79700000000,8000000000,707800000000,199325000000,327675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
8,2024-04-30,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,79700000000,8000000000,707920000000,199205000000,327675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
9,2024-05-31,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,151000000000,79700000000,8000000000,707800000000,199325000000,327675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
10,2024-06-28,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,156000000000,82700000000,8000000000,707800000000,208325000000,310675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
11,2024-07-31,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,155000000000,84700000000,8000000000,707800000000,207325000000,310675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
12,2024-08-30,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,155000000000,84700000000,8000000000,707800000000,207325000000,310675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
13,2024-09-30,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,155000000000,84700000000,8000000000,707800000000,207325000000,310675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
14,2024-10-31,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,155000000000,84700000000,8000000000,707800000000,207325000000,310675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
15,2024-11-29,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,155000000000,84700000000,8000000000,707800000000,207325000000,310675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
16,2024-12-30,MDKA04BCN3,CORPORATE BOND,1475000000000.0,1,155000000000,84700000000,8000000000,707800000000,207325000000,310675000000,0,0,0,1473500000000,0,0,0,0,1500000000,0,0,0,0,1500000000
