,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MDLN,EQUITY,12533067322.0,85,267910900,3745918985,41123800,200,3819561610,251279274,1252328515,244200,10496,9378377980,39,1026443749,0,925151150,6011100,165455300,1089552,0,1026949150,3151100040
1,2022-02-25,MDLN,EQUITY,12533067322.0,84,255408000,3808211285,42720500,200,3816873510,227229574,1252328770,244200,10496,9403026535,39,1026443749,0,900602595,5911100,165455300,1089552,0,1026949150,3126451485
2,2022-03-31,MDLN,EQUITY,12533067322.0,90,231608700,3919065685,42796400,200,3749879510,224709574,1252328770,244200,10496,9420643535,39,1026443749,0,905995595,5901100,142455300,1089552,0,1026949150,3108834485
3,2022-04-28,MDLN,EQUITY,12533067322.0,81,231608700,3969335885,42796400,200,3720265410,214173774,1252328770,244200,10496,9430763835,39,1026443749,0,900305295,5971100,137955300,1089552,0,1026949150,3098714185
4,2022-05-31,MDLN,EQUITY,12533067322.0,91,205813500,3974057385,42796400,200,3752972310,214173774,1252328770,244200,10496,9442397035,39,1026443749,0,903672095,5971100,122955300,1089552,0,1026949150,3087080985
5,2022-06-30,MDLN,EQUITY,12533067322.0,102,219571000,3736762285,37704000,200,3820739010,147272074,1382327270,244900,80010496,9424631235,39,1026443749,0,920500395,6908600,122955300,1089552,0,1026949150,3104846785
6,2022-07-29,MDLN,EQUITY,12533067322.0,113,232723400,3730595085,37704000,200,3816140110,139291374,1330249270,244900,144588496,9431536835,39,1026443749,0,913063595,7140800,122955300,1388552,0,1026949150,3097941185
7,2022-08-31,MDLN,EQUITY,12533067322.0,118,180590400,3709701785,35448100,200,3890988810,121483274,1330249270,244900,144588496,9413295235,39,1026591449,0,929962095,6636200,122955300,3088552,0,1026949150,3116182785
8,2022-09-30,MDLN,EQUITY,12533067322.0,107,126764300,3832585185,35418100,200,3894081310,119704174,1251911970,254800,145478596,9406198635,39,1026567849,5249600,928943095,6291200,112955300,6338552,5283100,1031650650,3123279385
9,2022-10-31,MDLN,EQUITY,12533067322.0,100,143353400,3822385485,35418100,200,3898623010,119454174,1264336870,254800,145628596,9429454635,39,1026443749,5249600,912636295,6651200,113053300,4338552,0,1031650650,3100023385
10,2022-11-30,MDLN,EQUITY,12533067322.0,98,88698900,3813051685,35418100,200,3942341610,118254174,1276896870,254800,145928596,9420844935,39,1026493949,0,925694895,6794100,113660900,4338552,0,1031650650,3108633085
11,2022-12-30,MDLN,EQUITY,12533067322.0,82,57429000,3710472685,35318100,200,3915244710,118254174,1303556870,254800,308287596,9448818135,39,1026443749,0,903095695,5941500,113891200,4338552,0,1026949150,3080659885
12,2023-01-31,MDLN,EQUITY,12533067322.0,81,57429000,3690627285,35218100,200,4028870110,118254174,1351655070,254800,171078596,9453387335,39,1026443749,0,898067795,5896200,114395200,4338552,0,1026949150,3076090685
13,2023-02-28,MDLN,EQUITY,12533067322.0,78,57429000,3696705285,35218100,200,4053562710,118254174,1346105070,254800,151956196,9459485535,39,1026443749,0,892685395,5896200,114679400,3338552,0,1026949150,3069992485
14,2023-03-31,MDLN,EQUITY,12533067322.0,68,57429000,3665955885,35118100,200,4072235610,118254174,1382089170,254800,150599496,9481936435,39,1026443749,0,890216495,5816200,94777400,3338552,0,1026949150,3047541585
15,2023-04-28,MDLN,EQUITY,12533067322.0,80,57429000,3669848385,35118100,200,4082512310,111473574,1381139170,254800,144578596,9482354135,39,1026443749,0,890687695,4883200,94821500,3338552,0,1026949150,3047123885
16,2023-05-31,MDLN,EQUITY,12533067322.0,76,57429000,3361103185,35118100,200,4104156210,102473574,1700739170,254800,144578596,9505852835,39,1026443749,0,888025895,4883200,64914600,3338552,0,1036019150,3023625185
17,2023-06-27,MDLN,EQUITY,12533067322.0,80,57429000,3365596285,35118100,200,4094198510,102473574,1708616070,254800,144578596,9508265135,39,1026443749,0,890303895,4933200,60174300,3338552,0,1036019150,3021212885
18,2023-07-31,MDLN,EQUITY,12533067322.0,80,63861900,3351137985,35118100,200,4152402410,98078374,1700156070,254800,144578596,9545588435,39,1026443749,0,894472395,4933200,21682500,3338552,0,1033019150,2983889585
19,2023-08-31,MDLN,EQUITY,12533067322.0,85,63605200,3361014085,35157700,200,4126598010,105177974,1700156070,254800,144578596,9536542635,39,1026443749,0,910934695,4933200,20336000,3338552,0,1026949150,2992935385
20,2023-09-29,MDLN,EQUITY,12533067322.0,81,63605200,3361886085,35157700,200,4141412910,105177974,1702161870,254800,144578596,9554235335,39,1026443749,0,903165695,4933200,10181300,3269552,0,1027249150,2975242685
21,2023-10-31,MDLN,EQUITY,12533067322.0,67,63266400,3323853285,35157700,200,4160308510,104583574,1739356070,254800,144578596,9571359135,39,1026443749,0,896041895,4933200,181300,3269552,0,1027249150,2958118885
22,2023-11-30,MDLN,EQUITY,12533067322.0,69,63266400,3072862285,35157700,200,4161693610,104583574,1990667070,254800,144578596,9573064235,39,1026443749,0,894407595,5158200,185500,3269552,0,1026949150,2956413785
23,2023-12-29,MDLN,EQUITY,12533067322.0,62,63266400,3030573485,35157700,200,4215979210,104583574,1978250170,254800,144578596,9572644135,39,1026443749,0,893465495,5168200,198500,3269552,0,1028288350,2956833885
24,2024-01-31,MDLN,EQUITY,12533067322.0,55,63266400,3039830085,35157700,200,4257374210,104583574,1978250170,254800,144578596,9623295735,39,1026443749,0,840841395,5468200,201000,3269552,0,1029988350,2906212285
25,2024-02-29,MDLN,EQUITY,12533067322.0,54,57429000,2428843985,35157700,200,4268693210,95783574,2590676170,254800,144578596,9621417235,39,1026443749,0,841174595,5468200,201000,3269552,0,1031533650,2908090785
26,2024-03-28,MDLN,EQUITY,12533067322.0,50,29388700,2428872285,17852400,200,4225506810,86202974,2590676209,254800,144578596,9523332974,0,1026443749,0,836737395,5468200,201000,3269552,0,1032008650,2904128546
27,2024-04-30,MDLN,EQUITY,12533067322.0,50,27590200,2257968285,16742400,200,4224333710,86202974,2762476209,254800,144578596,9520147374,0,1128490249,0,836742995,5468200,201000,3269552,0,1035188650,3009360646
28,2024-05-31,MDLN,EQUITY,12533067322.0,50,27590200,2255608285,16742400,200,4226693310,86202974,2762476209,254800,144578596,9520146974,0,1128490249,0,836742995,5468200,201400,3269552,0,1035188650,3009361046
29,2024-06-28,MDLN,EQUITY,12533067322.0,50,27590200,2275777085,16742400,200,4226574510,86202974,2742426209,254800,144578596,9520146974,0,1128490249,0,836742995,5468200,201400,3269552,0,1035188650,3009361046
30,2024-07-31,MDLN,EQUITY,12533067322.0,50,27590200,2276685985,16742400,200,4225662610,86202974,2742426209,254800,144578596,9520143974,0,1128490249,0,836742995,5468200,204400,3269552,0,1035188650,3009364046
31,2024-08-30,MDLN,EQUITY,12533067322.0,50,27590200,2277482485,16742400,200,4225065110,86202974,2742426209,254800,144578596,9520342974,0,1128490249,0,836742995,5468200,5400,3269552,0,1035188650,3009165046
32,2024-09-30,MDLN,EQUITY,12533067322.0,51,525800,2254971085,39600,200,4313186710,69202974,2742426209,254800,144578596,9525185974,0,1128490249,0,840139495,5468200,5400,3269552,0,1026949150,3004322046
33,2024-10-31,MDLN,EQUITY,12533067322.0,56,525800,2671723085,39600,200,4265174410,69202974,2385902709,254800,144578596,9537402174,0,1128490249,0,828798495,4593000,5400,3269552,0,1026949150,2992105846
34,2024-11-29,MDLN,EQUITY,12533067322.0,52,525800,3126885485,39600,200,4235830910,69202974,1955035309,254800,144578596,9532353674,0,1128490249,0,835546995,4593000,5400,1569552,0,1026949150,2997154346
35,2024-12-30,MDLN,EQUITY,12533067322.0,52,525800,3127385485,39600,200,4232813710,69202974,1955035309,254800,144578596,9529836474,0,1128490249,0,838099195,4558000,5400,1569552,0,1026949150,2999671546
