,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-07-29,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,714000000000,0,93500000000,566000000000,5815000000,320000000000,185000000000,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
1,2022-08-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,6815000000,505000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
2,2022-09-30,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,6815000000,505000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
3,2022-10-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,6815000000,505000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
4,2022-11-30,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,6815000000,505000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
5,2022-12-30,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,9815000000,502000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
6,2023-01-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,9815000000,502000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
7,2023-02-28,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,9815000000,502000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
8,2023-03-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,9815000000,502000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
9,2023-04-28,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,713000000000,0,93500000000,566000000000,9815000000,502000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
10,2023-05-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,723000000000,0,93500000000,556000000000,9815000000,502000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
11,2023-06-27,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,724000000000,0,93500000000,556000000000,9815000000,501000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
12,2023-07-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,724000000000,0,93500000000,556000000000,9815000000,501000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
13,2023-08-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,724000000000,0,93500000000,556000000000,9815000000,501000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
14,2023-09-29,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,732000000000,0,93500000000,556000000000,9815000000,493000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
15,2023-10-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,732000000000,0,93500000000,556000000000,8815000000,493000000000,0,8000000000,1000000000,1892315000000,0,0,0,0,0,0,0,0,0,0
16,2023-11-30,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,732000000000,0,93500000000,556000000000,8815000000,493000000000,0,8000000000,1000000000,1892315000000,0,0,0,0,0,0,0,0,0,0
17,2023-12-29,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,732000000000,0,93500000000,556000000000,8815000000,493000000000,0,8000000000,1000000000,1892315000000,0,0,0,0,0,0,0,0,0,0
18,2024-01-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,734000000000,0,93500000000,556000000000,9815000000,491000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
19,2024-02-29,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,734000000000,0,93500000000,556000000000,19815000000,481000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
20,2024-03-28,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,734000000000,0,93500000000,556000000000,19815000000,481000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
21,2024-04-30,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,736000000000,0,93500000000,563000000000,19815000000,472000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
22,2024-05-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,736000000000,0,93500000000,563000000000,19815000000,472000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
23,2024-06-28,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,736000000000,0,93500000000,563000000000,19815000000,472000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
24,2024-07-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,736000000000,0,93500000000,563000000000,19815000000,472000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
25,2024-08-30,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,741000000000,0,88500000000,563000000000,19815000000,472000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
26,2024-09-30,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,741000000000,0,88500000000,563000000000,19815000000,472000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
27,2024-10-31,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,733000000000,0,88500000000,553000000000,19815000000,490000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
28,2024-11-29,MEDC04ACN3,CORPORATE BOND,1892315000000.0,1,730000000000,0,88500000000,553000000000,19815000000,493000000000,0,8000000000,0,1892315000000,0,0,0,0,0,0,0,0,0,0
