,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-08-31,MGNA-W,WARRANT,343913477.0,1,0,342040499,0,0,1872978,0,0,0,0,343913477,0,0,0,0,0,0,0,0,0,0
1,2022-09-30,MGNA-W,WARRANT,343913477.0,1,0,342040499,0,0,1872978,0,0,0,0,343913477,0,0,0,0,0,0,0,0,0,0
2,2022-10-31,MGNA-W,WARRANT,343913477.0,1,0,342040499,0,0,1872978,0,0,0,0,343913477,0,0,0,0,0,0,0,0,0,0
3,2022-11-30,MGNA-W,WARRANT,343913477.0,1,0,342040499,0,0,1872978,0,0,0,0,343913477,0,0,0,0,0,0,0,0,0,0
4,2022-12-30,MGNA-W,WARRANT,343913477.0,1,0,342040499,0,0,1872978,0,0,0,0,343913477,0,0,0,0,0,0,0,0,0,0
5,2023-01-31,MGNA-W,WARRANT,343913477.0,36,0,342040499,0,0,1872978,0,0,0,0,343913477,0,0,0,0,0,0,0,0,0,0
6,2023-02-28,MGNA-W,WARRANT,343913447.0,34,0,342040499,0,0,1872948,0,0,0,20,343913467,0,0,0,0,0,0,0,0,0,0
7,2023-03-31,MGNA-W,WARRANT,343913445.0,27,0,342040499,0,0,1872946,0,0,0,0,343913445,0,0,0,0,0,0,0,0,0,0
8,2023-04-28,MGNA-W,WARRANT,343913440.0,26,0,342040499,0,0,1872941,0,0,0,0,343913440,0,0,0,0,0,0,0,0,0,0
9,2023-05-31,MGNA-W,WARRANT,343913440.0,29,0,342040499,0,0,1872941,0,0,0,0,343913440,0,0,0,0,0,0,0,0,0,0
10,2023-06-27,MGNA-W,WARRANT,343913439.0,26,0,342040499,0,0,1872940,0,0,0,0,343913439,0,0,0,0,0,0,0,0,0,0
11,2023-07-31,MGNA-W,WARRANT,343913409.0,30,0,342040499,0,0,1872910,0,0,0,0,343913409,0,0,0,0,0,0,0,0,0,0
12,2023-08-31,MGNA-W,WARRANT,343913409.0,29,0,342040499,0,0,1872910,0,0,0,0,343913409,0,0,0,0,0,0,0,0,0,0
13,2023-09-29,MGNA-W,WARRANT,343913387.0,45,0,342040499,0,0,1872888,0,0,0,0,343913387,0,0,0,0,0,0,0,0,0,0
14,2023-10-31,MGNA-W,WARRANT,343913387.0,27,0,342040499,0,0,1872888,0,0,0,0,343913387,0,0,0,0,0,0,0,0,0,0
15,2023-11-30,MGNA-W,WARRANT,343913387.0,23,0,342040499,0,0,1872888,0,0,0,0,343913387,0,0,0,0,0,0,0,0,0,0
16,2023-12-29,MGNA-W,WARRANT,343913387.0,10,0,342040499,0,0,1872888,0,0,0,0,343913387,0,0,0,0,0,0,0,0,0,0
17,2024-01-31,MGNA-W,WARRANT,343913387.0,3,0,342040499,0,0,1872888,0,0,0,0,343913387,0,0,0,0,0,0,0,0,0,0
18,2024-02-29,MGNA-W,WARRANT,343913387.0,3,0,342040499,0,0,1872888,0,0,0,0,343913387,0,0,0,0,0,0,0,0,0,0
19,2024-03-28,MGNA-W,WARRANT,343913387.0,2,0,342040499,0,0,1872888,0,0,0,0,343913387,0,0,0,0,0,0,0,0,0,0
20,2024-04-30,MGNA-W,WARRANT,343913337.0,5,0,342040499,0,0,1872838,0,0,0,0,343913337,0,0,0,0,0,0,0,0,0,0
21,2024-05-31,MGNA-W,WARRANT,343913337.0,4,0,342040499,0,0,1872838,0,0,0,0,343913337,0,0,0,0,0,0,0,0,0,0
22,2024-06-28,MGNA-W,WARRANT,343913337.0,4,0,342040499,0,0,1872838,0,0,0,0,343913337,0,0,0,0,0,0,0,0,0,0
23,2024-07-31,MGNA-W,WARRANT,343913337.0,4,0,342040499,0,0,1872838,0,0,0,0,343913337,0,0,0,0,0,0,0,0,0,0
24,2024-08-30,MGNA-W,WARRANT,343913335.0,6,0,342040499,0,0,1872836,0,0,0,0,343913335,0,0,0,0,0,0,0,0,0,0
25,2024-09-30,MGNA-W,WARRANT,343913335.0,11,0,342040499,0,0,1872836,0,0,0,0,343913335,0,0,0,0,0,0,0,0,0,0
26,2024-10-31,MGNA-W,WARRANT,343913335.0,12,0,342040499,0,0,1872836,0,0,0,0,343913335,0,0,0,0,0,0,0,0,0,0
27,2024-11-29,MGNA-W,WARRANT,343911635.0,11,0,342040499,0,0,1871136,0,0,0,0,343911635,0,0,0,0,0,0,0,0,0,0
28,2024-12-30,MGNA-W,WARRANT,343911635.0,6,0,342040499,0,0,1871136,0,0,0,0,343911635,0,0,0,0,0,0,0,0,0,0
