,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MIKA,EQUITY,14246349500.0,2520,313134400,11995308200,99712400,0,108522340,445991323,2017299,26480100,580000,12991746062,234800,204169680,357733686,48567220,278200,170408711,106397905,154800,366658436,1254603438
1,2022-02-25,MIKA,EQUITY,14246349500.0,2220,298626700,12039965700,97658700,0,117123440,360118988,2889434,25149800,557800,12942090562,234800,207070280,348759286,60052420,277200,209890011,110881605,154800,366938536,1304258938
2,2022-03-31,MIKA,EQUITY,14246349500.0,2170,254868600,12117039500,95475300,0,114998540,287413492,2896530,27342800,557800,12900592562,234800,210021580,349142486,60171220,285500,243362011,109935005,154800,372449536,1345756938
3,2022-04-28,MIKA,EQUITY,14246349500.0,2530,237158200,12006512300,93123700,0,77990840,262892865,2157,27342800,557800,12705580662,234800,239083280,329232386,62969520,352600,324421111,111513805,154800,472806536,1540768838
4,2022-05-31,MIKA,EQUITY,14246349500.0,2610,261087800,12115123300,89619200,0,60737540,295712410,1812,27041400,507800,12849831262,234800,235365980,320828486,58802620,126200,328048511,109986805,154800,342970036,1396518238
5,2022-06-30,MIKA,EQUITY,14246349500.0,2750,259206200,12115231800,93488800,0,60313040,303274126,7196,27126400,495800,12859143362,234800,238446180,296899786,61422220,82900,337665811,110676605,154800,341623036,1387206138
6,2022-07-29,MIKA,EQUITY,14246349500.0,2490,296715500,12004360900,98003100,0,57544140,316065050,20203,26726400,268100,12799703393,234800,238972780,241942081,66440120,108800,340100316,110611874,154800,448080536,1446646107
7,2022-08-31,MIKA,EQUITY,14246349500.0,2660,279946100,12027329600,99956800,0,63804540,317962829,33216,26739400,268100,12816040585,234800,243269280,234165439,68639420,147000,345922858,111039582,154800,426735736,1430308915
8,2022-09-30,MIKA,EQUITY,14246349500.0,2900,287402000,11986718600,107922500,0,61927740,323776194,3851,25276400,223100,12793250385,234800,252062180,252982826,52985220,179800,354863871,111272682,154800,428362936,1453099115
9,2022-10-31,MIKA,EQUITY,14246349500.0,2760,331761500,11926107400,119515100,0,59071940,315512223,9192,25609300,223100,12777809755,175800,247773880,202566208,67392320,189800,341281689,112949212,672500,495538336,1468539745
