,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MKNT,EQUITY,5500000000.0,50,275587200,3426308600,0,0,804223300,989538200,374400,0,380000,5496411700,0,0,0,0,3583300,0,0,0,0,3583300
1,2022-02-25,MKNT,EQUITY,5500000000.0,50,275587200,3425830800,0,0,804701100,989538200,374400,0,380000,5496411700,0,0,0,0,3583300,0,0,0,0,3583300
2,2022-03-31,MKNT,EQUITY,5500000000.0,50,275587200,3425810400,0,0,803521500,989538200,374400,0,380000,5495211700,0,0,0,0,4783300,0,0,0,0,4783300
3,2022-04-28,MKNT,EQUITY,5500000000.0,50,275587200,3375805200,0,0,855328300,989538200,374400,0,380000,5497013300,0,0,0,0,2981700,0,0,0,0,2981700
4,2022-05-31,MKNT,EQUITY,5500000000.0,50,275587200,3375805200,0,0,855443300,989538200,374400,0,380000,5497128300,0,0,0,0,2866700,0,0,0,0,2866700
5,2022-06-30,MKNT,EQUITY,5500000000.0,50,275587200,3375805200,0,0,855443300,989538200,374400,0,380000,5497128300,0,0,0,0,2866700,0,0,0,0,2866700
6,2022-07-29,MKNT,EQUITY,5500000000.0,50,275587200,3377005200,0,0,855443300,989538200,374400,0,380000,5498328300,0,0,0,0,1666700,0,0,0,0,1666700
7,2022-08-31,MKNT,EQUITY,5500000000.0,50,275587200,3377005200,0,0,855443300,989538200,374400,0,380000,5498328300,0,0,0,0,1666700,0,0,0,0,1666700
8,2022-09-30,MKNT,EQUITY,5500000000.0,50,275587200,3377005200,0,0,855443300,989538200,374400,0,380000,5498328300,0,0,0,0,1666700,0,0,0,0,1666700
9,2022-10-31,MKNT,EQUITY,5500000000.0,50,275587200,3377005200,0,0,855443300,989538200,374400,0,380000,5498328300,0,0,0,0,1666700,0,0,0,0,1666700
10,2022-11-30,MKNT,EQUITY,5500000000.0,50,275587200,3377015200,0,0,855433300,989538200,374400,0,380000,5498328300,0,0,0,0,1666700,0,0,0,0,1666700
11,2022-12-30,MKNT,EQUITY,5500000000.0,50,275587200,3377015200,0,0,844301200,989538200,374400,0,11512100,5498328300,0,0,0,0,1666700,0,0,0,0,1666700
12,2023-01-31,MKNT,EQUITY,5500000000.0,50,275587200,3377015200,0,0,844301200,989538200,374400,0,11512100,5498328300,0,0,0,0,1666700,0,0,0,0,1666700
13,2023-02-28,MKNT,EQUITY,5500000000.0,50,275587200,3377674000,0,0,843642300,989538200,374400,0,11512100,5498328200,0,0,0,100,1666700,0,0,0,0,1666800
14,2023-03-31,MKNT,EQUITY,5500000000.0,50,275587200,3377674000,0,0,843642300,989538200,374400,0,11512100,5498328200,0,0,0,100,1666700,0,0,0,0,1666800
15,2023-04-28,MKNT,EQUITY,5500000000.0,50,275587200,3377674000,0,0,843637900,989538200,374400,4400,11512100,5498328200,0,0,0,100,1666700,0,0,0,0,1666800
16,2023-05-31,MKNT,EQUITY,5500000000.0,50,275587200,3377674000,0,0,843637900,989538200,374400,4400,11512100,5498328200,0,0,0,100,1666700,0,0,0,0,1666800
17,2023-06-27,MKNT,EQUITY,5500000000.0,17,275587200,3378419000,0,0,843607900,988823200,374400,4400,11512100,5498328200,0,0,0,100,1666700,0,0,0,0,1666800
18,2023-07-31,MKNT,EQUITY,5500000000.0,7,275587200,3307789500,0,0,914182200,988823200,374600,4400,11512100,5498273200,0,0,0,100,1721700,0,0,0,0,1721800
19,2023-08-31,MKNT,EQUITY,5500000000.0,6,275587200,3311377100,0,0,910594600,988823200,374600,4400,11512100,5498273200,0,0,0,100,1721700,0,0,0,0,1721800
20,2023-09-29,MKNT,EQUITY,5500000000.0,2,275587200,2936417800,0,0,1395686000,889823200,374600,4400,380000,5498273200,0,0,0,100,1721700,0,0,0,0,1721800
21,2023-10-31,MKNT,EQUITY,5500000000.0,2,275587200,2180728600,0,0,2151374600,715285000,375200,4400,380000,5323735000,0,0,0,100,1721700,0,0,0,174538200,176260000
22,2023-11-30,MKNT,EQUITY,5500000000.0,2,275587200,1872178200,0,0,2459925000,715285000,375200,4400,380000,5323735000,0,0,0,100,1721700,0,0,0,174538200,176260000
23,2023-12-29,MKNT,EQUITY,5500000000.0,2,275587200,1692131367,0,0,2639971800,715285000,375233,4400,380000,5323735000,0,0,0,100,1721700,0,0,0,174538200,176260000
24,2024-01-31,MKNT,EQUITY,5500000000.0,2,275587200,1692131367,0,0,2614457200,715285000,375233,4600,380000,5298220600,0,25514400,0,100,1721700,0,0,0,174538200,201774400
25,2024-02-29,MKNT,EQUITY,5500000000.0,2,275587200,1692121367,0,0,2614467200,715285000,375233,4600,380000,5298220600,0,25514400,0,100,1721700,0,0,0,174538200,201774400
26,2024-03-28,MKNT,EQUITY,5500000000.0,2,275587200,1692121367,0,0,2614467200,715285000,375233,4600,380000,5298220600,0,25514400,0,100,1721700,0,0,0,174538200,201774400
27,2024-04-30,MKNT,EQUITY,5500000000.0,2,275587200,1692121367,0,0,2609224500,715285000,375233,4600,380000,5292977900,0,30757100,0,100,1721700,0,0,0,174538200,207017100
28,2024-05-31,MKNT,EQUITY,5500000000.0,2,275587200,1592396367,0,0,2608224700,815010000,375033,4600,380000,5291977900,0,31757100,0,100,1721700,0,0,0,174538200,208017100
29,2024-06-28,MKNT,EQUITY,5500000000.0,1,275587200,1992396367,0,0,2608224700,415010000,375033,4600,380000,5291977900,0,31757100,0,100,1721700,0,0,0,174538200,208017100
30,2024-07-31,MKNT,EQUITY,5500000000.0,1,275587200,1992396367,0,0,2608224700,415010000,375033,4600,380000,5291977900,0,31757100,0,100,1721700,0,0,0,174538200,208017100
31,2024-08-30,MKNT,EQUITY,5500000000.0,1,275587200,1992396367,0,0,2608224700,415010000,375033,4600,380000,5291977900,0,31757100,0,100,1721700,0,0,0,174538200,208017100
32,2024-09-30,MKNT,EQUITY,5500000000.0,1,275587200,1992396367,0,0,2608224700,415010000,375033,4600,380000,5291977900,0,31757100,0,100,1721700,0,0,0,174538200,208017100
