,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MOLI,EQUITY,2724036581.0,380,2917,1432116947,584,0,342569262,162524320,36634,11550,467,1937262681,0,0,0,29016086,934,0,0,0,0,29017020
1,2022-02-25,MOLI,EQUITY,2724036581.0,380,2917,1433480947,584,0,341213362,162516020,36634,11550,467,1937262481,0,0,0,29016286,934,0,0,0,0,29017220
2,2022-03-31,MOLI,EQUITY,2724036581.0,328,2917,1435761447,584,0,338854862,162594020,36634,11550,467,1937262481,0,0,0,29016286,934,0,0,0,0,29017220
3,2022-04-28,MOLI,EQUITY,2724036581.0,290,2917,1435824215,584,0,338647194,162738920,36634,11550,467,1937262481,0,0,0,29016286,934,0,0,0,0,29017220
4,2022-05-31,MOLI,EQUITY,2724036581.0,294,2917,1437695654,584,0,336672455,162788920,36634,11550,467,1937209181,0,0,0,29015986,54534,0,0,0,0,29070520
5,2022-06-30,MOLI,EQUITY,2724036581.0,236,2917,1437751958,584,0,336658651,162799920,36634,11550,467,1937262681,0,0,0,29016086,934,0,0,0,0,29017020
6,2022-07-29,MOLI,EQUITY,2724036581.0,234,2917,1437812344,584,0,336558165,162814920,36634,11550,467,1937237581,0,0,0,29015986,26134,0,0,0,0,29042120
7,2022-08-31,MOLI,EQUITY,2724036581.0,260,2917,1443589227,584,0,330806482,162814920,36634,11550,467,1937262781,0,0,0,29015986,934,0,0,0,0,29016920
8,2022-09-30,MOLI,EQUITY,2724036581.0,256,2917,1445424227,584,0,331282682,160339320,36634,12017,0,1937098381,0,0,0,29015686,165634,0,0,0,0,29181320
9,2022-10-31,MOLI,EQUITY,2724036581.0,254,2917,1449929227,584,0,326766582,160339320,36634,12017,0,1937087281,0,0,0,29015686,176734,0,0,0,0,29192420
10,2022-11-30,MOLI,EQUITY,2724036581.0,258,2917,1452352827,584,0,323345282,161519420,30034,12017,0,1937263081,0,0,0,29015686,934,0,0,0,0,29016620
11,2022-12-30,MOLI,EQUITY,2724036581.0,208,2917,1455686160,584,0,318902511,161520820,30034,12017,936838,1937091881,0,0,0,29059386,127334,0,1100,0,0,29187820
