,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MREI,EQUITY,517791681.0,3860,91759687,162209296,0,24004,21419276,1771500,719272,0,86430,277989465,0,69739387,0,140541668,6599,0,336566,0,23904940,234529160
1,2022-02-25,MREI,EQUITY,517791681.0,3800,91759687,162209296,0,24004,21419276,1771500,719272,0,86430,277989465,0,69739387,0,140541668,6599,0,336566,0,23904940,234529160
2,2022-03-31,MREI,EQUITY,517791681.0,3230,91758487,162216096,0,24004,21422476,1764900,719272,0,86430,277991665,0,69739387,0,140541668,6599,0,334366,0,23904940,234526960
3,2022-04-28,MREI,EQUITY,517791681.0,3680,91758487,162216096,0,24004,21425076,1764900,719272,0,86430,277994265,0,69739387,0,140541668,6599,0,331766,0,23904940,234524360
4,2022-05-31,MREI,EQUITY,517791681.0,3550,91757187,162216096,0,24004,21430576,1764900,719272,0,86430,277998465,0,69739387,0,139341468,6599,0,327566,0,25105140,234520160
5,2022-06-30,MREI,EQUITY,517791681.0,3040,91755987,162218896,0,24004,21456476,1764900,719272,0,86430,278025965,0,69739387,0,139341468,6599,0,300066,0,25105140,234492660
6,2022-07-29,MREI,EQUITY,517791681.0,3170,91755987,162217696,0,24004,21458976,1764900,719272,0,86430,278027265,0,69739187,0,139341468,6599,0,298966,0,25105140,234491360
7,2022-08-31,MREI,EQUITY,517791681.0,3140,91746087,162217696,0,24004,21469076,1764900,719272,0,86430,278027465,0,69739187,0,139341468,6599,0,298766,0,25105140,234491160
8,2022-09-30,MREI,EQUITY,517791681.0,4350,91708387,162216096,0,24004,21510676,1764900,719272,0,86430,278029765,0,69739187,0,139341468,6599,0,296466,0,25105140,234488860
9,2022-10-31,MREI,EQUITY,517791681.0,4250,91617987,162216096,0,24004,21701376,1764900,719272,0,86430,278130065,0,69739187,0,139341568,6599,0,196066,0,25105140,234388560
