,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-08-31,MSIE-W,WARRANT,180000000.0,11,0,50,0,0,177967750,0,3850,250,0,177971900,0,0,0,0,2028100,0,0,0,0,2028100
1,2023-09-29,MSIE-W,WARRANT,180000000.0,10,0,105850,0,0,177986850,0,550,250,0,178093500,0,0,0,0,1906500,0,0,0,0,1906500
2,2023-10-31,MSIE-W,WARRANT,180000000.0,8,0,50,0,0,178168650,0,750,250,0,178169700,0,0,0,0,1830300,0,0,0,0,1830300
3,2023-11-30,MSIE-W,WARRANT,180000000.0,8,0,50,0,0,178181750,0,100,300,0,178182200,0,0,0,0,1817800,0,0,0,0,1817800
4,2023-12-29,MSIE-W,WARRANT,180000000.0,4,0,50,0,0,178183625,0,200,525,0,178184400,0,0,0,0,1815600,0,0,0,0,1815600
5,2024-01-31,MSIE-W,WARRANT,180000000.0,3,0,50,0,0,178183324,0,450,576,0,178184400,0,0,0,0,1815600,0,0,0,0,1815600
6,2024-02-29,MSIE-W,WARRANT,179998998.0,2,0,50,0,0,178182523,0,200,625,0,178183398,0,0,0,0,1815600,0,0,0,0,1815600
7,2024-03-28,MSIE-W,WARRANT,179997797.0,1,0,50,0,0,178180472,0,1000,625,50,178182197,0,0,0,0,1815600,0,0,0,0,1815600
8,2024-04-30,MSIE-W,WARRANT,179997201.0,1,0,50,0,0,178179876,0,1050,625,0,178181601,0,0,0,0,1815600,0,0,0,0,1815600
9,2024-05-31,MSIE-W,WARRANT,179993901.0,1,0,50,0,0,178176476,0,1100,675,0,178178301,0,0,0,0,1815600,0,0,0,0,1815600
10,2024-06-28,MSIE-W,WARRANT,179993601.0,1,0,50,0,0,178176026,0,1200,725,0,178178001,0,0,0,0,1815600,0,0,0,0,1815600
11,2024-07-31,MSIE-W,WARRANT,179992647.0,1,0,50,0,0,178174822,0,1300,725,150,178177047,0,0,0,0,1815600,0,0,0,0,1815600
